id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_popularity,artist_popularity,year,hit
0mel2N9Ws9r4yLQn5QE21Y,0.6579999999999999,0.653,201000,0.37799999999999995,0.0,5,0.177,-8.273,1,0.0533,91.835,4,0.54,24,92.0,2017,1
1pJQAHpD51J7GYaFrrFO9S,0.0199,0.5670000000000001,228480,0.46399999999999997,9.31e-06,5,0.26899999999999996,-9.66,1,0.0302,99.806,4,0.309,61,80.5,2017,1
0jdny0dhgjUwoIp5GkqEaA,0.491,0.5760000000000001,230267,0.39,0.0,10,0.111,-7.202000000000001,1,0.0297,73.433,4,0.319,77,81.0,2017,1
60a0Rd6pjrkxjPbaKzXjfq,0.00958,0.556,216880,0.8640000000000001,0.0,3,0.209,-5.87,0,0.0584,105.14299999999999,4,0.4,84,88.0,2017,1
6mzTuMlbCgEtoCitsszlqP,0.305,0.785,185455,0.495,4.82e-06,11,0.0936,-8.865,1,0.0946,109.992,4,0.586,35,80.0,2017,1
0prNGof3XqfTvNDxHonvdK,0.0285,0.573,230227,0.7390000000000001,0.0,0,0.111,-5.74,1,0.129,97.085,4,0.451,74,85.0,2017,1
5WoaF1B5XIEnWfmb5NZikf,0.17300000000000001,0.674,259333,0.506,0.0,6,0.0866,-10.532,1,0.0434,145.965,4,0.183,79,90.0,2017,1
6HUnnBwYZqcED1eQztxMBN,0.0435,0.7440000000000001,174933,0.836,0.0,6,0.19399999999999998,-2.396,0,0.0507,114.965,4,0.36,16,75.0,2017,1
4pYZLpX23Vx8rwDpJCpPTA,0.0424,0.888,193173,0.664,0.0,0,0.0734,-10.13,1,0.341,140.012,4,0.53,3,87.0,2017,1
0RYXEibxMami3QuT8kn4Iz,0.0098,0.922,261615,0.583,0.0,5,0.0962,-4.982,1,0.0753,136.043,4,0.494,3,82.5,2017,1
3QWjljChcOMkRDYSzF33Qr,0.5489999999999999,0.87,160597,0.502,0.0035600000000000002,5,0.0916,-7.497000000000001,0,0.0549,82.53,4,0.6729999999999999,60,62.0,2017,1
0lLdorYw7lVrJydTINhWdI,0.9079999999999999,0.33899999999999997,206640,0.214,7.47e-06,4,0.341,-11.714,1,0.0375,94.775,3,0.363,75,91.0,2017,1
2aksifNn5ph8igDOkPBA02,0.0717,0.509,224000,0.637,1.0800000000000002e-05,4,0.0789,-4.83,0,0.0471,172.00599999999997,3,0.37799999999999995,50,91.0,2017,1
5o4yGlG0PfeVUa6ClIyOxq,0.0646,0.867,162586,0.545,0.00028900000000000003,2,0.0505,-5.192,1,0.0625,139.94299999999998,4,0.525,71,81.0,2017,1
7zxRMhXxJMQCeDDg0rKAVo,0.10099999999999999,0.7440000000000001,179773,0.715,0.0,0,0.0919,-6.103,1,0.35100000000000003,154.96200000000002,4,0.34,73,88.5,2017,1
7wGoVu4Dady5GV0Sv4UIsx,0.13,0.5770000000000001,218320,0.522,9.03e-05,5,0.142,-6.593999999999999,0,0.0984,159.77200000000002,4,0.11900000000000001,20,94.5,2017,1
7LJjWqhqK594nN7qJzLVXE,0.0688,0.7859999999999999,213264,0.853,0.0,8,0.0759,-2.687,1,0.0816,125.03399999999999,4,0.45,3,83.0,2017,1
7KcGEssn7BnJdTgildK5y0,0.0884,0.867,272453,0.5579999999999999,4.05e-06,1,0.541,-6.975,1,0.258,139.061,4,0.43200000000000005,65,94.0,2017,1
