id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_popularity,artist_popularity,year,hit
5418UMEZW10tHZ6qrIVlKW,0.625,0.466,304881,0.424,0.000233,3,0.0903,-8.929,1,0.0292,111.13600000000000,4,0.0996,37,52.0,2019,0
47f6eZgviwSZciXGv2iWYg,0.0013,0.6610000000000000,200785,0.516,0.0,8,0.0998,-11.207,1,0.0425,140.077,4,0.33300000000000000,60,66.5,2019,0
1maoY6K6fsTEv9fhXhBL14,0.0567,0.508,196366,0.7440000000000000,0.0,5,0.193,-3.4210000000000000,1,0.0356,132.067,4,0.129,64,82.0,2019,0
3Ky9ZOg06H36s9TtYyXAxX,0.000105,0.493,241428,0.9080000000000000,0.489,5,0.129,-4.9910000000000000,0,0.0817,150.965,4,0.415,29,18.0,2019,0
7l47dRm8jw7NMs0OFoQrrK,0.147,0.441,178636,0.652,0.0,2,0.273,-8.377,1,0.0861,175.988,4,0.79,36,37.0,2019,0
2IoEP9SKwBpm4DL89MKTDZ,0.358,0.727,179500,0.509,0.33900000000000000,7,0.0912,-10.384,1,0.0473,78.94,4,0.6760000000000000,52,51.0,2019,0
5ILkHJjfIKqrQ8yZgJsBvY,0.000147,0.516,156623,0.84,3.51E-05,10,0.361,-3.613,1,0.0512,109.95200000000000,4,0.5760000000000000,59,62.0,2019,0
3wzxGfvRYvOUeN5ywRaCrX,0.0471,0.5580000000000000,173591,0.8220000000000000,5.63E-05,4,0.35,-7.535,0,0.0722,143.821,4,0.48100000000000000,40,34.0,2019,0
4KrATQEoEbKAAY7j0kMDBl,0.0446,0.78,185000,0.938,0.0977,9,0.091,-6.269,0,0.0491,125.031,4,0.502,63,67.0,2019,0
5P1eorfAD2voGnX7ZbuvFz,0.672,0.705,237533,0.782,0.00496,1,0.138,-6.284,0,0.0377,90.99700000000000,4,0.963,65,63.5,2019,0
0jZO7p0nBUi9VHedWUBS9l,0.9620000000000000,0.424,208173,0.4370000000000000,0.336,2,0.664,-8.588,1,0.0355,174.127,3,0.131,72,73.0,2018,0
6iewIywVK4V0SQfSCZonCR,0.754,0.5670000000000000,172226,0.35700000000000000,1.22E-06,11,0.13,-8.201,1,0.032,84.11200000000000,4,0.3720000000000000,0,66.25,2019,0
6eBtzacde2eDx5lY1zObyf,0.616,0.5430000000000000,176814,0.615,0.0,1,0.122,-9.25,1,0.158,93.76,4,0.32300000000000000,37,32.0,2019,0
4WpawRrVBCjPtmvlEmQdmc,0.722,0.809,220000,0.33800000000000000,0.34,11,0.113,-11.03,0,0.0349,120.066,4,0.508,56,62.0,2018,0
6pooRNiLyYpxZeIA5kJ5EX,0.0128,0.643,216668,0.594,0.0,2,0.11800000000000000,-5.453000000000000,1,0.0318,144.033,4,0.442,76,81.5,2019,0
7yTIj99hrHMyF7ZT0dvaO4,0.9640000000000000,0.655,234326,0.396,0.155,2,0.10300000000000000,-12.673,1,0.0349,99.956,4,0.39,56,47.0,2017,0
3AVrVz5rK8Hrqo9YGiVGN5,0.0194,0.369,290146,0.467,0.46,5,0.109,-9.018000000000000,1,0.0274,94.473,4,0.174,64,77.0,2017,0
3rCtueI7qBN2kZBZnXuk5K,0.539,0.713,369461,0.725,0.8860000000000000,6,0.111,-9.951,1,0.0385,122.041,4,0.24,66,70.0,2019,0
6lMSPe1s87AMLpulkYXQZv,0.606,0.59,204706,0.45900000000000000,0.000544,11,0.142,-6.0890000000000000,1,0.0541,184.204,4,0.62,57,53.0,2019,0
0jbkqR3FV2wjveAXvz11AR,0.23600000000000000,0.263,224095,0.596,0.0,1,0.11700000000000000,-4.894,1,0.0317,96.615,5,0.22900000000000000,41,54.0,2019,0
1z1XegUChLLQfcbtIK8ABn,0.0948,0.6860000000000000,214634,0.83,1.33E-06,8,0.182,-4.437,1,0.0369,123.03200000000000,4,0.486,76,74.5,2019,0
6usQ5BOBsRY5Dc49kwXsTw,0.836,0.455,131500,0.228,0.0,5,0.106,-12.343,1,0.0364,118.499,3,0.142,7,74.0,2018,0
7Cuk8jsPPoNYQWXK9XRFvG,0.165,0.6940000000000000,215080,0.831,0.000892,9,0.25,-7.2880000000000000,1,0.0301,125.90100000000000,4,0.98,83,77.0,2018,0
6q7Tz67loOULIPEXo941hk,0.0302,0.91,216266,0.401,0.00015900000000000000,1,0.0801,-9.552,1,0.0855,135.994,4,0.8240000000000000,72,66.0,2018,0
68oBvxwgu8DH0mJyhZXXgz,0.813,0.613,198625,0.215,0.00010400000000000000,6,0.106,-13.147,0,0.0538,81.258,4,0.23,56,45.0,2017,0
0Q4PkMbhBDSS5jBaPm4ZmH,0.0204,0.627,147164,0.423,1.35E-06,7,0.113,-12.552,1,0.0637,121.986,4,0.193,46,37.0,2019,0
0Ly2USSlv6gnBItSVuhhhS,0.366,0.526,190163,0.713,0.0,5,0.201,-3.048,0,0.042,80.403,4,0.531,45,65.5,2019,0
36pnXanMd4616gs6dIOVfV,0.0307,0.682,139047,0.9230000000000000,0.000455,2,0.262,-4.027,0,0.159,126.09900000000000,4,0.642,63,73.0,2019,0
4i4YoTjnTs1Z0VRAX9GSIU,0.45400000000000000,0.75,192786,0.44800000000000000,0.0010400000000000000,7,0.126,-8.479,1,0.0411,122.01800000000000,4,0.153,42,62.0,2019,0
749WhNrvTX6jNBNBTOPMa9,0.00283,0.643,234895,0.8440000000000000,0.0,1,0.0686,-6.027,1,0.192,107.955,4,0.406,50,48.0,2019,0
2Yfk1z6IWQFzczDAt8kr6G,0.000775,0.909,116655,0.39900000000000000,0.000275,11,0.0587,-7.358,1,0.0646,120.141,4,0.97,48,42.0,2019,0
7m8PEWF1Qjo4BmcjEYsacr,0.612,0.578,229040,0.40400000000000000,1.24E-05,7,0.106,-10.759,1,0.114,118.37800000000000,3,0.19700000000000000,55,83.0,2018,0
3pXqrcwP59B4gGMAkn66Wg,0.0691,0.713,142862,0.74,0.0,9,0.361,-5.185,1,0.0692,126.024,4,0.419,64,57.0,2019,0
3uZbqDDxu9vhg1MyiJ9Cfr,0.00371,0.529,177360,0.9,0.0,0,0.17,-4.792,1,0.0878,131.977,4,0.519,49,46.0,2019,0
1mjbqowv6FXUWr4DpseD9p,0.495,0.8270000000000000,130942,0.505,0.000145,0,0.12300000000000000,-8.178000000000000,1,0.0469,126.024,4,0.479,47,48.0,2019,0
2RpDo48V4OfhOHFIseEt2A,0.125,0.491,208983,0.67,8.43E-06,7,0.11200000000000000,-9.792,0,0.0401,200.0,4,0.6810000000000000,37,26.0,2019,0
0pwdJLLVxlJa1lnR9UeMZY,0.769,0.368,188120,0.321,0.0,3,0.135,-5.904,1,0.0272,139.001,4,0.0673,67,82.0,2019,0
4hjbxjZpJ8H6qRCzDOGI0M,0.716,0.478,267360,0.24100000000000000,0.21600000000000000,2,0.354,-17.122,1,0.0386,75.285,4,0.11,65,71.0,2016,0
