id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_popularity,artist_popularity,year,hit
5418UMEZW10tHZ6qrIVlKW,0.625,0.466,304881,0.424,0.000233,3,0.0903,-8.929,1,0.0292,111.13600000000001,4,0.0996,37,52.0,2019,0
47f6eZgviwSZciXGv2iWYg,0.0013,0.6609999999999999,200785,0.516,0.0,8,0.0998,-11.207,1,0.0425,140.077,4,0.33299999999999996,60,66.5,2019,0
1maoY6K6fsTEv9fhXhBL14,0.0567,0.508,196366,0.7440000000000001,0.0,5,0.193,-3.4210000000000003,1,0.0356,132.067,4,0.129,64,82.0,2019,0
3Ky9ZOg06H36s9TtYyXAxX,0.000105,0.493,241428,0.9079999999999999,0.489,5,0.129,-4.9910000000000005,0,0.0817,150.965,4,0.415,29,18.0,2019,0
7l47dRm8jw7NMs0OFoQrrK,0.147,0.441,178636,0.652,0.0,2,0.273,-8.377,1,0.0861,175.988,4,0.79,36,37.0,2019,0
2IoEP9SKwBpm4DL89MKTDZ,0.358,0.727,179500,0.509,0.33899999999999997,7,0.0912,-10.384,1,0.0473,78.94,4,0.6759999999999999,52,51.0,2019,0
5ILkHJjfIKqrQ8yZgJsBvY,0.000147,0.516,156623,0.84,3.510000000000001e-05,10,0.361,-3.613,1,0.0512,109.95200000000001,4,0.5760000000000001,59,62.0,2019,0
3wzxGfvRYvOUeN5ywRaCrX,0.0471,0.5579999999999999,173591,0.8220000000000001,5.6299999999999986e-05,4,0.35,-7.535,0,0.0722,143.821,4,0.48100000000000004,40,34.0,2019,0
4KrATQEoEbKAAY7j0kMDBl,0.0446,0.78,185000,0.938,0.0977,9,0.091,-6.269,0,0.0491,125.031,4,0.502,63,67.0,2019,0
5P1eorfAD2voGnX7ZbuvFz,0.672,0.705,237533,0.782,0.00496,1,0.138,-6.284,0,0.0377,90.99700000000001,4,0.963,65,63.5,2019,0
0jZO7p0nBUi9VHedWUBS9l,0.9620000000000001,0.424,208173,0.4370000000000001,0.336,2,0.664,-8.588,1,0.0355,174.127,3,0.131,72,73.0,2018,0
