id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_popularity,artist_popularity,year,hit
0HEmnAUT8PHznIAAmVXqFJ,0.0094,0.887,193200,0.48,3.58e-05,11,0.0662,-11.994000000000002,1,0.117,95.846,4,0.607,76,78.0,2016,1
6YnzBV7YkaXZNCK3tlnCfg,0.204,0.7759999999999999,243400,0.703,0.0,0,0.336,-10.696,1,0.0427,112.534,4,0.939,66,73.0,2016,1
0xPaZrF25ltzvz1a2Pm5DQ,0.42,0.503,171827,0.465,0.0,8,0.101,-8.077,0,0.0274,141.796,4,0.14300000000000002,64,91.0,2016,1
2R7858bg0GHuBBxjTyOL7N,0.232,0.583,302600,0.545,0.0,2,0.133,-11.698,0,0.0351,153.25,4,0.8,64,78.0,2016,1
08WPvDEsHvTFuB9w8tC2OS,0.273,0.7809999999999999,193181,0.57,0.0,11,0.196,-5.874,0,0.188,107.059,4,0.858,59,72.0,2016,1
4b4KcovePX8Ke2cLIQTLM0,0.0038,0.544,197640,0.809,0.0,8,0.32299999999999995,-5.098,1,0.0363,145.017,4,0.448,15,77.0,2016,1
7wiESxCGoUkRdgZF2JOLZu,0.601,0.526,184018,0.7090000000000001,1.3699999999999998e-05,11,0.327,-9.882,0,0.0333,91.638,4,0.8320000000000001,9,35.0,2016,1
5hTpBe8h35rJ67eAWHQsJx,0.17,0.941,209640,0.335,0.0,5,0.262,-10.179,0,0.505,120.041,4,0.7070000000000001,78,78.0,2016,1
2HzfRSfCogBSsgW2CckVA2,0.0845,0.422,248387,0.852,0.0,6,0.0687,-3.5460000000000003,1,0.208,82.914,4,0.6659999999999999,54,61.0,2016,1
0mel2N9Ws9r4yLQn5QE21Y,0.6579999999999999,0.653,201000,0.378,0.0,5,0.177,-8.273,1,0.0533,91.835,4,0.54,24,92.0,2017,1
1pJQAHpD51J7GYaFrrFO9S,0.0199,0.5670000000000001,228480,0.464,9.31e-06,5,0.269,-9.66,1,0.0302,99.806,4,0.309,61,80.5,2017,1
0jdny0dhgjUwoIp5GkqEaA,0.491,0.5760000000000001,230267,0.39,0.0,10,0.111,-7.202000000000001,1,0.0297,73.433,4,0.319,77,81.0,2017,1
60a0Rd6pjrkxjPbaKzXjfq,0.00958,0.556,216880,0.8640000000000001,0.0,3,0.209,-5.87,0,0.0584,105.143,4,0.4,84,88.0,2017,1
6mzTuMlbCgEtoCitsszlqP,0.305,0.785,185455,0.495,4.82e-06,11,0.0936,-8.865,1,0.0946,109.992,4,0.586,35,80.0,2017,1
0prNGof3XqfTvNDxHonvdK,0.0285,0.573,230227,0.7390000000000001,0.0,0,0.111,-5.74,1,0.129,97.085,4,0.451,74,85.0,2017,1
6HUnnBwYZqcED1eQztxMBN,0.0435,0.7440000000000001,174933,0.836,0.0,6,0.194,-2.396,0,0.0507,114.965,4,0.36,16,75.0,2017,1
0RYXEibxMami3QuT8kn4Iz,0.0098,0.922,261615,0.583,0.0,5,0.0962,-4.982,1,0.0753,136.043,4,0.494,3,82.5,2017,1
3QWjljChcOMkRDYSzF33Qr,0.5489999999999999,0.87,160597,0.502,0.00356,5,0.0916,-7.497000000000001,0,0.0549,82.53,4,0.6729999999999999,60,62.0,2017,1
2aksifNn5ph8igDOkPBA02,0.0717,0.509,224000,0.637,1.0800000000000003e-05,4,0.0789,-4.83,0,0.0471,172.00599999999997,3,0.378,50,91.0,2017,1
