,acousticness,artist_popularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,year,hit
0,0.805,64.0,0.398,253342,0.316,0tV8pOpiNsKqUys0ilUcXz,0.0,1,0.295,-7.031,1,75,0.0368,118.582,4,0.174,2015,0
1,0.762,71.0,0.496,267160,0.0672,1vqtj4c5aNPKkLS2LXkd4E,0.0171,3,0.109,-17.285,1,66,0.0348,114.059,4,0.176,2009,0
2,0.000581,42.0,0.574,193905,0.857,4fwOJjucGyAIIAMgl5heL1,2.81e-06,6,0.0716,-3.699,1,45,0.0779,138.144,4,0.54,2019,0
3,0.214,89.0,0.51,270453,0.643,5DHQKZCOZhGNTbYBCekWx0,3.22e-06,0,0.101,-6.602,1,75,0.0485,130.081,4,0.0397,2015,0
4,0.0219,77.5,0.488,310733,0.691,3cSuhzV7wKX5diQ8hos78P,0.0,0,0.501,-8.09,0,66,0.279,156.141,4,0.697,2009,0
5,0.0503,71.0,0.852,227546,0.604,0OaunKfsxkgBvPv68jBbmm,0.0,0,0.327,-4.569,1,70,0.0642,94.762,4,0.667,2008,0
6,0.0836,55.0,0.697,257913,0.51,4t2oHD86J1SzsoNCtS1OgB,0.0,7,0.112,-7.924,0,47,0.0409,130.005,4,0.121,2019,0
7,0.00039,77.0,0.354,207986,0.942,3IqHzcXy7IsYYND6lKwPAi,6.36e-06,7,0.431,-3.245,1,8,0.237,119.992,4,0.242,2018,0
8,0.000545,51.0,0.849,237320,0.59,3lwMGZ9M5Gq4usaZZLV4NK,0.0,0,0.343,-8.367,1,58,0.428,180.026,4,0.656,2009,0
9,0.00367,78.0,0.621,206013,0.713,4ACb2d4YjSYT1x0nHepZeE,4.84e-06,10,0.469,-6.088,1,44,0.0308,122.97,4,0.549,2015,0
10,0.879,55.0,0.626,75671,0.31,07KMQNsSXfWJjOzFzwNWoE,0.0,11,0.643,-15.987,1,47,0.161,60.285,4,0.225,2014,0
11,0.0302,94.0,0.949,284200,0.661,3yfqSUWxFvZELEM4PmlwIR,0.0,5,0.0454,-4.244,0,81,0.0572,104.504,4,0.76,2000,0
12,0.905,69.0,0.531,224743,0.347,41WTP0gosjYD74B06uS2tL,0.0,0,0.0935,-7.044,1,72,0.0345,114.441,4,0.289,2012,0
13,0.0509,71.0,0.224,205706,0.905,4rc2WNOt2w8BHfQjBC8PO0,0.0,5,0.281,-3.239,0,65,0.0722,78.318,4,0.485,2015,0
14,0.892,40.0,0.487,314763,0.12,42q9VqB8ooQE5yn3mup3h8,0.853,10,0.0996,-20.964,1,53,0.04,56.822,4,0.131,2018,0
