Unnamed: 0,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_popularity,artist_popularity,year,hit
2,4fwOJjucGyAIIAMgl5heL1,0.0005809999999999999,0.574,193905,0.857,2.81e-06,6,0.0716,-3.699,1,0.0779,138.144,4,0.54,45,42.0,2019,0
6,4t2oHD86J1SzsoNCtS1OgB,0.0836,0.6970000000000001,257913,0.51,0.0,7,0.112,-7.923999999999999,0,0.0409,130.005,4,0.121,47,55.0,2019,0
7,3IqHzcXy7IsYYND6lKwPAi,0.00039,0.354,207986,0.942,6.36e-06,7,0.431,-3.245,1,0.237,119.992,4,0.242,8,77.0,2018,0
14,42q9VqB8ooQE5yn3mup3h8,0.892,0.487,314763,0.12,0.853,10,0.0996,-20.964,1,0.04,56.822,4,0.131,53,40.0,2018,0
17,1XrEY8nz2P4L9rVoq9MdXs,0.987,0.34700000000000003,228403,0.151,0.958,1,0.13,-13.445,1,0.0321,70.602,4,0.087,52,39.0,2018,0
21,76V5fM0JeTLO7LNIRiCtzr,0.00625,0.67,392720,0.69,0.189,9,0.112,-7.153,1,0.0287,92.985,4,0.674,39,45.6666666666667,2019,0
24,1sQBPGypjSgEgJZvD8u8ty,0.259,0.397,292884,0.507,0.0447,11,0.142,-9.026,1,0.0605,74.737,4,0.363,69,64.0,2019,0
26,2Ife34IbdJdFOA72CwCBhT,0.00015900000000000002,0.446,209700,0.951,0.013,10,0.28600000000000003,-8.165,1,0.0887,99.977,4,0.188,35,29.0,2019,0
27,6S5dMjMifQYmyTu1mX4f8P,0.0319,0.73,127028,0.38,4.93e-05,11,0.12,-8.558,0,0.0988,114.973,4,0.32299999999999995,76,83.0,2019,0
31,2B7UWqNqKgPVGQQ6FXn2PP,0.14800000000000002,0.7340000000000001,206946,0.511,0.0,0,0.29,-4.905,0,0.0592,124.995,4,0.727,73,76.5,2019,0
32,5jlLBqK31dOqXECKn3jlMX,0.0546,0.784,225036,0.416,2.1600000000000007e-05,7,0.112,-9.231,1,0.102,147.994,4,0.259,70,89.0,2019,0
33,5Cl9GDb0AyQnppRr6q7ldb,0.000954,0.526,200310,0.903,8.4e-05,2,0.111,-4.59,0,0.0444,144.017,4,0.45,59,63.0,2018,0
35,0jx10sJgrjmXhDI14fBI79,0.7829999999999999,0.608,207306,0.458,0.0485,8,0.125,-9.11,1,0.0456,156.088,4,0.3,39,47.0,2019,0
37,1wTGAYKtiXqvv3Ygk4AH51,0.0352,0.622,194280,0.7340000000000001,5.23e-05,3,0.211,-6.666,1,0.0362,115.807,4,0.8690000000000001,33,45.0,2019,0
42,1av0mpB1cI5Jl7FYSkZ6my,0.000204,0.397,248785,0.986,5.09e-05,1,0.331,-5.234,1,0.158,139.856,4,0.128,1,34.0,2019,0
