,acousticness,artist_popularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,year,hit
0,0.00143,74.0,0.632,196893,0.639,4aR9bPMAOFySBuQSbVWF3d,0.0,5,0.221,-5.938,1,55,0.0259,95.506,4,0.733,2006,0
1,0.161,86.0,0.635,213733,0.677,7IP0lO9tHfNwBWZ9X6TJ84,0.0,10,0.154,-5.548,1,75,0.0909,94.95,4,0.253,2019,0
2,0.112,51.0,0.791,116971,0.411,3ukHd0WiyOqNrEopXIbqXl,0.0,1,0.126,-10.44,1,24,0.0643,123.031,4,0.0891,2019,0
3,0.00156,82.0,0.557,301573,0.728,0kYUrLVQOfx21xuXu7OGrT,5.13e-06,6,0.118,-6.181,1,67,0.0405,118.241,4,0.216,2004,0
4,0.106,66.0,0.566,238866,0.804,13iOPBvJOkIyqj3DtIEPe8,0.222,1,0.0919,-8.556,0,37,0.0492,140.063,4,0.456,2001,0
5,0.247,71.0,0.52,263560,0.709,6urCAbunOQI4bLhmGpX7iS,1.78e-05,5,0.18,-7.125,0,68,0.0352,76.039,4,0.536,1995,0
6,0.109,3.5,0.646,125798,0.878,0ZATh6hRRsxLpgQhTI4uCL,0.0,6,0.676,-5.914,0,6,0.253,81.816,4,0.969,2018,0
7,0.0505,65.0,0.512,215173,0.817,3ItzRpwvKtkDSNdRSjXu7Z,0.0,7,0.0775,-3.154,1,62,0.142,154.607,4,0.552,2007,0
8,0.0255,70.0,0.347,279373,0.695,7jBQvUSVKHnOxEhcDpjvPD,0.000532,3,0.26,-5.306,1,9,0.0332,134.653,4,0.278,2008,0
9,0.0157,85.0,0.663,212613,0.777,2HHiH52OPxe8qyVO7N4uH7,0.00829,5,0.0755,-5.496,0,51,0.0375,143.003,4,0.94,2013,0
10,0.000159,63.0,0.231,92360,0.53,70edYQCDg3XUPFxmvBNjIR,0.857,5,0.453,-8.751,1,34,0.0301,104.015,4,0.0404,2006,0
