id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_popularity,artist_popularity,year,hit
0mxZEJZ4NYAYgBMmLBlAcp,0.00273,0.58,361379,0.578,0.924,10,0.114,-10.556,0,0.0538,173.958,4,0.239,4,22.0,2019,0
3dz1k7RLgKPr7q0BuvA9p5,0.00517,0.658,299736,0.685,4.76E-05,3,0.352,-9.406,1,0.0317,110.083,4,0.517,36,32.0,2019,0
0k6YVBEdnGns7T3uL3SMRF,0.387,0.665,177960,0.797,0.0,3,0.103,-5.089,0,0.1,166.976,4,0.6,54,55.0,2019,0
2aQJrZRH3lbllvKNdItNfa,0.0718,0.786,161680,0.62,0.0,5,0.0625,-7.709,1,0.163,92.09,4,0.652,58,58.0,2019,0
5m3jpKkgkfoMcym1qjToFg,0.238,0.851,259600,0.688,1.93E-05,11,0.105,-4.038,1,0.0565,103.982,4,0.732,73,80.0,2019,0
2SVWyRjpZ44odKjj9vDqMA,0.00107,0.574,215848,0.477,0.000508,5,0.111,-7.488,0,0.0299,120.058,4,0.237,57,59.0,2019,0
6b0H5v1fl6jZtnoXDBemnX,0.237,0.514,163561,0.75,0.00111,4,0.319,-6.128,1,0.0368,141.959,4,0.709,16,8.0,2019,0
0HrhMgGtRk6wOxUUCqvf4i,0.0233,0.565,223655,0.386,0.00113,7,0.109,-11.856,0,0.0299,73.019,3,0.184,49,54.0,2016,0
168Vc6GtKTO6CxypymkDxo,0.709,0.484,202895,0.346,0.756,9,0.0999,-10.418,0,0.033,95.634,4,0.283,5,42.0,2017,0
2kXgA1n82KpEshAH0lNRBA,0.148,0.528,175485,0.757,0.0,9,0.115,-3.219,1,0.0351,130.055,4,0.631,40,36.0,2018,0
2RSenaqtDSbjwLWkVdngHW,0.805,0.402,245070,0.304,0.563,10,0.101,-16.42,0,0.0343,116.752,4,0.232,36,48.0,2018,0
