﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6nMNpGl4VvMhtYigbbOmBu","Leave It All Behind","Sleeping With Sirens","Leave It All Behind","1","1","198248","spotify:user:","2019-06-19T07:45:30Z"
"spotify:track:2GFwwTIVLjnOrtP7m9luHC","Hurricane","I Prevail","TRAUMA","1","8","223173","spotify:user:","2019-10-25T08:11:47Z"
"spotify:track:2pYaGdqXBrl8MdvuwgtBb7","Legendary","Skillet","Victorious","1","1","244538","spotify:user:","2019-10-25T08:09:43Z"
"spotify:track:57yI1u6t6cFXbjgjQcRHug","Resentment","A Day To Remember","Resentment","1","1","227266","spotify:user:","2019-12-02T16:25:50Z"
"spotify:track:4GssB27iJeqmfGxS94Tfij","Popular Monster","Falling In Reverse","Popular Monster","1","1","220537","spotify:user:","2019-12-02T16:25:50Z"
"spotify:track:58Eyr2rZWIYM19qhpals74","Agree to Disagree","Sleeping With Sirens","How It Feels to Be Lost","1","4","182679","spotify:user:","2019-10-25T08:09:43Z"
"spotify:track:5LV0oQV98daZAUoWnQEW6N","Broken Heart","Escape the Fate","I Am Human","1","2","187371","spotify:user:","2018-12-10T08:05:40Z"
"spotify:track:4pJM8ZZ3YIO4xOeD5k8s5P","Save Me","Skillet","Save Me","1","1","223240","spotify:user:","2019-06-17T12:58:43Z"
"spotify:track:0YZEYxd1oiqZRFhnnmTKKi","Another Life","Motionless In White","Disguise","1","8","205394","spotify:user:","2019-12-06T10:36:57Z"
"spotify:track:6RT2boG8dbLXpgnSXQx1LY","Come For Me","New Years Day","Unbreakable","1","1","214493","spotify:user:","2019-10-25T08:11:47Z"
"spotify:track:3PkosLobiLp6RymQ20mzq5","Burn!","Kobra And The Lotus","Evolution","1","3","164670","spotify:user:","2019-10-25T08:09:43Z"
"spotify:track:5CxHzMIN3ZOH8f18RdNYwO","MANIFEST","STARSET","MANIFEST","1","1","267238","spotify:user:","2019-09-03T08:58:47Z"
"spotify:track:6E5gsJm3t0RqmiHBfUBaya","Killing Me Slowly","Bad Wolves","Killing Me Slowly","1","1","237065","spotify:user:","2019-08-30T08:36:56Z"
"spotify:track:4lF3jqrokwLCfjg8puOe7E","Heaven","Solence","Heaven","1","1","218274","spotify:user:","2019-11-29T09:49:13Z"
"spotify:track:7dRj3sTBYkNbEx5kdNHriv","MANTRA","Bring Me The Horizon","MANTRA","1","1","233297","spotify:user:","2018-12-10T08:05:40Z"
"spotify:track:4RUrTe5vy6koyePa262Gvd","Over My Dead Body","Blind Channel","Over My Dead Body","1","1","223077","spotify:user:","2018-12-10T08:05:40Z"
"spotify:track:2KJwci3DPtYbfg7pxczvWf","You Never Know","Beartooth","Disease","1","4","183437","spotify:user:","2019-06-06T13:14:36Z"
"spotify:track:0hAIs32U2SmJcXymlcyF8h","Alone In A Room","Asking Alexandria","Asking Alexandria","1","1","245861","spotify:user:","2018-12-10T08:05:40Z"
"spotify:track:7EEaV81pUNKvqsTrEHGoQH","Erase The Pain","Palisades","Erase The Pain","1","2","197834","spotify:user:","2019-06-06T13:14:36Z"
"spotify:track:4KTgD62vgozCfk2Inbo9fm","Brand New Numb","Motionless In White","Brand New Numb/Disguise","1","1","222461","spotify:user:","2019-06-06T13:14:36Z"
"spotify:track:4Htt3QaBWdLggq88rJI5MU","Inside Out","Five Finger Death Punch","Inside Out","1","1","226348","spotify:user:","2019-12-05T16:03:43Z"
"spotify:track:1wZy1qIk3qPVv33I9bALi6","Why Am I Like This?","The Word Alive","Violent Noise","1","2","193653","spotify:user:","2019-06-06T13:14:36Z"
"spotify:track:1iG8AeszL0CUIp6ryOG1za","Silence Means Nothing (feat. Liam Cormier)","River Becomes Ocean, Liam Cormier","Silence Means Nothing (feat. Liam Cormier)","1","1","180810","spotify:user:","2019-06-06T13:14:36Z"
"spotify:track:3GqG5MAZomVJu7du7Tgolw","Do You Love Me?","Escape the Fate","I Am Human","1","6","186279","spotify:user:","2019-09-09T08:42:53Z"
"spotify:track:6oe2HcrgnNU66Eyq8BY45Z","Infra-Red","Three Days Grace","Outsider","1","4","230933","spotify:user:","2018-12-10T08:05:40Z"
"spotify:track:51rdCmgHBzg9HJ7eHjVRK9","ONE OF US","FEVER 333","STRENGTH IN NUMB333RS","1","5","204266","spotify:user:","2019-02-14T15:14:32Z"
"spotify:track:0WqNI4pN93epyGavKOHqgj","Learn To Walk Again","Bad Wolves","N.A.T.I.O.N.","1","3","167872","spotify:user:","2019-10-25T08:11:47Z"
"spotify:track:3zUwwYcmob803s2Bkck8GY","Black Wedding (feat. Rob Halford)","In This Moment, Rob Halford","Ritual","1","3","247373","spotify:user:","2018-12-10T08:05:40Z"
"spotify:track:1mQaehT2IA8PAb6drI1RNB","Right Now","Fire From The Gods","Right Now","1","1","225026","spotify:user:","2019-09-04T14:26:25Z"
"spotify:track:4GSjFSK1SM78wPTVbsSB0S","The Reckoning","Within Temptation, Jacoby Shaddix","The Reckoning","1","1","251106","spotify:user:","2018-12-10T08:05:40Z"
"spotify:track:5cUziBfFGOHrkXFE4qAgKe","Nimrod","Nine Shrines","Nimrod","1","1","189746","spotify:user:","2019-03-22T10:11:50Z"
"spotify:track:2aFsfzUuXuxDr4xo8ndfUt","Sound the Alarm","Shallow Side","Sound the Alarm","1","1","222733","spotify:user:","2019-09-04T14:31:55Z"
"spotify:track:1w3XQHyd4stGaZmIlBU3cr","Alone","Of Virtue","What Defines You","1","2","214666","spotify:user:","2019-05-24T19:51:07Z"
"spotify:track:3IqHzcXy7IsYYND6lKwPAi","DEVIL","Shinedown","DEVIL","1","1","207986","spotify:user:","2018-12-10T08:05:40Z"
"spotify:track:6TQkEzHzTtG2jO6TqPIIMc","Another Life","Any Given Sin","Another Life","1","1","219200","spotify:user:","2019-10-25T08:09:43Z"
"spotify:track:22GEETI4LXhhePCO71PyEv","Bulletproof","Godsmack","When Legends Rise","1","2","177048","spotify:user:","2019-03-27T12:05:27Z"
"spotify:track:4dMkVSiMt14svAqUlwMVuQ","All or Nothing","Sylar","All or Nothing","1","1","198144","spotify:user:","2018-12-10T08:05:40Z"
"spotify:track:6MLt3bWCF88clV0y3aiP1T","Uncomfortable","Halestorm","Uncomfortable","1","1","220896","spotify:user:","2018-12-10T08:05:40Z"
"spotify:track:1KCDsPKFISNM2YZFFAoI7s","Demons Are a Girl's Best Friend","Powerwolf","The Sacrament of Sin","1","2","218080","spotify:user:","2019-11-05T09:58:35Z"
"spotify:track:08vJxMYhmZu6YTWqVmLgrA","The Hunted (feat. Sully Erna)","Saint Asonia, Sully Erna","The Hunted","1","1","223357","spotify:user:","2019-08-30T08:36:56Z"
"spotify:track:4HIYFlCh5aZq0jwvsn2DoK","When Legends Rise","Godsmack","When Legends Rise","1","1","172826","spotify:user:","2018-12-10T08:05:40Z"
"spotify:track:2xECSFHPgCyElhTVRaHVYP","No More","Disturbed","Evolution (Deluxe Edition)","1","2","232640","spotify:user:","2019-03-27T12:05:27Z"
"spotify:track:6rUcboqRuVuowjaL5YUNtx","All Animal","Through Fire","All Animal","1","1","210742","spotify:user:","2019-10-25T08:11:47Z"
"spotify:track:5Cl9GDb0AyQnppRr6q7ldb","Broken","From Ashes to New","The Future","1","5","200310","spotify:user:","2018-12-10T08:05:40Z"
"spotify:track:4x241uAmPrxKZdCZKt2r5t","Out For Blood","Sum 41","Out For Blood","1","1","216571","spotify:user:","2019-04-24T13:37:58Z"
"spotify:track:3YNkyMBmgxqqyVypQPweIS","Who Do You Trust?","Papa Roach","Who Do You Trust?","1","4","196863","spotify:user:","2019-10-25T08:11:47Z"
"spotify:track:58WnCtoXAG5IBx3rpK8IDM","Peace","Demon Hunter","Peace","1","1","258373","spotify:user:","2018-12-13T23:02:00Z"
"spotify:track:3IiMnjK7S2PlsPVMuAH7rU","Torn in Two","Breaking Benjamin","Ember","1","8","257453","spotify:user:","2018-12-10T08:05:40Z"
"spotify:track:6Q1m1GyNxyOwZ2ud3p7XoS","Gasoline","I Prevail","TRAUMA","1","7","153613","spotify:user:","2019-06-06T13:14:36Z"
"spotify:track:1Hig5qOTDmX4Erqpmk54xq","War","Palisades","Erase The Pain","1","4","178244","spotify:user:","2019-06-06T13:14:36Z"
"spotify:track:2ouOVzQTzSsLa2OH1Zxhvu","Whatever It Takes","Hollywood Undead","Five","1","2","187654","spotify:user:","2019-09-09T08:42:53Z"
"spotify:track:4pIKFpwflOdhYNIRmPTj3E","Dance Macabre","Ghost","Prequelle","1","6","219720","spotify:user:","2018-12-10T08:05:40Z"
