﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:43PuMrRfbyyuz4QpZ3oAwN","Exchange","Bryson Tiller","T R A P S O U L","1","3","194613","spotify:user:","2017-11-07T15:15:31Z"
"spotify:track:4tGjoffVHvUvb5RDE60sjX","Losin Control","Russ","Losin Control","1","1","240065","spotify:user:","2017-11-07T15:15:31Z"
"spotify:track:2xyx0o4xNOLLjBSbOOdcbA","Playing Games (with Bryson Tiller) - Extended Version","Summer Walker, Bryson Tiller","Over It","1","3","143226","spotify:user:","2019-10-28T18:01:54Z"
"spotify:track:248OFOZef6ShXv6DGgbnxU","Saved","Khalid","American Teen","1","5","206533","spotify:user:","2018-03-06T21:12:42Z"
"spotify:track:10VBBaul4zVD0reteuIHM2","From Time","Drake, Jhené Aiko","Nothing Was The Same (Deluxe)","1","7","322160","spotify:user:","2017-11-07T15:15:31Z"
"spotify:track:5dXI2NV7X2c4anyLFbQdEX","Honesty","Pink Sweat$","Honesty","1","1","191000","spotify:user:","2019-04-10T22:03:07Z"
"spotify:track:4ve2uzqdwnHr20G5YgMMqr","Missin You Crazy","Russ","ZOO","1","4","226693","spotify:user:","2018-11-06T17:59:20Z"
"spotify:track:1It1TxBK3xIQAB4xJkPevn","Blue Lights","Jorja Smith","Lost & Found","1","8","250454","spotify:user:","2019-10-28T18:01:54Z"
"spotify:track:0JXXNGljqupsJaZsgSbMZV","Sure Thing","Miguel","All I Want Is You","1","1","195373","spotify:user:","2017-11-07T15:15:31Z"
"spotify:track:14SaZBTjxlorHJQxXh01Hu","Girls Need Love (with Drake) - Remix","Summer Walker, Drake","Last Day Of Summer","1","13","222374","spotify:user:","2019-04-10T22:03:07Z"
"spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz","Die For You","The Weeknd","Starboy","1","17","260253","spotify:user:","2017-11-07T15:15:31Z"
"spotify:track:7DfFc7a6Rwfi3YQMRbDMau","Thinkin Bout You","Frank Ocean","channel ORANGE","1","2","200746","spotify:user:","2019-10-28T18:01:54Z"
"spotify:track:5NijSs5dAwaIybq1GaRTIe","Poison","Brent Faiyaz","Poison","1","1","212992","spotify:user:","2018-05-14T19:48:25Z"
"spotify:track:39KG4kom3enSx4GTThuDGt","Coaster","Khalid","American Teen","1","6","199120","spotify:user:","2017-11-07T15:15:31Z"
"spotify:track:6lzLjIOyWTyTJvk0jraYee","Could've Been (feat. Bryson Tiller)","H.E.R., Bryson Tiller","I Used To Know Her: The Prelude","1","4","248466","spotify:user:","2019-04-10T22:03:07Z"
"spotify:track:75ZvA4QfFiZvzhj2xkaWAh","I Fall Apart","Post Malone","Stoney (Deluxe)","1","7","223346","spotify:user:","2018-03-09T20:05:20Z"
"spotify:track:4eSGSqP2TZvvX0kadZZttM","Doing It Wrong","Drake","Take Care (Deluxe)","1","13","265120","spotify:user:","2018-08-23T14:51:50Z"
"spotify:track:44Du2IM1bGY7dicmLfXbUs","Final Fantasy","Drake","Scorpion","2","12","219960","spotify:user:","2018-12-10T20:04:24Z"
"spotify:track:1RMJOxR6GRPsBHL8qeC2ux","Best Part (feat. H.E.R.)","Daniel Caesar, H.E.R.","Freudian","1","2","209831","spotify:user:","2017-11-07T15:15:31Z"
