﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2z1J38i6dM0v535hiwb3Y8","Oddam El Nas","Mohamed Hamaki","Kol Yom Men Dah","2","1","227586","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:5QRKFMVNETa4x6c014LPz0","Yalla Habibi","Luana Vjollca, Faydee","Yalla Habibi","1","1","148629","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:1hnk0ZhStnRSLRq4u2fM7H","Takke","Nassif Zeytoun","Takke","1","1","208137","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:634M5YM3C65bHCJ0y4ZEnG","Lolak Habiby","Tamer Hosny","Eish Besho'ak","1","1","175152","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:6ujASdvAXFvITLHkrbRaSM","Enty Jameela","Flipperachi","Enty Jameela","1","1","216576","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:1Awxlujr2gHvwi1XpDziMb","Ghazala","Joseph Attieh, Kiki C","Ghazala","1","1","175924","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:60fFwimwllbxqq5kgME3zy","Habibi Albi","Faydee, Leftside","Habibi Albi","1","1","183071","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:5jCtrhtNAQk9dQaxWvkUtH","Goumari","D33pSoul, Habib Belk","Goumari","1","1","234254","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:3AGcPDGHHfOE6OmBOcXDT2","قصة حب - نسخة شرقي","Ramy Ayach","قصة حب","1","1","213652","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:6tLqRYlfzFqNa86gr9UMia","Yalla Habibi - Summer Hit","Ragheb Alama, Seyi Shay, Costi","Yalla Habibi (Summer Hit)","1","1","175781","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:7ChS3ZEZLSTPEcayh98To8","Roll With It","Massari, Mohammad Assaf","Tune In","1","5","173810","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:1yDZtq2fIBeSSFvwgG4mOU","تعال","علي جاسم ومحمود التركي ومصطفى العبدالله","تعال","1","1","186644","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:3LTkPjZBzAHEMOzZdQGPDr","Ana Gheir","Amr Diab","Ana Gheir","1","1","220974","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:64zPqNS58fGSVoBW4lMWDc","Shou Bado","Yara","Shou Bado","1","1","204660","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:3kBFWV7Q6QzPhAtyMAjjM8","Badna Nwalee El Jaw","Nancy Ajram","Badna Nwalee El Jaw","1","1","213322","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:2fxzop0LeYPUrBgD95ka61","Ana Maik","Nassif Zeytoun","Ana Maik","1","1","195283","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:4t3BgID893bIAXxcCdux4y","Helm Baeid","Mahmoud El Esseily","Helm Baeid","1","1","316264","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:6YGur3vFObbOj7BigRrRSR","Ya Nour El Ein","Massari, Maya Diab, French Montana","Ya Nour El Ein","1","1","183356","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:2F82KnRqMRq0zDi4uBVSlm","Décapotable","Zouhair Bahaoui","Décapotable","1","1","209423","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:5cz44VXobZy37ARoJ5uyYQ","Sahar Sahar","Nicolas Chalhoub","Sahar Sahar","1","1","207151","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:5x4kz1Da2r0Lw2h4ugJIrq","Señorita","Fadi Kod, Super Sako","Señorita","1","1","209026","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:0DyLx2e55tlX9ppJioBk3X","Fraise","Hazem Al Sadeer","Fraise","1","1","219312","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:0boYXcfTfncE3Fj1NC7Idd","3A Faw2a","Rabih Baroud","3A Faw2a","1","1","206764","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:51hN3ScR3uO358mhvpYJ8F","Shou Helou","Ziad Bourji","Shou Helou","1","1","211046","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:4RJLmOtq42wJLmd3wkVJxn","حبيبي مش حبيبي - Remix","Carmen Soliman","حبيبي مش حبيبي (Remix)","1","1","259866","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:6bVuFxLcoO2W3PpXJfi5U1","Bahebo","Amr Diab","Bahebo","1","1","235231","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:02KelNc6okzvPvZkIVw6e5","Halala","Maestro","Halala","1","1","174791","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:6zCw0Z2KC1zIrptyCz1skQ","من قلبي بغني","Mohamed Hamaki","Best Arabic Music","1","1","290490","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:2tkZdLZAjWk7IkTGArOu3y","بدك عناية (feat. Gente de Zona)","Mohammad Assaf, Gente De Zona","ما وحشناك","1","5","187946","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:6nnzJQaVaue3Si8wIGooDH","Ana Dialek","Aminux","Ana Dialek","1","1","213716","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:4hZv9kyiFKKUeDa56myAeK","مرتاح","Bader AlShuaibi","شي مختلف","1","1","209384","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:3oAjimiDDbMUYU7DZHuORV","Habibi Ya Leil","Abu","Habibi Ya Leil","1","1","272618","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:2IBZ2ROgyUewCGCgWAp1sq","Ya Sattar","Mohamed Hamaki","Kol Yom Men Dah","1","10","224520","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:0X3fSxclAF17qvAImgJyIj","متل الشمس","Almukhtar, EQuBE","متل الشمس","1","1","196800","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:75L7w7BTN2thk83TKMG02q","Leily Leily","Melissa, Nayer","Leily Leily","1","1","235946","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:7fVZ6x92fzG2pXXyz47cKw","Betwale3 Nar","Hazem Al Sadeer","Betwale3 Nar","1","1","232771","spotify:user:","2019-12-02T17:47:49Z"
"spotify:track:4HuRWr2RH3oukgzPU8O8n8","Bailando","Tiiwtiiw","Bailando","1","1","140750","spotify:user:","2019-12-02T17:47:49Z"
