﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1C3PeqYtCFVFxUBdFZoxeT","Oriental","OSAK","Oriental","1","1","268551","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:3A1fJKVctpV28WnnW5xOsX","Tribe","Dav the Ninja","In Peace","1","4","219428","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:3G6fFwzSObu9BS5XhkJzWA","Kyojin","MVGMVR","Kyojin","1","1","150875","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:2oUAGVmjS4FMaHKxa7KQDh","Izdaja","NIN9","Izdaja","1","1","176535","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:6MeVDDXO3BPR0X2o0KLgeP","Wasary","AxLi, Amir","Wasary","1","1","153980","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:0DMzkDvrWz7GaTNf3257uZ","Mirror","Serhat Durmus","ME and U","1","2","183199","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:1yRyJyB90a0YiaogagFXfx","Roots","Mylky, MOHA","Roots","1","1","222517","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:42bzfcGVgYcpjo2kebQZXh","Marrakech","Türküm","Marrakech","1","1","140571","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:5Jp1RqJJZz2qYrJrdja9X1","Senshi","MVGMVR","Senshi","1","1","124672","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:3BUFuwaRaRDc2GIKNVkwmI","Outlaws","Adro, SVRRIC","Outlaws","1","1","180004","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:6gItxgLiMUYV5n3ityPec4","Golden","BoyPanda","Golden","1","1","210000","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:4M92m8y6WXm0xHzWBY3tJJ","Royal","Nextro, Wizard","Royal","1","1","212000","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:39qUZ7zIlDXziDOvRE2UCN","Token Baashi","CryJaxx, TH3 DARP","Token Baashi","1","1","221156","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:1uuMXHUeVR6sZ4CwnkvlQ4","Mia Cara","Salimo","Mia Cara","1","1","220928","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:06VL0LPGJodM9Kq7j2mpcu","Rise","Onur Ormen, SVRRIC","Rise","1","1","137124","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:3CrDFdN7MKM3Mx9T3znBts","Katyar","MVGMVR","Katyar","1","1","224437","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:1MitUwnaR9yfZghi4Qzf8M","Galbi","Amorf","Hayat","1","2","153604","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:09Ltdtsh3FFIGAppCJj0HD","Ares","TORU, TH3 DARP","Ares","1","1","189542","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:4BLFw6EbBWHvKe7uTokPe5","Sargon","AxLi","Sargon","1","1","184800","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:20apZJRGImKXGa6jXHbuMd","Wild","YZKN, SVLIH","Wild","1","1","126223","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:2IEzElQ5KAtXDoJAGixG2R","Raabta","CryJaxx","Raabta","1","1","183312","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:5aZaJ7puWEEwKDJg0GjsIb","Caspian","ASADI","Caspian","1","1","202648","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:4qg5zuCvEWTeOb3ON0qLuc","Ankh","Gagexa","Ankh","1","1","200056","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:7mjsDtb6oMFXi6IL069UED","Mirage","Nextro","Mirage","1","1","187248","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:78NWG8vFrAehpsCJr1SLvq","End","YZKN","End","1","1","184634","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:55DEy5jBZJcm75JpGZTlyC","Cataclysm جائحة","Gillionaire","Cataclysm جائحة","1","1","139043","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:5qNdv1WPksgm2F87wzznPi","Arabian Drift","VFM Style","Arabic Trap, Pt. 2","1","16","215798","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:6JTUikvtPRHUhcg0K3eXid","Kobra","Fakear, Pouvoir Magique","Kobra","1","1","198453","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:4HqbXDIHii3bLy2iBOpJTn","Axis","Onur Ormen","Axis","1","1","163637","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:63EtlVp4DuYE9YEcjmIlbk","La Yare (Remix)","Cricced","Arabic Trap, Pt. 2","1","3","158930","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:0iwr5Kp0R2RVpBUOVIzMCs","Earif Habibi","Amorf","Hayat","1","3","198408","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:2IiNgBjUpVl06PPgjhTP2x","Manama","URUS Squad","Manama","1","1","173187","spotify:user:","2019-12-12T22:21:04Z"
"spotify:track:2R2H8r2X1MCJFvvLx6DYZy","Odyssey","Żwirek","Odyssey","1","1","245721","spotify:user:","2019-12-12T22:21:04Z"
