﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2rTnVB1bvwxHtaIl4uVu7f","Slide","H.E.R., YG","Slide","1","1","238321","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5bvnqVuq7UFl0txSlHpsfS","Loyal (feat. Drake)","PARTYNEXTDOOR, Drake","Loyal (feat. Drake)","1","1","197973","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:0mTKJnVf6GcujyDr1PZn0Q","Jerry Sprunger (with T-Pain)","Tory Lanez, T-Pain","Jerry Sprunger (with T-Pain)","1","1","233546","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:3Ey11v2aiX14s4wBaYbhlp","Don't Waste My Time (feat. Ella Mai)","Usher, Ella Mai","Don't Waste My Time (feat. Ella Mai)","1","1","199720","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1GIYmwtBbPSHrqcSaukZck","Heat (feat. Gunna)","Chris Brown, Gunna","Indigo","1","10","232733","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:4nw0S8MtvcLSpXCS9M8ciL","Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy)","Dreamville, Ari Lennox, Omen, Ty Dolla $ign, Dreezy","Revenge Of The Dreamers III","1","15","284040","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:3TTMUI5dFcbeNSDTTDY9M8","Come Thru (with Usher)","Summer Walker, Usher","Over It","1","5","181013","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:57vxBYXtHMk6H1aD29V7PU","Heartless","The Weeknd","Heartless","1","1","200080","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1nal3Tf1OCV53KigMZXsZ7","None Of Your Concern","Jhené Aiko, Big Sean","None Of Your Concern","1","1","262213","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5S2Cpe6R4pV2dcJZkr6BzF","Show Me Love (feat. Miguel) - Recorded Live at Jungle City Studios","Alicia Keys, Miguel","Spotify Singles","1","1","264833","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6tq6PWrJ8y8icAv1x45YXT","Verify (feat. Young Thug, Gunna)","Jacquees, Young Thug, Gunna","Verify","1","1","163493","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:0Odu228D0yGcFySGuxU4rY","The Take (feat. Chris Brown)","Tory Lanez, Chris Brown","Chixtape 5","1","6","221492","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1mEO3xiJqEWXYIdZalDzHR","Collide - From "Queen & Slim: The Soundtrack"","Tiana Major9, EARTHGANG","Collide (From "Queen & Slim: The Soundtrack")","1","1","205453","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1opARDDYaOeE1QUdwXmBGu","Caught Up (feat. Khalid)","Majid Jordan, Khalid","Caught Up (feat. Khalid)","1","1","247546","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:4otQJBpb8okSeykALR3eCH","Something Real (with London On Da Track & Chris Brown)","Summer Walker, London On Da Track, Chris Brown","Something Real (with London On Da Track & Chris Brown)","1","1","183137","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1WMn91p7f5XC7nOeddClml","Honesty - Remix","Pink Sweat$, Jessie Reyez","Honesty (Remix)","1","1","187805","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:05TFja7Cz5s1xD5HMAnIEx","go girl","Luke James, BJ The Chicago Kid, Ro James","go girl","1","1","213535","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:2VqKx3HH8gaZPabNWYvksy","I Want You Around","Snoh Aalegra","- Ugh, those feels again","1","2","212787","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1sQBPGypjSgEgJZvD8u8ty","Roll Some Mo","Lucky Daye","Painted","1","1","292884","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:2E6S3NgbSG9NYwbdi6rWYB","Morning","Teyana Taylor, Kehlani","Morning","1","1","253946","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:3cBDXeBa5jR7nCks8KQQrN","I Don't Think You're Ready","Tank","I Don't Think You're Ready","1","1","163506","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:79sX21LCECS5iBt0rRhU4W","Not Coming Back","BJ The Chicago Kid, PJ Morton","1123 (Deluxe Edition)","1","15","157927","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:4DbbQcjs1sfPFcUys9SbSy","Time Machine","Alicia Keys","Time Machine","1","1","270718","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:2xyx0o4xNOLLjBSbOOdcbA","Playing Games (with Bryson Tiller) - Extended Version","Summer Walker, Bryson Tiller","Over It","1","3","143226","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1MqVHgJ8JFyU03XOstZDA6","PTSD (feat. Tank & The Bonfyre)","Fantasia, Tank, The Bonfyre","PTSD (feat. Tank & The Bonfyre)","1","1","235174","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1vXFnAO7zu7n0ErcJmGLZF","Triggered - Remix","Jhené Aiko, 21 Savage, Summer Walker","Triggered (Remix)","1","1","231066","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:0mx2SptsYoBU1fU1xdNWU8","Risk It All (feat. Tory Lanez)","Jacquees, Tory Lanez","King of R&B","1","7","206893","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6S5dMjMifQYmyTu1mX4f8P","Blame","Bryson Tiller","Blame","1","1","127028","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6TqXcAFInzjp0bODyvrWEq","Talk (feat. Disclosure)","Khalid, Disclosure","Free Spirit","1","5","197573","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:782CIMTujSmNFrRuAVhsqd","Funeral","Miguel","Funeral","1","1","135120","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:30QVousvHxslg00I7dNLU2","Why I Still Love You","Missy Elliott","ICONOLOGY","1","4","169306","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:2fpVvARsopfxhvNaUMwvS6","Somebody Else (feat. JoJo)","Tank, JoJo","ELEVATION","1","8","199836","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6hecXwh6EZHcl6rZyJftKQ","Overtime","Chris Brown","Indigo (Extended)","1","2","274986","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5pAbCxt9e3f81lOmjIXwzd","Be Honest (feat. Burna Boy)","Jorja Smith, Burna Boy","Be Honest (feat. Burna Boy)","1","1","207030","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1xJTW86sJ1OoloXeOret6t","Blow My Mind","DaVido, Chris Brown","Blow My Mind","1","1","199173","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:3uouaAVXpQR3X8RYkJyitQ","CYANIDE","Daniel Caesar","CASE STUDY 01","1","2","194959","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:3f9eR0IZrktbCSqPfxM9jr","FREEDOM RINGS","Brandy","Freedom Rings","1","1","226560","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5jlLBqK31dOqXECKn3jlMX","Sextasy","Swae Lee","Sextasy","1","1","225036","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5LKzqs734Xs528hqK8bGS1","You Can't Save Me","SiR","Chasing Summer","1","3","174946","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5LpLw3R6TDlvmOIsgeCNjy","BUILT FOR LOVE (feat. Jazmine Sullivan)","PJ Morton, Jazmine Sullivan","PAUL","1","6","205308","spotify:user:","2019-12-13T05:01:00Z"
