﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7k4t7uLgtOxPwTpFmtJNTY","Tusa","KAROL G, Nicki Minaj","Tusa","1","1","200960","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5DxXgozhkPLgrbKFY91w0c","Vete","Bad Bunny","Vete","1","1","192024","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:4AjWbAwRpxk2worpjNH5CS","Quizás","Rich Music LTD, Dalex, Sech, Justin Quiles, Wisin, Zion, Dimelo Flow, Lenny Tavárez, Feid","Quizás","1","1","216066","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:7JabxjX6a5GvDDw6zRFscj","Whine Up","Nicky Jam, Anuel AA","Whine Up","1","1","215459","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:7rFxvKtiIeCfjmn1uKxmI9","Fantasía","Ozuna","Fantasía","1","1","175186","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5stPVcRqb4qixbafP9e8lt","Hola - Remix","Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dimelo Flow","Hola (Remix)","1","1","249520","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6RyaV7owmVU6fzEPE17sF1","Que Tire Pa Lante","Daddy Yankee","Que Tire Pa Lante","1","1","210520","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1Xnn1TPyr5h0hpRAT4B4EA","Bellaquita - Remix","Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles","Bellaquita (Remix)","1","1","304733","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:3jbT1Y5MoPwEIpZndDDwVq","Adicto (with Anuel AA & Ozuna)","Tainy, Anuel AA, Ozuna","Adicto (with Anuel AA & Ozuna)","1","1","270740","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6mAN61JH0dzyZpWslS11jy","Fantasias","Rauw Alejandro, Farruko","Fantasias","1","1","199711","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:59s0s39NFWScuHDbHytI14","Indeciso","Reik, J Balvin, Lalo Ebratt","Indeciso","1","1","217253","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:37zdqI4r1gswIzczSBkRon","Aventura","Lunay, Ozuna, Anuel AA","Épico","1","2","217129","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:0RDgqtvOHLwcI6yz9bjsZV","Perreo en La Luna","Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid","The Academy","1","3","218586","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:0lbhKycRyqkOMKZ6thzfU4","Mi Error - Remix","Eladio Carrion, Zion & Lennox, Wisin & Yandel, Lunay","Mi Error (Remix)","1","1","315862","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:4xvTPuwHaXoDM3p0QcY7bH","Música","DJ Luian, Mambo Kingz, Farruko, Wisin, Myke Towers, Darell, Arcangel","Música","1","1","223815","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:2B94bbI1a4LyBpK1439oP7","Cuerpo en Venta","Noriel, Myke Towers, Rauw Alejandro, Almighty","Cuerpo en Venta","1","1","254413","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:2rc7BkzO8qepMFAxHtOrXc","Blanco","J Balvin","Blanco","1","1","145800","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:2ksOAxtIxY8yElEWw8RhgK","China","Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna","China","1","1","301714","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5m3jpKkgkfoMcym1qjToFg","Jangueo","Alex Rose, Rafa Pabön","LOST","1","1","259600","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:3C4KPCcAUNRviPtazWy39H","Trampa","Prince Royce, Zion & Lennox","Trampa","1","1","211222","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:7rknFhrVDyxzTJkPSf7LoW","No Me Conoce - Remix","Jhay Cortez, J Balvin, Bad Bunny","No Me Conoce (Remix)","1","1","307546","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:2TH65lNHgvLxCKXM3apjxI","Callaita","Bad Bunny, Tainy","Callaita","1","1","250533","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5099x34vBakWpGkHourFxP","Qué Pena","Maluma, J Balvin","Qué Pena","1","1","212711","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:3o7TK4inMYzJC3ZMJCWsRC","Boomshakalaka - Dimitri Vegas & Like Mike vs. Afro Bros Radio Mix","Dimitri Vegas & Like Mike, Afro Bros, Sebastian Yatra, Camilo, Emilia, Dimitri Vegas, Like Mike","Boomshakalaka (Dimitri Vegas & Like Mike vs. Afro Bros Radio Mix)","1","1","211519","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:14Q3OrXMvSTCJvqeSNXovU","Nadie Como Tu","Amenazzy, G-Eazy","Nadie Como Tu","1","1","177327","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:2ohqtT8jp5VeSBAtBEpSqA","Toxico","Brytiago, Myke Towers","Toxico","1","1","195666","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:0UfVfRSmy4xMyi67LKH5zZ","La Isla (with Sech & Dalex feat. Justin Quiles, La Exce, Feid, Zion)","Dimelo Flow, Sech, Dalex, Justin Quiles, La Exce, Feid, Zion","La Isla (with Sech & Dalex feat. Justin Quiles, La Exce, Feid, Zion)","1","1","266773","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:2sRhe52xJklfzRIe0K6puw","Voy Por Ti","Cali Y El Dandee, Piso 21","Voy Por Ti","1","1","212133","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6TvNO32huOBlWG5o69i1v7","FRESH KERIAS","Feid, Maluma, Sky","FRESH KERIAS","1","1","272800","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:64kNRze29YqCFzFEpQCaHQ","Rasta Barbie (Remix)","Gigolo Y La Exce, Myke Towers, Arcangel, El Alfa, Farruko","Rasta Barbie Remix","1","1","288469","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5e50NiIlOc2YJIftHzoehd","MALA SANTA","Becky G","MALA SANTA","1","1","173826","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:0fea68AdmYNygeTGI4RC18","LA CANCIÓN","J Balvin, Bad Bunny","OASIS","1","5","242573","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:0mcBgVRVsvESTkEyVHt7Ue","No Vuelvas Más","Darell","No Vuelvas Más","1","1","239093","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6Y4PDQv4XjYjHLeLmvyOt0","Si Te Vas","Sech, Ozuna","Si Te Vas","1","1","204906","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5YrjfKuFd0pMmYTGeRDV6X","Piropo","Noriel","Piropo","1","1","220133","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:0Cn8NxJZz7zUlsaA3rXoIU","Easy - Remix","Jhay Cortez, Ozuna","Easy (Remix)","1","1","220146","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:3EfqlNLh9HHLh8YkmezU5h","Una Noche","Rauw Alejandro, Wisin","Una Noche","1","1","247066","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1ScD7XQYCKmJ3fdNh71lUE","Bailemos","Manuel Turizo, Sech","ADN","1","7","206294","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6RyuoOJXNzlVWpfC5xQyeI","Alocao (With Bad Gyal)","Omar Montes, Bad Gyal","Alocao (With Bad Gyal)","1","1","209320","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:4o1DxRjMCHDwBiOKv88rOl","B11 (feat. Myke Towers)","Rvssian, Darell, Zion & Lennox, Myke Towers","B11 (feat. Myke Towers)","1","1","251929","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6Y6YC93R1r0CISm5iC4j27","BOTA FUEGO","Mau y Ricky, Nicky Jam","BOTA FUEGO","1","1","223186","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5CQzOnFWI0liUblbHYVNge","La Cama","Lunay, Myke Towers","La Cama","1","1","189295","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:2kjdTPSRPS9mVfRlaenjsf","Mi Ex","Ñejo, Nicky Jam","Mi Ex","1","1","233600","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:0PabDDMMzwmn9cfJsfes7W","Chica Bombastic","Wisin & Yandel","Chica Bombastic","1","1","193146","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:0c60lGN8Fnq4oTMFJpQuYx","Así Así","Farina, Maluma","Así Así","1","1","195491","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:3XsqFFCOn6oPKt4GCod2wP","Mañana No Hay Clase (24/7)","Sebastian Yatra, Ñejo, Dalmata","Mañana No Hay Clase (24/7)","1","1","202080","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1Eo8Ty067B01B7GETiZdgy","Full Moon","Guaynaa, Yandel","Full Moon","1","1","185680","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:76UZQROHQm5um99NbxtMio","Emborráchate","Nacho, Noriel","UNO","1","4","207800","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6ycsFSUUgyOSZiz3P2o1pT","Cosita (feat. Sech)","Valentino, Dalex, Lenny Tavárez, Sech","Cosita (feat. Sech)","1","1","238480","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:4KZ7Pgwv14Bt33SOfzL5ad","No Me Ignores (with Cazzu & Rauw Alejandro, feat. Myke Towers & Eladio Carrión)","Jay Menez, Cazzu, Rauw Alejandro, Myke Towers, Eladio Carrion","No Me Ignores (with Cazzu & Rauw Alejandro, feat. Myke Towers & Eladio Carrión)","1","1","291818","spotify:user:","2019-12-13T05:01:00Z"
