﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4ZSQS1o7qYAXJa5I37lk5x","Up Late","Ari Lennox","Shea Butter Baby","1","4","266934","spotify:user:","2019-11-24T19:58:39Z"
"spotify:track:5Ck2pBM8zZNIjIxeiEiVvy","Strange - Edit","Celeste","Strange (Edit)","1","1","198374","spotify:user:","2019-12-09T20:40:48Z"
"spotify:track:10AvU1MdYQcakqtbErtkJa","Collide - From "Queen & Slim: The Soundtrack"","Tiana Major9, EARTHGANG","Queen & Slim: The Soundtrack","1","4","205453","spotify:user:","2019-11-24T19:58:39Z"
"spotify:track:1mC0kUHfD8YzjffB8K4m5n","Guarding The Gates - From "Queen & Slim: The Soundtrack"","Ms. Lauryn Hill","Queen & Slim: The Soundtrack","1","11","360312","spotify:user:","2019-11-24T19:58:39Z"
"spotify:track:0sdrmuPXp8pXhy0hrdJ8AH","Whatchusay","Sevyn Streeter","Whatchusay","1","1","185811","spotify:user:","2019-11-24T19:58:39Z"
"spotify:track:3TTMUI5dFcbeNSDTTDY9M8","Come Thru (with Usher)","Summer Walker, Usher","Over It","1","5","181013","spotify:user:","2019-11-24T19:58:39Z"
"spotify:track:3yhInewGeB4AzUJKyz3SUR","What If","Amber Mark","What If","1","1","215239","spotify:user:","2019-11-24T19:58:39Z"
"spotify:track:0MoGkelRvi3gxZy6kuYHLq","Touch & Go","Tinashe, 6LACK","Songs For You","1","11","255455","spotify:user:","2019-11-24T19:58:39Z"
"spotify:track:4vr7q1NPXQhPysvuRkN91L","A Fools Tale (Running Back) (feat. Ashanti)","Tory Lanez, Ashanti","Chixtape 5","1","14","292258","spotify:user:","2019-11-24T19:58:39Z"
"spotify:track:2rTnVB1bvwxHtaIl4uVu7f","Slide","H.E.R., YG","Slide","1","1","238321","spotify:user:","2019-11-24T19:58:39Z"
"spotify:track:3IHwH8tPmchRYNCOMYvPOl","Oprah","Rapsody, Leikeli47","Eve","1","4","302493","spotify:user:","2019-11-24T19:58:39Z"
"spotify:track:7oqftogUN82Q7VNy2TmTJW","MOOD 4 EVA (feat. Oumou Sangaré)","Beyoncé, JAY-Z, Childish Gambino, Oumou Sangaré","The Lion King: The Gift","1","12","272068","spotify:user:","2019-11-24T19:58:39Z"
"spotify:track:4pjfuYz6ljyMNkJO6tbPFh","I Can't Change","Londynn B","Rhythm + Flow: Music Videos Episode (Music from the Netflix Original Series)","1","8","139834","spotify:user:","2019-11-24T19:58:39Z"
"spotify:track:0rIAC4PXANcKmitJfoqmVm","Motivation","Normani","Motivation","1","1","193837","spotify:user:","2019-11-24T19:58:39Z"
"spotify:track:1HBrxfreCZDstJMYVzgRPM","Evapora","IZA, Ciara, Major Lazer","Evapora","1","1","127075","spotify:user:","2019-11-24T19:58:39Z"
"spotify:track:0xr7t6jQWzFsZ9XwfcxAu7","D & G","DaVido, Summer Walker","A Good Time","1","6","172500","spotify:user:","2019-11-24T19:58:39Z"
