﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:63UtBlg0KZZYueVi6r8DQp","Black Sun","Irma","Black Sun","1","1","206634","spotify:user:","2019-05-10T21:35:21Z"
"spotify:track:5gICNh1EHmDlpyWERFitXG","Savior","Southern Avenue","Savior","1","1","223490","spotify:user:","2019-05-10T21:35:21Z"
"spotify:track:0pom84iOS1iE0OCc1vWJBX","Love Like There's No Tomorrow","The War and Treaty","Healing Tide","1","1","144106","spotify:user:","2019-05-10T21:35:21Z"
"spotify:track:1sA5P8waghOeBj5nc1S4XZ","Hard to Stay Cool","Cedric Burnside","Hard to Stay Cool","1","1","334360","spotify:user:","2019-05-10T21:35:21Z"
"spotify:track:7pi7XTGGaVBzrhlaYH97CV","Where Did I Go Wrong","Joey Landreth","Hindsight","1","3","260013","spotify:user:","2019-05-10T21:35:21Z"
"spotify:track:0CjojcaWJEq0HYyxpkXlzu","Your Water","Parker Millsap, Sarah Jarosz","Luck Mansion Sessions","1","1","162408","spotify:user:","2019-05-10T21:35:21Z"
"spotify:track:16nsWHpv1wsZCcNAYcLDM2","Broke My Own","Shannon Shaw","Broke My Own","1","1","179386","spotify:user:","2019-05-10T21:35:21Z"
"spotify:track:5zp4hfK7UcGn9EHhcP6bDE","To Rise You Gotta Fall","Nicki Bluhm","To Rise You Gotta Fall","1","1","296387","spotify:user:","2019-05-10T21:35:21Z"
"spotify:track:0CuXzMEgFzuQhLEYQHYas4","This Too Shall Last","Anderson East","Encore","1","2","222400","spotify:user:","2019-05-10T21:35:21Z"
"spotify:track:2R4O7MgIrN35QXnyLKMFVl","Mrs.","Leon Bridges","Good Thing","1","9","242520","spotify:user:","2019-05-10T21:35:21Z"
"spotify:track:0f2zcrhhHT59aIGQvRlTZ1","One More Night","Michael Kiwanuka","Love & Hate","1","6","233413","spotify:user:","2019-05-10T21:35:21Z"
"spotify:track:5fBjPtOxhgdpU6LNWLyVHv","Mad About You","Son Little","New Magic","1","5","213136","spotify:user:","2019-05-10T21:35:21Z"
"spotify:track:4MF13EQrQftevIUwXcLQHS","Ice Cream & Cigarettes","Million Miles","Ice Cream & Cigarettes","1","1","172240","spotify:user:","2019-05-10T21:35:21Z"
"spotify:track:1jJeYe1XBYid6aiTcHlBC1","Wednesday Morning Atonement","Curtis Harding","Face Your Fear","1","1","268733","spotify:user:","2019-05-10T21:35:21Z"
"spotify:track:5NFV5HquTXQXR3q384YMhc","Take Me Down","Gary Clark Jr.","Take Me Down","1","1","287483","spotify:user:","2019-05-10T21:35:21Z"
