﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:79cuOz3SPQTuFrp8WgftAu","There's Nothing Holdin' Me Back","Shawn Mendes","Illuminate (Deluxe)","1","1","199440","spotify:user:12166530781","2017-08-27T22:37:56Z"
"spotify:track:5bcTCxgc7xVfSaMV3RuVke","Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris, Pharrell Williams, Katy Perry, Big Sean","Funk Wav Bounces Vol.1","1","8","223413","spotify:user:12166530781","2017-08-27T22:38:16Z"
"spotify:track:4h1kl6AelZyNFzvtXcRP6y","Uh Huh","Julia Michaels","Nervous System","1","2","178973","spotify:user:12166530781","2017-08-27T22:43:14Z"
"spotify:track:0xG0SHshCStMEyNbNC5d4k","Issues","Julia Michaels","Nervous System","1","1","176320","spotify:user:12166530781","2017-08-27T22:43:27Z"
"spotify:track:6yaHCAtl9kA0K3FMumR2ph","Heart Like Yours","Willamette Stone","If I Stay: Original Motion Picture Soundtrack: Deluxe Version","1","14","200560","spotify:user:12166530781","2017-08-27T22:43:52Z"
"spotify:track:21Go4aMyLGP40ANI3TU0Fn","Geronimo","Sheppard","Geronimo","1","1","218227","spotify:user:12166530781","2017-08-27T22:47:01Z"
"spotify:track:54Sc7mZQ1RM03STpk4SfaA","Helpless","Phillipa Soo, Original Broadway Cast of Hamilton","Hamilton (Original Broadway Cast Recording)","1","10","249770","spotify:user:12166530781","2017-08-27T22:52:14Z"
"spotify:track:3lSDIJ2abCrOdDJ6pshUap","Close","Nick Jonas, Tove Lo","Last Year Was Complicated","1","3","234213","spotify:user:12166530781","2017-08-27T22:52:46Z"
"spotify:track:6sy3LkhNFjJWlaeSMNwQ62","Counting Stars","OneRepublic","Native","1","1","257839","spotify:user:12166530781","2017-08-27T22:54:10Z"
"spotify:track:542gZt6dUt1e0WL0QbIvZJ","Good Grief","Bastille","Good Grief","1","1","206499","spotify:user:12166530781","2017-08-27T22:54:43Z"
"spotify:track:3o1cohFfwd57rAvrbyVE5e","Love Love Love","Of Monsters and Men","My Head Is An Animal","1","8","238786","spotify:user:12166530781","2017-08-27T22:55:03Z"
"spotify:track:2tpfxAXiI52znho4WE3XFA","Talking Body","Tove Lo","Queen Of The Clouds","1","4","238426","spotify:user:12166530781","2017-08-27T22:55:16Z"
"spotify:track:5eWgDlp3k6Tb5RD8690s6I","Sugar","Maroon 5","V (Deluxe)","1","5","235493","spotify:user:12166530781","2017-08-27T22:55:22Z"
"spotify:track:0iKlXtAP40BMzxFYw2kfnZ","Thinking Out Loud - Acoustic","Tyler Ward","Cookin' Covers","1","3","300000","spotify:user:12166530781","2017-08-27T22:55:40Z"
"spotify:track:6bIOb9jMS0Fh01zTdQYfdt","Us Against the World","Daniela Andrade","Covers, Vol. 1","1","4","210917","spotify:user:12166530781","2017-08-27T22:56:28Z"
"spotify:track:5OYtV2lTk8rwmIHjD1j5fC","Gotta Have Him","Emily Hearn","Promises","1","1","199613","spotify:user:12166530781","2017-08-27T22:56:38Z"
"spotify:track:07QBs9nW6ke3uSfPBGY4hd","It Would Be An Honor","Night Terrors of 1927","Everything's Coming Up Roses","1","6","243266","spotify:user:12166530781","2017-08-27T22:57:21Z"
"spotify:track:0rkzM1FJh4xWCTF1NwDGYN","Better Together","Jack Johnson","In Between Dreams","1","1","207680","spotify:user:12166530781","2017-08-27T22:57:37Z"
"spotify:track:0LH5xRQz5D36FpIkYUFv2e","In Your Arms","Nico & Vinz","Black Star Elephant","1","14","205800","spotify:user:12166530781","2017-08-27T22:58:06Z"
"spotify:track:55qBw1900pZKfXJ6Q9A2Lc","Teenage Dream","Katy Perry","Katy Perry - Teenage Dream: The Complete Confection","1","1","227760","spotify:user:12166530781","2017-08-27T22:58:22Z"
"spotify:track:1OXfWI3FQMdsKKC6lkvzSx","Glad You Came","The Wanted","Glad You Came","1","1","198466","spotify:user:12166530781","2017-08-27T23:03:36Z"
"spotify:track:7yHEDfrJNd0zWOfXwydNH0","Into You","Ariana Grande","Dangerous Woman","1","4","244453","spotify:user:12166530781","2017-08-28T15:00:20Z"
"spotify:track:57F80059mWaWFvWG3tBTbO","The Edge Of Glory","Lady Gaga","Born This Way (International Special Edition Version)","1","17","320546","spotify:user:12166530781","2017-08-28T15:01:52Z"
"spotify:track:5MsZIaCYY6Tsdph0LiB0hE","Alone Together","Fall Out Boy","Save Rock And Roll","1","3","203413","spotify:user:12166530781","2017-08-28T15:02:39Z"
"spotify:track:7qiZfU4dY1lWllzX7mPBI3","Shape of You","Ed Sheeran","÷ (Deluxe)","1","4","233712","spotify:user:12166530781","2017-08-28T15:03:42Z"
"spotify:track:1dNIEtp7AY3oDAKCGg2XkH","Something Just Like This","The Chainsmokers, Coldplay","Something Just Like This","1","1","247626","spotify:user:12166530781","2017-08-28T15:04:29Z"
"spotify:track:4dTVgHZFPlaq9nPbLVVLSG","Closer","Tegan and Sara","Heartthrob","1","1","209280","spotify:user:12166530781","2017-08-28T15:09:12Z"
"spotify:track:7mldq42yDuxiUNn08nvzHO","Body Like A Back Road","Sam Hunt","Body Like A Back Road","1","1","165386","spotify:user:12166530781","2017-08-28T15:15:21Z"
"spotify:track:6dFZU9jUCwHHnytKYeuXz3","Sugar How You Get So Fly","Sugar Fix","Sugar How You Get So Fly","1","1","217828","spotify:user:12166530781","2017-08-28T15:16:17Z"
"spotify:track:13PXZOxAMcdK4b3Ta2P84v","Girls / Fast Cars","The Wombats","The Wombats proudly present...This Modern Glitch","1","9","215760","spotify:user:12166530781","2017-08-28T15:17:27Z"
"spotify:track:7JIuqL4ZqkpfGKQhYlrirs","The Only Exception","Paramore","brand new eyes","1","6","267653","spotify:user:12166530781","2017-09-05T16:00:19Z"
"spotify:track:5P16LUPtZ1I5t3EqwELD53","First Love","Jennifer Lopez","A.K.A. (Deluxe)","1","2","215786","spotify:user:12166530781","2017-09-06T20:29:40Z"
"spotify:track:0MEvZNXx1dqV0LW5eOhTKx","Shine","Night Terrors of 1927","Everything's Coming Up Roses","1","9","245493","spotify:user:12166530781","2017-09-06T21:47:20Z"
"spotify:track:742xhiDs6HCGkTwDQy8V8v","Always Be One","Night Terrors of 1927","Everything's Coming Up Roses","1","8","187266","spotify:user:12166530781","2017-09-06T21:48:44Z"
"spotify:track:2JZKXgq5zsokN01KWyiY6n","Mirrors","Justin Timberlake","The 20/20 Experience","1","9","484146","spotify:user:12166530781","2017-09-06T22:27:11Z"
"spotify:track:4sNLmZkCompS2H3LwzYrng","Novocaine","Night Terrors of 1927","Everything's Coming Up Roses","1","5","224866","spotify:user:12166530781","2017-09-07T13:11:30Z"
"spotify:track:3zHq9ouUJQFQRf3cm1rRLu","Love Me Like You Do - From "Fifty Shades Of Grey"","Ellie Goulding","Delirium (Deluxe)","1","9","252534","spotify:user:12166530781","2017-09-07T13:17:41Z"
"spotify:track:47Slg6LuqLaX0VodpSCvPt","Just the Way You Are","Bruno Mars","Doo-Wops & Hooligans","1","2","220733","spotify:user:12166530781","2017-09-07T13:19:20Z"
"spotify:track:34gCuhDGsG4bRPIf9bb02f","Thinking out Loud","Ed Sheeran","x (Deluxe Edition)","1","11","281560","spotify:user:12166530781","2017-09-07T13:20:19Z"
"spotify:track:0mqTcM8kuu2IYPotMt7AzS","Make You Feel My Love","Adele","19","1","9","212040","spotify:user:12166530781","2017-09-07T13:22:03Z"
"spotify:track:48td6xvpokdYwvbl3JIiXP","Love Never Felt So Good","Michael Jackson, Justin Timberlake","XSCAPE","1","17","246026","spotify:user:12166530781","2017-09-07T13:23:01Z"
"spotify:track:3U4isOIWM3VvDubwSI3y7a","All of Me","John Legend","Love In The Future (Expanded Edition)","1","6","269560","spotify:user:12166530781","2017-09-07T13:23:08Z"
"spotify:track:4JaoU6fL2Ifz2gDyFYtpiP","Halo","Ane Brun, Linnea Olsson","Rarities","1","2","232986","spotify:user:12166530781","2017-09-07T13:23:36Z"
"spotify:track:1Pw5C4N6Fn5E4mGCxmbbVa","Say You Won't Let Go","James Arthur","Say You Won't Let Go","1","1","211240","spotify:user:12166530781","2017-09-07T13:28:41Z"
"spotify:track:3FsBtu3gdlfZjBLXyDvmj1","The Night We Met","Lord Huron","13 Reasons Why (A Netflix Original Series Soundtrack)","1","6","206933","spotify:user:12166530781","2017-09-07T13:32:08Z"
"spotify:track:4fwbGKNExPtPHbor1TBSY4","Unconditionally","Katy Perry","PRISM (Deluxe)","1","5","228878","spotify:user:12166530781","2017-09-07T13:33:48Z"
"spotify:track:6yIdwnpDHufLWgQcveTPMk","I Don’t Wanna Live Forever (Fifty Shades Darker)","ZAYN, Taylor Swift","I Don’t Wanna Live Forever (Fifty Shades Darker)","1","1","245200","spotify:user:12166530781","2017-09-07T13:35:03Z"
"spotify:track:51PIvodunv6NmX5250zxAh","The Cure","Lady Gaga","The Cure","1","1","211363","spotify:user:12166530781","2017-09-07T13:35:54Z"
"spotify:track:3DDGhkxq3FeUorZppSgeLE","Somewhere Only We Know","Lily Allen","Somewhere Only We Know","1","1","208154","spotify:user:12166530781","2017-09-07T13:42:18Z"
"spotify:track:4fz20fbPHtJg8CLuxKOGFV","We Are Young (feat. Janelle Monáe)","fun., Janelle Monáe","Some Nights","1","3","250626","spotify:user:12166530781","2017-09-07T14:52:10Z"
"spotify:track:3IcZnBcXwG0ubZs7aPGxPN","Demons","Tyler Ward, Kina Grannis","Demons","1","1","212586","spotify:user:12166530781","2017-09-07T14:54:15Z"
"spotify:track:225xvV8r1yKMHErSWivnow","I Don't Want to Miss a Thing - From "Armageddon" Soundtrack","Aerosmith","Armageddon - The Album","1","1","298760","spotify:user:12166530781","2017-09-07T14:56:22Z"
"spotify:track:6Ac4NVYYl2U73QiTt11ZKd","Hooked on a Feeling","Blue Swede, Björn Skifs","Hooked On A Feeling","1","1","172866","spotify:user:12166530781","2017-09-15T13:46:13Z"
"spotify:track:75hLNJfiXV5k2YGrbGEW51","Feel Again","OneRepublic","Native","1","4","185080","spotify:user:12166530781","2017-09-15T15:23:01Z"
"spotify:track:3r9bgSJlJz2zlevcBRYXko","Both of Us (feat. Taylor Swift)","B.o.B, Taylor Swift","Strange Clouds","1","4","216120","spotify:user:12166530781","2017-09-15T15:25:40Z"
"spotify:track:1HwpWwa6bnqqRhK8agG4RS","Beautiful Soul","Jesse McCartney","Beautiful Soul","1","2","214226","spotify:user:12166530781","2017-09-15T15:25:51Z"
"spotify:track:4WVRFif4gqrzSwEiABrbBn","Latch","Daniela Andrade","Latch","1","1","217500","spotify:user:12166530781","2017-09-15T15:32:34Z"
"spotify:track:4kbj5MwxO1bq9wjT5g9HaA","Shut Up and Dance","WALK THE MOON","TALKING IS HARD","1","3","199080","spotify:user:12166530781","2017-09-15T15:32:43Z"
"spotify:track:53QF56cjZA9RTuuMZDrSA6","I Won't Give Up","Jason Mraz","Love Is A Four Letter Word (Deluxe)","1","4","240165","spotify:user:12166530781","2017-10-03T19:23:48Z"
"spotify:track:4mxWSdf71VFO52qFeY0fZt","What Lovers Do (feat. SZA)","Maroon 5, SZA","What Lovers Do (feat. SZA)","1","1","199849","spotify:user:1257163185","2017-10-04T00:02:38Z"
"spotify:track:79NlESqzFSW0hdBWgls4FX","Praying","Kesha","Praying","1","1","230269","spotify:user:1257163185","2017-10-04T00:24:40Z"
"spotify:track:0tgVpDi06FyKpA1z0VMD4v","Perfect","Ed Sheeran","÷ (Deluxe)","1","5","263400","spotify:user:1257163185","2018-01-05T00:02:59Z"
"spotify:track:2Q85xwXagilpHKTfdrbC7M","La Rompe Corazones","Daddy Yankee, Ozuna","La Rompe Corazones","1","1","204520","spotify:user:12123546012","2018-02-11T22:01:34Z"
"spotify:track:2hl6q70unbviGo3g1R7uFx","Échame La Culpa","Luis Fonsi, Demi Lovato","Échame La Culpa","1","1","173720","spotify:user:12123546012","2018-02-11T22:12:53Z"
"spotify:track:4N1c5rmWOzRmB9SMacr5wB","Loco Enamorado","Abraham Mateo, Farruko, Christian Daniel","Loco Enamorado","1","1","252200","spotify:user:12123546012","2018-02-11T22:18:20Z"
"spotify:track:6k2900NjJeVqZM55G3Danu","Bum Bum Tam Tam","MC Fioti, Future, J Balvin, Stefflon Don, Juan Magán","Bum Bum Tam Tam","1","1","213988","spotify:user:12123546012","2018-02-11T22:22:33Z"
"spotify:track:1bhUWB0zJMIKr9yVPrkEuI","Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran, Beyoncé","Perfect Duet (Ed Sheeran & Beyoncé)","1","1","259550","spotify:user:12166530781","2018-02-13T01:25:17Z"
"spotify:track:4JehYebiI9JE8sR8MisGVb","Halo","Beyoncé","I AM...SASHA FIERCE","1","2","261640","spotify:user:1257163185","2018-02-15T02:48:37Z"
