﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3U8dhK8wiVtsdmj7jwUJlB","Lava/Treacle","ELIZA, Jesse James Solomon","Lava/Treacle","1","1","201253","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:301KtHr9nGzK5R5IyNVuBu","Risk","FKJ, Bas","Risk","1","1","238834","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:32gaGfRgDMrMtcpCqF078U","Morning Dew","Matt Quentin","Morning Dew","1","1","237037","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:5P1eorfAD2voGnX7ZbuvFz","Can't Stop Your Lovin'","Poolside, Panama","Can't Stop Your Lovin'","1","1","237533","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:4szrRplDCh0cxQ86zMz9Ob","Luv Pact","Misha, Jussi Halme, cocabona","Luv Pact","1","1","176739","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:3h0cWnXZgflrcDuNhYgzi5","Rainbows - Live","Sepalot, Angela Aux, Fabian Füss, Matthias Lindermayr","A New Cycle","1","1","499293","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:7FxzgizJRGTQ3fxUqfvljg","Bad Bad News","Leon Bridges","Good Thing","1","2","207306","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:7hiOhyoRgB7ycVsiNz2ipM","Thank You","Quincy Mumford","Thank You","1","1","206866","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:5wagMdtXxmWEiKXWqriCf9","Paperbacks","Arlo Parks","Sophie","1","5","180000","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:0v0zkrAqWZZwok2ulshRHt","Love That Never","TOKiMONSTA","Love That Never","1","1","215611","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:1wzOaJ3ICS87UuHjk4iSqb","Ridin' Solo","SAINT WKND, Malou, Clouds","Ridin' Solo","1","1","193333","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:0AqMAXSzkIRMV0alAddJK8","Slow Down","Maverick Sabre, Jorja Smith","Slow Down","1","1","211064","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:1DoS5ql0TW3ejjJGHbsAmz","Tadow","Masego, FKJ","Tadow","1","1","301639","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:0Eh6WYIZEIBu552emxez4O","Turning - FloFilz Remix","J.Lamotta, FloFilz","Turning (FloFilz Remix)","1","1","216000","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:3k5oLgungD1dSOGLqQdIQw","Texas Sun","Khruangbin, Leon Bridges","Texas Sun","1","1","252811","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:5z2XleKRbvbiytGucM5v2D","Flight 99","Masego, Ta-ku, matt mcwaters, Please Wait","Flight 99","1","1","167142","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:7AKRcTsRrHHhEGBHOCbSPQ","Jazz & Coffee, Pt. 4","Kid Abstrakt, Emapea, DJ Million Faces","Jazz & Coffee, Pt. 4","1","1","180000","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:3xD9KPvIfr5YxcJw5XaXvf","Brain","REMI, Sensible J, Lori","Brain","1","1","230756","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:78V23YASIqpSZJbWb8GmNi","Climbing Trees","Takeleave","Climbing Trees","1","1","145303","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:0PZRlp2wrQDausamlangtw","Under","Mac Ayres, Jordan Robertson","Something to Feel","1","3","225866","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:18re7l1wyQuflX4B6uZGW6","Sunday Blues - Shuko & The Breed Remix","Julianna Townsend, Shuko, The Breed","Sunday Blues (Shuko & The Breed Remix)","1","1","189152","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:1eJHVaXgUOpwvJfnCJsIg1","Sun Kissed","Bryony Jarman-Pinto","Sun Kissed","1","1","258600","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:4PVO1lMwWCeEFliqd1KEYs","Tony Sendo","Underground Canopy, Bluestaeb, S. Fidelity","Tony Sendo","1","1","230739","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:3YObM9zoU0w9FOCNJe9F7f","Sheriff","Redinho, Joel Culpepper","Sheriff","1","1","183335","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:6gufQS7szZfDuY0zS1bEhH","Sophie","Arlo Parks","Sophie","1","1","215360","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:5nkLtcmInBvzPZCsHKmWJn","Just Fine","Hunter Rose, Loop Schrauber, Clap Cotton","Slow Summer","1","1","192000","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:3OtTh8NtK2lqEbu2Vijndn","Long Love","AgaJon, Y'Akoto, ESO.ES","Long Love","1","1","164842","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:0LMipDo2uzFM6GbgPrZ5fF","Think About It","Hunnah","Think About It","1","1","224769","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:5C4sp6JprCFTO9ZQcg4qXs","By","HNNY","Hosoi","1","1","166344","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:7gUsIv3Mlk5cbtNig3aT8y","Bittersweet","Summers Sons, ZAYA","Bittersweet","1","1","227073","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:1nPgx4Q9edLlooxkg46HrA","For Keeps","JGrrey","For Keeps","1","1","172910","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:5rmXP6ylbfTGpl8Gc7hTcX","Lost In Nostalgia","Tasha Angela","Lost In Nostalgia","1","1","173786","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:2NsU17TAFI6rWXOrYHj8I3","Limitless","Sudan Archives","Athena","1","12","175601","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:2FygRDP2PuxcvWGGyf3nao","In My Head","DAO, Tom Doolie","The View / In My Head","1","2","130588","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:6wAgZUGobl1IKDPMFV7btz","ALAMAIM","DORJ, Melodiesinfonie","MUAR","1","3","223146","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:2qFsJGW32SA20UUfLWdCuS","Cross My Mind","Joe Hertz, Sophie Faith","Cross My Mind","1","1","226906","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:2SVWyRjpZ44odKjj9vDqMA","Coco Blood","Celeste","Coco Blood","1","1","215848","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:7LbSqagvnsVGaeGIBy1542","Pistaccio","Fuchy, AgaJon","Praliné","1","8","173034","spotify:user:","2019-12-13T15:03:23Z"
"spotify:track:0Lhy1sDDdtUFY2pyq2ZVi9","Hit Me Up","Omar Apollo, Dominic Fike, Kenny Beats","Hit Me Up","1","1","160000","spotify:user:","2019-12-13T15:03:23Z"
