﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2q8X0AA5YHDu0GelavXvUU","Got Me (feat. Ari Lennox, Omen, Ty Dolla $ign & Dreezy)","Dreamville, Ari Lennox, Omen, Ty Dolla $ign, Dreezy","1-888-88-DREAM","1","2","284106","spotify:user:","2019-12-10T21:37:51Z"
"spotify:track:2VqKx3HH8gaZPabNWYvksy","I Want You Around","Snoh Aalegra","- Ugh, those feels again","1","2","212787","spotify:user:","2019-12-10T21:37:51Z"
"spotify:track:5A3TwAmhxbQ1qZCJ8N2H8C","The News","PARTYNEXTDOOR","The News","1","1","267384","spotify:user:","2019-12-10T21:37:51Z"
"spotify:track:6S5dMjMifQYmyTu1mX4f8P","Blame","Bryson Tiller","Blame","1","1","127028","spotify:user:","2019-12-10T21:37:51Z"
"spotify:track:57vxBYXtHMk6H1aD29V7PU","Heartless","The Weeknd","Heartless","1","1","200080","spotify:user:","2019-12-10T21:37:51Z"
"spotify:track:1mEO3xiJqEWXYIdZalDzHR","Collide - From "Queen & Slim: The Soundtrack"","Tiana Major9, EARTHGANG","Collide (From "Queen & Slim: The Soundtrack")","1","1","205453","spotify:user:","2019-12-10T21:37:51Z"
"spotify:track:4zI7i4nbKpLVba3JJTaszz","Soul Sista - Remix / From "Queen & Slim: The Soundtrack"","Bilal, Raphael Saadiq","Queen & Slim: The Soundtrack","1","2","339846","spotify:user:","2019-12-10T21:37:51Z"
"spotify:track:2B7UWqNqKgPVGQQ6FXn2PP","What You Did (feat. Ella Mai)","Mahalia, Ella Mai","LOVE AND COMPROMISE","1","9","206946","spotify:user:","2019-12-10T21:37:51Z"
"spotify:track:4vr7q1NPXQhPysvuRkN91L","A Fools Tale (Running Back) (feat. Ashanti)","Tory Lanez, Ashanti","Chixtape 5","1","14","292258","spotify:user:","2019-12-10T21:37:51Z"
"spotify:track:07IBaCvg4ommhmahLRHLT5","A Seat","Arin Ray","A Seat","1","1","262925","spotify:user:","2019-12-10T21:37:51Z"
"spotify:track:6KbuhVL2TmxnBrrbJD4qXv","In & Out (feat. Xavier Omär)","VanJess, Xavier Omär","Silk Canvas (The Remixes)","1","5","249160","spotify:user:","2019-12-10T21:37:51Z"
"spotify:track:2Ay0Vr9icpICeKkUDbBExd","No Cryin (feat. Future)","dvsn, Future","No Cryin (feat. Future)","1","1","204473","spotify:user:","2019-12-10T21:37:51Z"
"spotify:track:4zaAWbOc210ialliuBkkK1","Good Morning Text","Queen Naija","Good Morning Text","1","1","187960","spotify:user:","2019-12-10T21:37:51Z"
