﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2J5EfDhLVPKdIgGLTGl32v","Let It Snow / Winter Wonderland","The Piano Guys","Let It Snow / Winter Wonderland","1","1","204230","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:5ONoZEMrJXvCkLZkhYXu3p","The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 "Winter": I. Allegro non molto","Antonio Vivaldi, Arabella Steinbacher, Munich Chamber Orchestra","Vivaldi: The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 "Winter"","1","1","219772","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:4buvQTS32WxBHVL0Sip90N","Trumpet Concerto in E-Flat Major, Hob. VIIe:1: I. Allegro","Franz Joseph Haydn, Simon Höfele, BBC Scottish Symphony Orchestra, Duncan Ward","Haydn: Trumpet Concerto in E-Flat Major (Standards)","1","1","387912","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:47XdLvwJbkEAMRFne9RQli","Christmas in Lapland","Lapin sotilassoittokunta, Ilari Hylkilä, Tero Haikala","Christmas in Lapland","1","1","311278","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:4BopLkm0TFvregWWVI1Qtl","Father Comes Home","Alexandre Desplat","Little Women (Original Motion Picture Soundtrack)","1","8","198440","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:0wh9lyAm58get1TI9OIYg3","nyepi - choir version","Ólafur Arnalds, Voces8","re:member (choir versions)","1","3","251906","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:7xOxZdtnyCFAq2sqqbCaHj","Innocent - from 'Castle in the Sky'","Joe Hisaishi","Piano Stories Best ’88-’08","1","6","151400","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:0LAtAbJkimOc9aV9CRTrZy","Beethoven: Piano Sonata No. 31 in A-Flat Major, Op. 110: III. Adagio, ma non troppo - Allegro, ma non troppo","Ludwig van Beethoven, Fazıl Say","Beethoven: Piano Sonatas Nos 30, 31 & 32 - Piano Sonata No. 31 in A-Flat Major, Op. 110: III. Adagio, ma non troppo - Allegro, ma non troppo","1","1","583093","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:54iGvvolO3HavI3VAcNT1p","Partita No. 3 in E Major, BWV 1006: I. Preludio (Arr. D. Camwell for 2 Saxophones & Piano)","Johann Sebastian Bach, Dave Camwell, Susan Fancher, Ināra Zandmane","Second Wind","1","1","203554","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:71sxgljQaCsTd20tnw9RZF","The Crimson Sun","Alexander Campkin, Apollo5","The Crimson Sun","1","1","267213","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:3SYEnj7zmJYTfO71JZLsqa","Winterreise, Op. 89, D. 911 (Arr. M. Gee for Trombone & Piano): No. 5, Der Lindenbaum","Franz Schubert, Matthew Gee, Christopher Glynn","Trombone Travels, Vol. 1","1","5","271893","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:4Ffuaxb2asbct53VLeNNUM","24 Preludes & Fugues, Vol. 1: Prelude No. 10 in C-Sharp Minor","Nikita Koshkin, Asya Selyutina","Nikita Koshkin: 24 Preludes & Fugues, Vol. 1","1","19","221120","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:0xiG8TuljlR1h30lm0cK1a","Perth","Remy Van Kesteren","Perth","1","1","189109","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:7cACHi6eTuuxtgBfU5tEpr","Serenade for String Orchestra in C major, Op. 48: II. Valse. Moderato. Tempo di Valse","Pyotr Ilyich Tchaikovsky, Ensemble Allegria","Asheim: Høgsongen / Tchaikovsky: Serenade","1","3","223560","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:2DJW1M9ApPR0kuGb1IVJzJ","senna's joy (Solo Piano Version)","Carlos Cipa","Retronyms B-Sides - senna´s joy (Solo Piano Version)","1","1","376198","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:1RqqeevkaxEi0m8xk7N61M","Canticle Of Winter","Richard Blackford, Amy Dickson, Gavin Carr, Bournemouth Symphony Orchestra","Canticle of Winter","1","1","387786","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:59NDr0FWdtfgKvBiRSLaZ8","Sometimes","Fion Kippenren","Sometimes","1","1","201388","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:6ZZq00uoVcxf8er4zgS7ce","Loose - Lambert Rework","Ed Carlsen, Lambert","Loose","1","1","205500","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:03o0ZeDrgNNZE4Qd0qkjLy","Partita 1 in B, BWV 825: 7. Giga","Johann Sebastian Bach, Gabriel Urgell Reyes","Prequel","1","7","124826","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:0hEzZt0RdXxaCfBdZfhZAG","The Song of Names for Violin and Orchestra","Howard Shore, Ray Chen","The Song of Names (Original Motion Picture Soundtrack)","1","22","181385","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:67HHFvLuWSwTrgILyZXmmq","Le Carnaval des animaux, R. 125: XIII. Le Cygne. Andantino grazioso","Camille Saint-Saëns, Jean-Guihen Queyras, Alexandre Tharaud","Saint-Saëns: Le Carnaval des animaux","1","1","163030","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:7iakbjLxGFnvsejftzs48N","Sonata in C minor, D. 958: III. Menuetto-Allegro","Franz Schubert, Llŷr Williams","Llŷr Williams: Schubert, Vol. 3","1","3","202600","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:3wotWHJs1TKc9c5qn7wo73","Lazarus","Maya Beiser, Ambient Orchestra","Lazarus","1","1","405360","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:1cgdEk8AelPaCvdH1Df2CW","The Night Window","Thomas Newman","The Night Window","1","1","221426","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:2jLZRe37zPVt0sbnxDt1Dk","Low Lunar","Samuel Sim","The Space Orchestra","1","5","220510","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:1oXyi0HbT4C7ZUYRBSxFIt","Sinfonia No. 10 in G Major, BWV 796 (1)","Johann Sebastian Bach, Maurizio Zaccaria","J.S. Bach: Sinfonias","2","1","53620","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:60v1yVEXdS3Yk4BVQ85tgK","Coventry Carol","Thomas Hewitt Jones, Carducci String Quartet, Laurence Kilsby","Coventry Carol","1","1","332000","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:7qbGdYdTYZR6ZzXF2x6xvr","The Faltering Sky","Paul Haslinger","The Faltering Sky","1","1","225170","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:6q7x8MeeUBLG82hYjmaIlV","The Golden Years","Francesco Berta","The Golden Years","1","1","189188","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:0hTQrLYFYI6Eth78YTDNpO","Keyboard Sonata in E Major, Op. 1 No. 6: II. Rondeau. Grazioso","Muzio Clementi, Soyeon Kate Lee","Clementi: Keyboard Sonatas","1","10","196560","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:4D76A1zS692GBpjiOGEVFH","Symphony in A Major, P. I:10 "A la française": I. Allegro di molto","Leopold Koželuch, Czech Philharmonic Chamber Orchestra, Filip Dvořák, Marek Štilec","Koželuch: Symphonies, Vol. 3","1","1","401586","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:6jwumZzIT95nYQAl6I6rM1","Five (Arr. N. Ingman): II. Reveille","Tony Banks, John Barclay, Frank Ricotti, Skaila Kanga, The Czech National Symphony Choir, Czech National Symphony Orchestra, Nick Ingman","Tony Banks: Five (Arr. N. Ingman)","1","2","539240","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:0EGTtRoVU5mwSwLVkMwrYF","River Flows in You - Solo Cello Version","Nikola Zolkiewska","River Flows in You (Solo Cello Version)","1","1","140420","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:3vKI62pDdIzzwqbmaeYH2A","Momentary","Edvard Kravchuk","Momentary","1","1","111525","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:3tOqWMewWpnRUAWMPAcnrF","Can't Fight This Feeling (arr. piano)","Music Lab Collective","Can't Fight This Feeling (arr. piano)","1","1","208874","spotify:user:","2019-12-13T04:01:00Z"
"spotify:track:0PNaOSs0FmEld1Cu1oczCT","The First Crack","Jef Martens","Crashing In Slow Motion","1","1","187071","spotify:user:","2019-12-13T04:01:00Z"
