﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1dsVIoiV96Goqv1jGbJySI","Our Son","Al Foster","Inspirations & Dedications","1","8","162280","spotify:user:","2019-06-28T14:49:45Z"
"spotify:track:2wOlZrHUpRP9hQbqbV9Ae5","Together","Matthew Halsall","Colour Yes (Special Edition)","1","2","672520","spotify:user:","2019-11-08T05:01:00Z"
"spotify:track:283h1iiG7BVoKvTVAr5bSc","Polka Dots and Moonbeams","Gabriel Latchin Trio","The Moon and I","1","6","329680","spotify:user:","2019-04-05T07:01:00Z"
"spotify:track:211rvuRnkIpzd5lJNi0LBK","Forelsket i København","Scott Hamilton","Danish Ballads... & More","1","1","327306","spotify:user:","2019-06-21T14:45:39Z"
"spotify:track:30WYlOTUkGayw4Qo4Y9sYX","Ebb Tide","Ben Flocks","Mask of the Muse","1","10","186080","spotify:user:","2019-08-16T15:10:47Z"
"spotify:track:4NAhOoe6Tp5SU4z0r7Nygx","Up Jumped Spring","Eric Reed","Everybody Gets the Blues","1","6","528946","spotify:user:","2019-04-12T06:01:00Z"
"spotify:track:72KHUsa4UyTXpSf7jRb1ih","Ev'rytime We Say Goodbye","Mark Sherman","My Other Voice","1","5","427431","spotify:user:","2019-08-16T15:10:47Z"
"spotify:track:4aUrYkpfMzm2DVfG1Pplzk","New Morning","Eric Reed","New Morning","1","1","570786","spotify:user:","2019-04-05T07:01:00Z"
"spotify:track:4CY09ZCdgvjtCaw0fGITbN","Come What May","Joshua Redman Quartet","Come What May","1","3","406920","spotify:user:","2019-03-29T14:49:22Z"
"spotify:track:3bv4j1lmo6yVChahz9crt3","Sunshine Follows the Rain","Yoko Miwa Trio","Keep Talkin'","1","11","608186","spotify:user:","2019-06-14T15:00:24Z"
"spotify:track:4eEQe7imsy6IbltZeH4Rfh","Up Jumped Spring","Eric Reed","Up Jumped Spring","1","1","528946","spotify:user:","2019-03-22T15:12:20Z"
"spotify:track:14JAGLLamVp9p3EJaRYPfj","Absyrations","Alfio Origlio","Absyrations","1","3","344053","spotify:user:","2019-05-31T14:29:12Z"
"spotify:track:6J8Z1UJG7uTS1mhZsgmJCp","Infant Eyes","Fred Hersch Trio","Heartsongs","1","6","457267","spotify:user:","2018-07-20T17:31:05Z"
