﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4Sib57MmYGJzSvkW84jTwh","ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift, Brendon Urie","ME!","1","1","193040","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:2YyvWje3cEYyqgYhNUIaBJ","La Di Da","Lennon Stella","Love, me","1","4","209773","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:7yfi8B8opXjnRh4VZnOkz9","Cool","Jonas Brothers","Happiness Begins","1","2","167106","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:4NBTZtAt1F13VvlSKe6KTl","This Feeling","The Chainsmokers, Kelsea Ballerini","Sick Boy","1","1","197946","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:5GGEJhZ5xjbU7UhSlipuoq","Don't Change","Why Don't We","Don't Change","1","1","176408","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:43rA71bccXFGD4C8GOpIlN","I Forgot That You Existed","Taylor Swift","Lover","1","1","170640","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:1wjzFQodRWrPcQ0AnYnvQ9","I Like Me Better","Lauv","I Like Me Better","1","1","197436","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:36y5E5cxFbz6xU8UqT7Iv7","Love Myself","Olivia O'Brien","Was It Even Real?","1","10","213960","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:222B3aljXx6fFwKmFjuBED","Woman Like Me (feat. Nicki Minaj)","Little Mix, Nicki Minaj","LM5 (Deluxe)","1","2","229720","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:10GJQkjRJcZhGTLagFOC62","Most Girls","Hailee Steinfeld","Most Girls","1","1","204400","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:3RauEVgRgj1IuWdJ9fDs70","The Man","Taylor Swift","Lover","1","4","190360","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:5icOoE6VgqFKohjWWNp0Ac","Here With Me","Marshmello, CHVRCHES","Here With Me","1","1","156346","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:4uTvPEr01pjTbZgl7jcKBD","NASA","Ariana Grande","thank u, next","1","3","182000","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:7wvYmO5QscgIDDT0eNwbYX","Lost In Japan","Shawn Mendes","Lost In Japan","1","1","200133","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:5A3fPy30SN2wuzrahpcxvV","Don't Give Up On Me - (From "Five Feet Apart")","Andy Grammer","Naive","1","5","196187","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:5AEtlRudpgdT5FtNiuly6Y","Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld, Alesso, Florida Georgia Line, watt","Let Me Go (with Alesso, Florida Georgia Line & watt)","1","1","174800","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:1Y9cAYTmyWJCcmfqdG2I29","Broken & Beautiful (from the movie UGLYDOLLS)","Kelly Clarkson","Broken & Beautiful (from the movie UGLYDOLLS)","1","1","218948","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:14msK75pk3pA33pzPVNtBF","7 rings","Ariana Grande","7 rings","1","1","178640","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:6XqvFyJGdUD5IWee02ARKU","Polaroid","Jonas Blue, Liam Payne, Lennon Stella","Blue","1","5","193377","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:2WyRfGeHo97VC5mP1BBSzr","Mother's Daughter","Miley Cyrus","SHE IS COMING","1","1","219080","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:5Glf3tBr73L1fbO9u4pL7r","Badass Woman - From The Motion Picture "The Hustle"","Meghan Trainor","Badass Woman (From The Motion Picture "The Hustle")","1","1","210035","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:09IStsImFySgyp0pIQdqAc","The Middle","Zedd, Maren Morris, Grey","The Middle","1","1","184732","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:07Oz5StQ7GRoygNLaXs2pd","Good as Hell (feat. Ariana Grande) - Remix","Lizzo, Ariana Grande","Good as Hell (feat. Ariana Grande) [Remix]","1","1","159011","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:39YLC6osLe9btq1vpsDglx","Party For One","Carly Rae Jepsen","Party For One","1","1","183894","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:3HVWdVOQ0ZA45FuZGSfvns","I Don't Care (with Justin Bieber)","Ed Sheeran, Justin Bieber","I Don't Care (with Justin Bieber)","1","1","219946","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:1sSNWjLtY4GwyhqAwAnPD9","Sit Still, Look Pretty","Daya","Daya","1","4","200717","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:3Ex5RFJRUdpHcDOLXJOVLy","Raising Hell (feat. Big Freedia)","Kesha, Big Freedia","Raising Hell (feat. Big Freedia)","1","1","169680","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:5Qel1sTrU4LM8HlJSPT2jd","Truth Hurts","Lizzo","Truth Hurts","1","1","173325","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:2Tl6yt61BEQXygpltqvgzD","Clean","Hey Violet","Clean","1","1","180985","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:3C2xQqHVkhA1Ht17SzPRke","Nothing to Regret","Robinson","Nothing to Regret","1","1","208485","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:4NiehSBQthimPzRsVeOgCT","My My My!","Troye Sivan","Bloom","1","1","204726","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:6aIAuKNU8JlVaTmoCYYN6U","Glad He's Gone","Tove Lo","Glad He's Gone","1","1","196348","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:2FOwRoyI2TTujfAGmHgEJP","Genetics","Meghan Trainor","Genetics","1","1","177816","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:743mWMRgafToEUJriLLgkg","Sorry Not Sorry","Demi Lovato","Sorry Not Sorry","1","1","203760","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:0prNGof3XqfTvNDxHonvdK","Scars To Your Beautiful","Alessia Cara","Know-It-All (Deluxe)","1","10","230226","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:7xAdO0zdl7lGf0ecg4IGhQ","Fire N Gold","Bea Miller","Not An Apology","1","2","211573","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:4Gcv5SsxnQWpmOnUI19EJk","All You Need To Know (feat. Calle Lehmann)","Gryffin, SLANDER, Calle Lehmann","All You Need To Know (feat. Calle Lehmann)","1","1","238458","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:1zHmzN75pKHflokUGZh7sA","Hurt Me - From "Songland"","Meghan Trainor","Hurt Me (From "Songland")","1","1","197686","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:6h2wpo2pshM8QnAvRySEO0","Soulmate","Lizzo","Cuz I Love You","1","4","175234","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:5SxkdsY1ufZzoq9iXceLw9","no tears left to cry","Ariana Grande","no tears left to cry","1","1","205946","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:2OtCtGugQwH066hxpaRNwU","Shout Out to My Ex","Little Mix","Glory Days (Japan Edition)","1","1","246240","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:3TcL0dyCMyr0kyTTc4NLgI","Who Says","Selena Gomez & The Scene","When The Sun Goes Down","1","3","195613","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:76cy1WJvNGJTj78UqeA5zr","IDGAF","Dua Lipa","Dua Lipa (Deluxe)","1","5","217946","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:0xCmwofyCiXdhoBsMSNj2w","Love Myself","Hailee Steinfeld","Love Myself","1","1","218773","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:0tBbt8CrmxbjRP0pueQkyU","Wolves","Selena Gomez, Marshmello","Wolves","1","1","197993","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:4eWQlBRaTjPPUlzacqEeoQ","Never Be the Same","Camila Cabello","Camila","1","1","226973","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:45iMwUi9OBJlEIsTJ4AStR","Not A Love Song","bülow","Damaged Vol. 1","1","2","192293","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg","Don't Start Now","Dua Lipa","Don't Start Now","1","1","183290","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:4Ce37cRWvM1vIGGynKcs22","Starving","Hailee Steinfeld, Grey, Zedd","Starving","1","1","181880","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:6UnCGAEmrbGIOSmGRZQ1M2","Light On","Maggie Rogers","Heard It In A Past Life","1","5","233880","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:7apizLyhMRutg3ccXvr2qv","Hurt Somebody","Noah Kahan, Julia Michaels","Hurt Somebody","1","1","168640","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:7fCNUWi6uflDTQ08srxMZk","No Excuses","Meghan Trainor","No Excuses","1","1","152862","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:6IIcLzR05sN1gk4ngzz7Kk","Supercut","Lorde","Melodrama","1","9","277506","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:2Dz8KeCYs9awlwUJStJlmh","Classic","MKTO","MKTO","1","2","175426","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:6WjmPTZKeDylStKmGHLcqQ","Confident","Demi Lovato","Confident (Deluxe Edition)","1","1","205745","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:2grAr8pWMuLWn8ZYEE9wDV","Never Seen the Rain","Tones and I","Never Seen the Rain","1","1","200755","spotify:user:","2019-11-01T15:39:28Z"
"spotify:track:3D37T7euWvVJ45evRmriIh","Better With You","3LAU, Justin Caruso, Iselin","Better With You","1","1","192941","spotify:user:","2019-11-01T15:39:28Z"
