﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4NacIk1bS1nCVwd9v4wcdX","Last Night's Mascara","Brynn Cartelli","Last Night's Mascara","1","1","197669","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:48M5Uau9B3XEhLvnkFRGxN","Love Again","New Hope Club","Love Again","1","1","203506","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:44r4zta6P9flkhKaVnbsvG","Freaks","Jordan Clarke","Freaks","1","1","174800","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:410smJMzhna1ADC2ldqVHu","Hoodie","Hey Violet","From The Outside","1","4","219183","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:7IOxauZfx5l18mYfX0GZm6","Knees","Bebe Rexha","Expectations","1","5","206580","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:2YyvWje3cEYyqgYhNUIaBJ","La Di Da","Lennon Stella","Love, me","1","4","209773","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:69rSEDWuvLS6yyNcESulCc","Just Friends","JORDY","Just Friends","1","1","189631","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:2qbfKj0DTl7szigi1RSRaL","Not Now","Ally Hills","Not Now","1","1","222964","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:26H6abvrcX0bGj1Fd8pr8z","I Regret Nothing","Bella Coppola","I Regret Nothing","1","1","203896","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:4n1oum6u8Usfs9YSEwXZb8","Champagne","Lia Marie Johnson","Champagne","1","1","233920","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:0NYJUJaDCvrkMQQt4WSrVU","This Mountain","Faouzia","This Mountain","1","1","142259","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:4BhXlLrlJSSA6b2LknHyBC","Dead 2 Me","Emily Vaughn","Dead 2 Me","1","1","165000","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:5QkVPG2Hf3MmAarireF6lh","Who Do You Love - R3HAB Remix","The Chainsmokers, 5 Seconds of Summer, R3HAB","Who Do You Love (R3HAB Remix)","1","1","152120","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:3je88Q4OvTqIx7BFRFYvRA","Phases","PRETTYMUCH","Phases","1","1","215759","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:1rsP98BgYngm6sgTmOfDLR","Cool","Katelyn Tarver","Cool","1","1","200000","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:5zFEJ5R9FvqzlY3ayWCfPq","New Friends","Maty Noyes","Love Songs From A Lolita","1","4","190546","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:7sfhbwZHwE0Hx67bUbluIh","Crazy AF","In Real Life","She Do","1","2","195733","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:2XWjPtKdi5sucFYtVav07d","365","Zedd, Katy Perry","365","1","1","181899","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:0lkoN2W3s5Spr58l1oQJil","Sailor","Bluebiird","Sailor","1","1","239804","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:5RK7W1TVQqMlV1wY17xGJB","Wish We Never Met","WhoHurtYou","Wish We Never Met","1","1","178327","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:6dusf13SeuKTa3dnxVmH3f","911","Ellise","Can You Keep a Secret?","1","1","190000","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:4syUwZZSkQeQCbsDz4IVSj","Waving Through a Window","Pentatonix","Waving Through a Window","1","1","231111","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:1kvKOGxYFufFOZFEOCDJxz","Fuck It","BoTalks, Caroline Pennell","Fuck It","1","1","240299","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:7B05516SDZK9hsqde0yauO","7 Billion","OBB","7 Billion","1","1","180927","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:7CTWqCb7LpbwCYawPGg9MZ","Join Us for a Bite","JT Music, Andrea Storm Kaden","All Five Nights","1","9","236511","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:6w1NH3X8NPHySOjPAqi25i","He Don't Know You","Ryan McCartan","He Don't Know You","1","1","192907","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:1jfW9Ro29uuPlAUfnOqTVw","Here We Go Again","Sigma, Louisa","Here We Go Again","1","1","162584","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:1LB4JfckG01MKxXE0Cdw5M","Everybody","Tiago, Bobby Berk","Everybody","1","1","178526","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:58ATktATECYKzA7j8uTGbR","Taurus","Lacuna J","Taurus","1","1","167449","spotify:user:","2019-12-09T05:00:00Z"
"spotify:track:1zT2SFqzu8gyEWYpICTFrT","There You Go Again","Erin Bowman","Apartment 101","1","6","172250","spotify:user:","2019-12-09T05:00:00Z"
