﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0tAFy8LVdMQgW6A6Nq7olS","Do You?","TroyBoi","V!BEZ, Vol. 3","1","5","195790","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:4wOFVsj0dwj9bKOVhjNfc0","Letting Go (Intro)","saud","013-310","1","1","89797","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:3tUdYudStuFWmlb43jvo24","Qahwah Con Leche","El Bles, Thanks Joey","Qahwah Con Leche","1","1","212000","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:2ZR0mEea2xskfYAuWlhV81","yoyogi park","mommy","tv-guides . (mini-tape)","1","3","79911","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:1M0rxfk4s7mkBBSUigvZM4","Vibrant","Lofive","Amphibian","1","3","168700","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:62ej1SzgHt0FU9nP43qQZs","Emot","TheeAgris","Emot","1","1","146207","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:2nzpyRpQbh3TVdxU9A0ScV","Belle","R3HAB","The Wave","1","16","104282","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:0PwBzc6lwPE2h7OlJXaxjw","D'allah de Deus","El Bles, Thanks Joey","D'allah de Deus","1","1","187709","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:5hzwIa2Iel71xtKJ6oFOnm","Violeta","Ballpoint, Cushy, Dylan Sitts","Violeta","1","1","146823","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:2gIiD6HvgePtrO0GIwokQS","Drink the Water","Sandhill","Sandhill","1","7","154782","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:4XFKdpIbbQt0pHS6yA5IZ8","Anata","Lilac","Answer Love","1","2","139095","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:4nS9zp3K2TvM4eOfzpQ84k","Jigsaw","Azmito","SnaqPaq","1","2","146619","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:43Asbo7LKbrlM2kE4Km9sL","We All Dance (On Love)","Thanks Joey","On Beats","1","2","226875","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:1eRLxk3ZvgJFsH2wJFcyGq","No Idol - Remix","DJ Haram","Grace EP","1","8","156774","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:77cwNBtWc0sC5R1XAJ703p","100=1","Hello Psychaleppo","Arabstazy - Under Frustration Vol. 2","1","5","277000","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:0jDRb7fzYpHLHodknLCmBt","Xvibe","DaMoJaNad","Xvibe","1","1","52000","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:3djyYmjLgPAxWaF6uTwQ6R","Shamwave","Azmito","Zoom","1","4","240631","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:3YphbgGJ1GfEGhMmIOthk6","The Ace","Ballpoint, Cushy, _91nova","The Ace","1","1","144968","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:4SRYBEVd6ChjJYBhaObHpk","Le jour où j'ai arrêté le rap (Instrumental)","Medine","Le jour où j'ai arrêté le rap","2","1","202443","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:1iXxeyTelOvFpne9Otulnx","Bangalang - Instrumental","Yung Felix, Poke, 3robi","Bangalang","1","2","130904","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:61a4VbSsRttINOyYQAXaPB","Ancestors","Thanks Joey","On Beats","1","5","171235","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:4QXNwofa2v9MxfNcNUkhxd","Moghazi Intro","saud","Follow Me Home","1","1","102893","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:2Ix8cSHoPxOICepU77WPA9","Al Hara","Sotusura","Saleh Alalhan","1","5","114348","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:0mxZEJZ4NYAYgBMmLBlAcp","Daqet Bina - Hello Psychaleppo Remix","Nass El Hal","Daqet Bina (Hello Psychaleppo Remix)","1","1","361379","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:4Ne96HRCdcxA0JVeJRKgO7","Helen Hyde","Sandhill","Sandhill","1","8","93402","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:0pnrPBK0MYReAMf6l4RTWf","HAAT - Instrumental","Josylvio","HAAT","1","2","150821","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:2qfcSQjjn699Zp0uFiUUBX","سمراء","Deeb","السلام البارد","1","5","86360","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:77CqqKGgjz2ZLw3AmaQnLU","Pistola - Instrumental","Murda, ICE, Yung Felix","Pistola","1","2","134444","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:38bkmIxxZMQC1f6m0JXFl6","Convo","Cushy","Redux","1","2","151446","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:2emwaaMR6FqoRv1WfOJHjX","Laat Je Niet Gaan - Instrumental","Bizzey, Idaly","Laat Je Niet Gaan","1","2","177500","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:6K4UmGe34YIIdnmFfSB6jP","Signs","C Y G N","Signs","1","1","200597","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:6tEhSz0ct5TlKXBsSNWIHa","Ik Vari Do Vari","Rafael Aragon, Stas","Arabstazy - Under Frustration Vol. 2","1","6","322842","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:6Q7nTYBffkZSNebWmz0XSQ","Tank - Instrumental","SXTEEN, Mula B","Tank","1","2","167138","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:3tYmkRTiIWqJxz9XqSAQCS","Crushing","helistofax","Crushing","1","1","131350","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:3zwh6p8XI0Afw46DUkijRd","Skye","Off / Side","Skye","1","1","190098","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:19K24V0kGvNLFYCR8jMs88","It's Ok","Pandrezz, j'san","It's Ok","1","1","168297","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:0eIZJWahC3DUH6UxH5z9o5","Rahat - Instrumental","Ardian Bujupi","Rahat","1","29","166885","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:3ig0oMG2de0KiuMlHIyfgB","Daydream in Green","Ozoyo","Daydream in Green","1","1","220722","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:55RgOfnxyMHZzSN1O4KVLD","Viva la Vida","corandcrank, CRANK","Arabic Trap, Pt. 2","1","2","203573","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:70enAO5NWY14p1Ovd7rv5i","Coco - Instrumental","Jayh","Coco","1","2","173768","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:0Q6W7d7G4I7HtGiC4qhM4C","Cold","Cushy","Clips","1","3","152495","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:1nQTPlNmzCyVLPaayZQKAf","Walou Crisis (feat. 3robi & Mula B) - Instrumental","Dopebwoy, 3robi, Mula B","Walou Crisis (feat. 3robi & Mula B)","1","2","157005","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:2pZi2b9U8r20AF0Cf3hi2D","thinking of you","mommy, Philanthrope, Kyle McEvoy","Inaudible","1","1","131000","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:0Hm8vke3rwzGKm5sBpY762","Stay and Wander","Tom Doolie, Cap Kendricks","Field Notes","1","6","112000","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:3jIR5X0bLmBVYjelItipJb","Inbox Riddim","Sarz","Sinym (Sarz Is Not Your Mate)","1","2","256998","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:6ANm6Qqlg0IJ2pYI8m7Jsv","Clips","Cushy","Clips","1","2","143004","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:1Nzj9TH9q6ibQOT0x8uKWC","Velvet Garden","Nazaha","Velvet Garden","1","1","108724","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:2ZUXYHDVCPvaaCO2vTIGdG","Higher Than U","Phemenine","Higher Than U","1","1","185947","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:30jlPdRLzkfxZhBAa8XVP7","Big Man - Instrumental","Sevn Alias, Mula B, Trobeats","Big Man","1","3","163110","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:3NoA0UbucoXgIdD0ZnTgw0","Ladybug","Slumberville","Ladybug","1","1","116417","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:2XlOrYMsqtvxFTtO3ktDhQ","Wie im Traum - Instrumental","Ardian Bujupi","Rahat","1","22","204477","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:4xpcolgNwkklrbnBFE5qJa","Rien100Rien - Instru concours","Jul","Rien 100 Rien","1","25","211746","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:6SYKTNFCB9ybNj6z2jFsRk","Coney Island","Frook","Dot The I's And Cross The T's","1","2","139211","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:2P2Vcyy1RVgtaus0GUY4PJ","Chiba's (feat. Ali B, Lijpe & Ismo) - Instrumental","Glades, Ali B, Lijpe, Ismo","Chiba's (feat. Ali B, Lijpe & Ismo)","1","2","228217","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:7FcUPpcVejUHoXxUDuTwBS","Karima (feat. Clandistino & Soufiane Eddyani) - Instrumental","Oualid, Clandistino, Soufiane Eddyani","Karima (feat. Clandistino & Soufiane Eddyani)","1","2","166708","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:4zUuedGTScivJnU3xy8vbp","Wallah ich leb - Instrumental","Ardian Bujupi","Rahat","1","24","160743","spotify:user:","2019-12-13T17:20:12Z"
"spotify:track:4gEAYcaZPHpFFelzdt7pBX","Solitude","leaf beach","ALWAYS PROPER - BUMPS & BRUISES 02","1","19","110305","spotify:user:","2019-12-13T17:20:12Z"
