﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4GGSmoTmc5LClrowB4SmEw","Mind Is A Prison","Alec Benjamin","Mind Is A Prison","1","1","162033","spotify:user:","2019-12-13T14:28:00Z"
"spotify:track:06qUEhhx6jKQmhj2qAkn4H","Trying My Best","Anson Seabra","Trying My Best","1","1","222467","spotify:user:","2019-12-13T14:28:00Z"
"spotify:track:43zdsphuZLzwA9k4DJhU0I","when the party's over","Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","1","7","196077","spotify:user:","2019-09-23T16:37:29Z"
"spotify:track:6tNgjrWXWHx2zR52Q6qCLG","you were good to me","Jeremy Zucker, Chelsea Cutler","you were good to me","1","1","219173","spotify:user:","2019-09-23T16:37:29Z"
"spotify:track:2b8fOow8UzyDFAE27YhOZM","Memories","Maroon 5","Memories","1","1","189486","spotify:user:","2019-11-01T18:42:41Z"
"spotify:track:0Eqg0CQ7bK3RQIMPw1A7pl","Malibu Nights","LANY","Malibu Nights","1","9","286928","spotify:user:","2019-09-23T16:37:29Z"
"spotify:track:6ig2Qwsl83Jt2dc8YFDlY2","No One's Gonna Ever Love U","Delacey","No One's Gonna Ever Love U","1","1","202947","spotify:user:","2019-12-13T14:28:00Z"
"spotify:track:5a6pdCHlWS2ekOOQ70QnAr","July","Noah Cyrus","July","1","1","156106","spotify:user:","2019-10-03T21:58:34Z"
"spotify:track:6iewIywVK4V0SQfSCZonCR","Resentment (feat. Sturgill Simpson, Brian Wilson & Wrabel)","Kesha, Sturgill Simpson, Brian Wilson, Wrabel","Resentment (feat. Sturgill Simpson, Brian Wilson & Wrabel)","1","1","172226","spotify:user:","2019-12-13T14:28:00Z"
"spotify:track:0tMSssfxAL2oV8Vri0mFHE","listen before i go","Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","1","12","242652","spotify:user:","2019-09-23T16:37:29Z"
"spotify:track:1tT55K6VEyO6XFDxK4lDQe","In My Head","Peter Manos","In My Head","1","1","214533","spotify:user:","2019-09-23T16:37:29Z"
"spotify:track:1HfMVBKM75vxSfsQ5VefZ5","Lose You To Love Me","Selena Gomez","Lose You To Love Me","1","1","206458","spotify:user:","2019-10-25T15:09:14Z"
"spotify:track:7qEHsqek33rTcFNT9PFqLf","Someone You Loved","Lewis Capaldi","Divinely Uninspired To A Hellish Extent","1","4","182160","spotify:user:","2019-09-23T16:37:29Z"
"spotify:track:1qFMIjTe9esCDiytqUY19t","i can't breathe","Bea Miller","aurora","1","4","213986","spotify:user:","2019-09-23T16:37:29Z"
