﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:17IkqxJGfjKkii7GBJFnDW","Tell Me I'm A Wreck","Every Avenue","Picture Perfect","1","3","219960","spotify:user:","2019-05-23T19:56:29Z"
"spotify:track:6GIrIt2M39wEGwjCQjGChX","The Great Escape","Boys Like Girls","Boys Like Girls","1","1","206520","spotify:user:","2019-05-23T19:56:29Z"
"spotify:track:5wWkbQ18TPaWq2GeJDF2O3","My Heart","Paramore","All We Know Is Falling","1","10","239173","spotify:user:","2019-05-23T19:56:29Z"
"spotify:track:6uzuW7L1t1UhnzbfXwtMtQ","The Curse of Curves","Cute Is What We Aim For","The Same Old Blood Rush With A New Touch","1","8","203626","spotify:user:","2019-05-23T19:56:29Z"
"spotify:track:5wQnmLuC1W7ATsArWACrgW","Welcome to the Black Parade","My Chemical Romance","The Black Parade","1","5","311106","spotify:user:","2019-05-23T19:56:29Z"
"spotify:track:3Vi93V7o1tT28Cut4gSWi3","Be My Escape","Relient K","Mmhmm","1","2","240453","spotify:user:","2019-05-23T19:56:29Z"
"spotify:track:3VGjUGJ5H3N61ggpyORS0n","The Space Between","Valencia","This Could Be A Possibility","1","1","217120","spotify:user:","2019-05-23T19:56:29Z"
"spotify:track:4rc2WNOt2w8BHfQjBC8PO0","We Own The Night","Dance Gavin Dance","Instant Gratification","1","1","205706","spotify:user:","2019-05-23T19:56:29Z"
"spotify:track:4wzjNqjKAKDU82e8uMhzmr","Face Down","The Red Jumpsuit Apparatus","Don't You Fake It","1","4","192000","spotify:user:","2019-05-23T19:56:29Z"
"spotify:track:7lRlq939cDG4SzWOF4VAnd","I'm Not Okay (I Promise)","My Chemical Romance","Three Cheers for Sweet Revenge","1","5","186480","spotify:user:","2019-05-23T19:56:29Z"
"spotify:track:7qZdLKPA5TXDxpd10AGpf0","Warm Me Up","The Audition","Champion","1","2","212186","spotify:user:","2019-05-23T19:56:29Z"
"spotify:track:3i4xZSH1kTLE22TUvUFMYo","Emergency","Paramore","All We Know Is Falling","1","3","240040","spotify:user:","2019-05-23T19:56:29Z"
"spotify:track:64Kk49W8HFh22diWSBVxCr","For Me This Is Heaven","Jimmy Eat World","Clarity (Expanded Edition)","1","10","246560","spotify:user:","2019-05-23T19:56:29Z"
"spotify:track:2BagLPRSrq9j8ASiVd23bt","My Beautiful Rescue","This Providence","This Providence","1","4","156223","spotify:user:","2019-05-23T19:56:29Z"
