﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6igfvGdKiL6F2jSR2w91mc","Un Disip En Nueva York","Los Crema Paraiso","De Película","1","2","229670","spotify:user:","2019-05-13T13:36:37Z"
"spotify:track:2x68bUb5ZYwKUsNBmwmrHb","Chinita (feat. Kevin Johansen)","Famasloop, Kevin Johansen","Casa 4","1","4","139280","spotify:user:","2019-05-13T13:36:37Z"
"spotify:track:4BQNo57LHTKLIwPjmmltZN","Lo Mejor, Lo Peor","Okills","América Supersónica","1","2","223186","spotify:user:","2019-05-13T13:36:37Z"
"spotify:track:20ErAhgNBROUWr8GM4q47f","Explotar Contigo","TOURISTA","Colores Paganos","1","9","204585","spotify:user:","2019-05-13T13:36:37Z"
"spotify:track:5ssDwNcGA5w8Q7nDvSKZuL","La Capacidad (feat. Las Acevedo & Diana Pereira)","Lido Pimienta, Las Acevedo, Diana Pereira","La Papessa","1","2","257723","spotify:user:","2019-05-13T13:36:37Z"
"spotify:track:4DfVAYN8VThaZCkobv0HJV","Azul","Little Jesus","Norte","1","3","254993","spotify:user:","2019-05-13T13:36:37Z"
"spotify:track:0tLnoFEQgab6SjUN5WcHVv","Ligera Love","Pamela Rodriguez","Reconocer","1","1","147980","spotify:user:","2019-05-13T13:36:37Z"
"spotify:track:6FToa1e9Wsar0wqt3c2tsi","Amiga","Comisario Pantera","Amiga","1","1","203412","spotify:user:","2019-05-13T13:36:37Z"
"spotify:track:4SEw7fHgvUzlRlOqJjYkfJ","Diamantes","Mula","AGUAS","1","1","158220","spotify:user:","2019-05-13T13:36:37Z"
"spotify:track:3G9SwzJFPgFY7aDrD6KIPB","Nunca Me Dejes","Reyno","Viaje Por Lo Eterno","1","3","205000","spotify:user:","2019-05-13T13:36:37Z"
"spotify:track:53iaqkkgYNPeglfLd0gX6F","Globos","Technicolor Fabrics","Bahía Santiago","1","5","260508","spotify:user:","2019-05-13T13:36:37Z"
"spotify:track:4XEzkaHYQ1kgGhQR4MKDGM","Ella Usaba Vestidos","Los Waldners","Eclipse Total del Corazón","1","3","259000","spotify:user:","2019-05-13T13:36:37Z"
"spotify:track:5NS7zy7Q1Ns9GFFULYYU9F","Baila Sumeria","Triángulo de Amor Bizarro","Salve Discordia","1","5","218226","spotify:user:","2019-05-13T13:36:37Z"
"spotify:track:0lEBA0QN4sA7jbfmZpUdr7","Siempre Es Viernes En Mi Corazón","Alex Anwandter","Amiga","1","1","218933","spotify:user:","2019-05-13T13:36:37Z"
"spotify:track:3GSMdtJphymHEsR8K9jT5Q","Locos","León Larregui","Voluma","1","1","177600","spotify:user:","2019-05-13T13:36:37Z"
"spotify:track:6CeAzigNnTcKLz83BiAzvh","Cuidado","La Santa Cecilia","Treinta Días","1","7","243786","spotify:user:","2019-05-13T13:36:37Z"
"spotify:track:12uCHNPDQSDLMLVtz0zfEw","Tu Geografía","Indios","Indios","1","2","158840","spotify:user:","2019-05-13T13:36:37Z"
"spotify:track:43huCMpzyzRVhnamVHiWgU","Lechuguilla","Helado Negro","Canta Lechuza","1","4","237773","spotify:user:","2019-05-13T13:36:37Z"
"spotify:track:76CdSwtagY9xOJ86tF8z7q","Cursis Melodías","Natalia Lafourcade","HU HU HU","1","1","267840","spotify:user:","2019-05-13T13:36:37Z"
"spotify:track:6LVtMuyzw94CjlxtUmqxOl","Épocas","CLUBZ","Épocas","1","1","221853","spotify:user:","2019-05-13T13:36:37Z"
"spotify:track:58ivxJSccwundFnvKKgXdf","Quiero Verte Más","Francisca Valenzuela","Buen Soldado","1","2","251706","spotify:user:","2019-05-13T13:36:37Z"
"spotify:track:3Z3aEb63WSnkznQMOzixVZ","Mi Fábrica de Baile","Joe Crepúsculo","Baile de Magos","1","4","265433","spotify:user:","2019-05-13T13:36:37Z"
