﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5JEx7HbmvHQQswJCsoo9rA","Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding, Diplo, Swae Lee","Close To Me (feat. Swae Lee)","1","1","182623","spotify:user:","2019-10-29T15:14:54Z"
"spotify:track:5A3fPy30SN2wuzrahpcxvV","Don't Give Up On Me - (From "Five Feet Apart")","Andy Grammer","Naive","1","5","196187","spotify:user:","2019-10-29T15:14:54Z"
"spotify:track:2plLJpUcYPFrl1sW2pMG63","Lights Up","Harry Styles","Lights Up","1","1","172226","spotify:user:","2019-10-29T15:14:54Z"
"spotify:track:0yc37FvbXRwwFaQxzpxbsd","Somebody To Love","OneRepublic","Somebody To Love","1","1","181408","spotify:user:","2019-10-29T15:14:54Z"
"spotify:track:2b8fOow8UzyDFAE27YhOZM","Memories","Maroon 5","Memories","1","1","189486","spotify:user:","2019-10-29T15:14:54Z"
"spotify:track:6Dma0t0hOe6Bd6u5YRKF3n","No New Friends (feat. Sia, Diplo, and Labrinth)","Sia, Diplo, Labrinth, LSD","LABRINTH, SIA & DIPLO PRESENT... LSD","1","7","175826","spotify:user:","2019-10-29T15:14:54Z"
"spotify:track:4RE3vueod5PL48rvHtuu9C","Peer Pressure","James Bay, Julia Michaels","Oh My Messy Mind","1","1","176826","spotify:user:","2019-10-29T15:14:54Z"
"spotify:track:3CAqTfkRgmImhxYDjyL6S7","I Found You","Andy Grammer","Naive","1","2","151733","spotify:user:","2019-10-29T15:14:54Z"
"spotify:track:4zb3kFL9fXrrfTwIY4CcDy","Flux","Ellie Goulding","Flux","1","1","229783","spotify:user:","2019-10-29T15:14:54Z"
"spotify:track:7nDFTHHwfe32a8qdp9XqPy","False Confidence","Noah Kahan","Busyhead","1","1","223400","spotify:user:","2019-10-29T15:14:54Z"
"spotify:track:3TgMcrV32NUKjEG2ujn9eh","It's Not Living (If It's Not With You)","The 1975","A Brief Inquiry Into Online Relationships","1","11","248335","spotify:user:","2019-10-29T15:14:54Z"
"spotify:track:16XiTUC2rQvb5lmtOm3FYY","Us","James Bay","Electric Light","1","5","181360","spotify:user:","2019-10-29T15:14:54Z"
"spotify:track:5bZeugrr7oIATt1CLJuhT4","Incredible","James TW","Chapters","1","4","246320","spotify:user:","2019-10-29T15:14:54Z"
