﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4muAGMNipTEtIoYfMa9QL0","Amsterdam - Recorded at Spotify Studios NYC","Mandolin Orange","Spotify Singles","1","2","193671","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:2SSBZMg2XdTC7vXBi0Ewkp","Black Star","Gillian Welch","Black Star","1","1","318853","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:7GOORtGLXelDKL9ohAbQAU","Crossing Muddy Waters","I'm With Her","Crossing Muddy Waters / Be My Husband","1","1","228320","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:0JqHPXj2YlV0oIbWleZjDS","You Are My Sunshine (with Chris Stapleton)","Morgane Stapleton, Chris Stapleton, Southern Family","Southern Family","1","5","373266","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:2aU77iuoOElIJyXl0YoI9O","Right Down The Line","Lucius","NUDES","1","2","235871","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:32BTFbqhSvYKftE0e8a8d4","I Shall Be Released","Nina Simone","To Love Somebody (Expanded Edition)","1","6","233000","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:4srR0RXbgDhAXONbbVyQ6j","Timshel","Kina Grannis","The Living Room Sessions Vol. 1","1","3","167616","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:0lXWPos2llF0n0zveBcBeR","For What It's Worth","The Lone Bellow","For What It's Worth","1","1","198205","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:3VB5e3mQF5F0qzX5UD7WIx","Everything Is Free - Recorded at Spotify Studios NYC","Father John Misty","Spotify Singles","1","2","265687","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:0Gn207mWAoAztT808PNoYK","Down To You - Live","Brandi Carlile","Joni 75: A Joni Mitchell Birthday Celebration (Live)","1","10","350149","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:6GjOc3ZlVOzkHJJUzar2rl","Bluebird Wine - Remastered","Emmylou Harris","Pieces Of The Sky (Expanded & Remastered)","1","1","197306","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:1z5caKH6SJoofqTGVy17HY","Jolene - Live","The Staves","Pine Hollow (Live)","1","2","253000","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:2q6vlgBJ432KeZZNt2ZZBV","A Case of You","Tristen","A Case of You","1","1","260093","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:1pSgEjlOI6HMkEkorlXNU6","Jesse's Girl","Matt the Electrician","Made For Working","1","10","161920","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:0oI6AXLJZ3tJWaruhcsZVb","Dark Eyes","Dawn Landes, Bonnie "Prince" Billy","A Tribute to Bob Dylan in the 80s: Volume One (Deluxe Edition)","1","7","282254","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:7cQ2x6bqiOKWzKxB7Rp8tc","Don't You Want Me","Bahamas, The Weather Station","The Secret Life Of Walter Mitty (Music From And Inspired By The Motion Picture)","1","8","199426","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:0r7rLeNXTRTRsyDjYp9tIq","Boots Of Spanish Leather","The Lumineers","Boots Of Spanish Leather","1","1","282173","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:2zW0oWOUOc8KDLBCJXT80T","Remembering Mountains","Sharon Van Etten","Remembering Mountains : Unheard Songs By Karen Dalton","1","1","216773","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:3mDIyXDpODxsvDkl9hjd3F","Be My Husband","I'm With Her","Be My Husband","1","1","193960","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:0XoKwViOafkIMd2qE1wfqO","Maybe Not - Recorded at Spotify Studios NYC","The National","Spotify Singles","1","2","247228","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:14WxdK01IyDl3bumvqufxH","I'm on Fire","The Staves","If I Was (Deluxe Version)","1","15","192053","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:2es17WUR55CXoDIcKtT0eZ","Hannah Hunt - Recorded At Spotify Studios NYC","I'm With Her","Spotify Singles","1","2","278611","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:5HjUkIQgYnl5JOSpmS494a","Lakes of Pontchartrain - Recorded at Spotify Studios NYC","Aoife O'Donovan","Spotify Singles","1","2","234917","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:01J26T3XB19o21N7XV4npl","Don't Tell Our Friends About Me","Andrew Combs","5 Covers & A Song","1","4","294613","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:1FkGD5BKk9uaFrNxuLBc6b","Heaven Help The Child","Bill Callahan",""Heaven Help The Child"","1","2","307093","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:3e5eR2DBoHD2qR4HN3YmTv","Whole Wide World","Bahamas","Pink Strat","1","12","155240","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:5ByfgksA7N2f70dnuFABTE","You Can Call Me Al","Eddie Berman","You Can Call Me Al","1","1","253493","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:0TTg0rW47heYyrLO7fA2ey","The Circle Game - 2008 Remaster","Tom Rush","The Circle Game [Expanded & Remastered]","1","7","317133","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:2GiYPEgOA7hb7sqsEWX8df","Stay With Me - Live From Spotify Berlin","Angus & Julia Stone","Spotify Sessions","1","4","174360","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:0gEOycr5Mb2WJaqZwcIyjn","Nebraska - Acoustic","Aoife O'Donovan","Nebraska (Acoustic)","1","1","228626","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:2xMzN3uUtCxyHpR5L8Tril","The Partisan - Recorded at Spotify Studios NYC","Henry Jamison","Spotify Singles","1","2","189799","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:5rpRzNcJZqKQXk9PIjreB6","Hurt","Johnny Cash","Unearthed","5","15","216533","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:1H2uNZwxuv6eCWGyR9nXrR","Pink Rabbits","The Lone Bellow","Pink Rabbits","1","1","252203","spotify:user:","2019-10-21T00:02:25Z"
"spotify:track:3UpEsDQyd6eyRQzgQdNyGo","Walls","The Lumineers","Walls","1","1","199118","spotify:user:","2019-10-21T00:02:25Z"
