﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4alcHL08BLpgSoapAhPGGd","Molly Girl","Lil Tecca","Molly Girl","1","1","121348","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:0XWTLNFUHKMfUuTlWqHkeO","hand crushed by a mallet","100 gecs, Dylan Brady, Laura Les","1000 gecs","1","9","126616","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:6JqYhSdTE4WbQrMXxPH5cD","Honeypie","Johnny Utah","Honeypie","1","1","135521","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:1VBcGsab5bnDFr319bzSWO","SNOWCONE","REI AMI","SNOWCONE","1","1","155649","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:2LFRArYAReS0W297zmyJPN","Hit","Kenny Mason","Hit","1","1","159033","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:6PJaduT27BZFudBlgmDbYd","Sweet","Bren Joy, Landon Sears","Twenties","1","1","226153","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:6CLeGoAfyJZ7BpO9lZiWFS","Shawty","Remi Wolf","Shawty","1","1","197727","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:0MztsqxURlitrtr1Ruu0uw","Ugly","Deb Never","Ugly","1","1","184615","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:3ne8aXLTHtwrdtpItqCgfT","BLUE","Zaia","BLUE","1","1","137183","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:11ZY9wPKm72osWrXBPYoSc","Warm Pants","Dua Saleh","Warm Pants","1","1","314000","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:0Ly2USSlv6gnBItSVuhhhS","Gone","sober rob, Trevor Daniel","RESET","1","2","190163","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:60gPDYEZ9DyV1OuL9YKM0q","Dreams","Aaron May","CHASE","1","2","162213","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:703SHNf8XtJnM3gtryjyJ6","dying together","GOLDN","dying together","1","1","156217","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:4CdAmV6qgACPWHxjCrf7fp","Space Makes Me Sad","Fiji Blue","Space Makes Me Sad","1","1","136419","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:1saZ5nnaCWBjOK09izEK9c","i don't think i love you anymore","Alaina Castillo","i don't think i love you anymore","1","1","229383","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:3xUoFmauSdcqntvnmc39XZ","Wiggle","binki","Wiggle","1","1","179908","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:3sp3wHVuQ3CRtsZykHDtKq","Hollywood","Kota the Friend","FOTO","1","4","241678","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:5V1CiQCL2IkCt0OvrCMLwp","mime","Isaac Dunbar","mime","1","1","188320","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:3RZrvN10qqiNa9BIVd0d8w","Liar","BigKlit","Liar","1","1","146526","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:5WgdCkTa3l9GznpPQaQH6W","i don't miss u","Caro","songs from 3am","1","7","178895","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:4hP4t2ArzB5QA7nzJGjruX","Soufflé","Audrey","Soufflé","1","1","129674","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:3PPk8VonR0Ov8EKkmCkyvS","Diamond Tears","DeathbyRomy","Love u – to Death","1","5","210206","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:3wsFn90RsumyPhbsehCFrT","Do Better","Halima","Do Better","1","1","213121","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:5slRibWxb9m8wS8keXG4yY","Harvard","LAUNDRY DAY","HOMESICK","1","2","206950","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:5QTFijKBM9oCO5vH744k7r","Daytrip","STEPHAN, Current Blue","Daytrip","1","1","144857","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:0s58Xx9kQFoujKAuWM5k04","Make You Wait","Charlie Burg, Hans.","Three, Fever","1","7","180261","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:0vInsOPBHyqtF5KYmyiNsv","Luzon","Augustine","Luzon","1","1","181460","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:7l47dRm8jw7NMs0OFoQrrK","dreamgurl","Besphrenz, Keith Goodwin","dreamgurl","1","1","178636","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:36KJMSaMTtDHkF3m90avQc","mind games","ren","mind games","1","1","221916","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:1m6DIPiI6vkoCRoJLLcH7n","Give Me a Chance","Hish","Give Me a Chance","1","1","187846","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:3MuGGKbW1ts6LOeWtsLI7p","No More","Andrea Valle","No More","1","1","186000","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:2c72Qa7HHbMN4gaaUY3JKd","Click","Badgirl$","Click","1","1","213159","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:0qOe0oNsO7459dYDAlomiV","Bubba","Jack Larsen","Mildew","1","7","300429","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:10b4AEecewD0ns6uXImPEt","Little Bit","Erika de Casier","Essentials","1","4","286000","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:1avc8BMkZ9fJrlhD5WzaP0","Wishing For Rain","j ember","Wishing For Rain","1","1","197052","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:3mMxsC9GZanDd6c0lp2h7o","Meaner Girl","Anna Sofia","Meaner Girl","1","1","193253","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:7pADtei8K3suMQlLBxR4iw","When U Loved Me","Hether","When U Loved Me","1","1","191146","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:5kLIYCtwwjG2ykmF1DbZxY","Breathe","Catie Turner","The Sad Vegan","1","5","157867","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:4jeV6FqP8W41lTYqSHcs6E","sucks 4 u","Silver Sphere","yikes!","1","8","205400","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:2Yfk1z6IWQFzczDAt8kr6G","Icing on the Cake","Grace Ives","2nd","1","4","116655","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:34tp5m2KBIzTPz1hj2nKN4","Superfruit","Maude Latour","Starsick EP","1","2","138057","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:5PQhQUcdaUJy6t39LdOOX7","500 Days of Summer","Grady","500 Days of Summer","1","1","112001","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:0H39cYgfekuFluOgGPUicR","Go Wild","Friedberg","Go Wild","1","1","197681","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:4mfw5jKn6jgPQiUIuCcA2D","Union Station","Jelani Aryeh","Union Station","1","1","196608","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:7yeWt7sq2oRlEZWv880u9E","CLOUD","Monsune","Tradition","1","2","180375","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:4mDAxQGyDdpju78hGsACwn","My Love","maye","My Love","1","1","239295","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:2S7ORjggE2JPyamVM7FKio","Lavender","Q","Forest Green","1","1","138311","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:5418UMEZW10tHZ6qrIVlKW","Blue Skies","Jimi Somewhere","Ponyboy EP","1","3","304881","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:2IoEP9SKwBpm4DL89MKTDZ","Untitled","Kate Bollinger","Untitled","1","1","179500","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:0wYYZ1ag9YbdVKFxoWo6yO","Run Tings (feat. Dounia)","ROMderful, Shakka, Dounia","Press L To Continue","1","1","169653","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:4TxuAw6GMHFPMv6NQeXm6l","Cool to You","Teenage Priest","Cool to You","1","1","197888","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:1Fk9MDDgy1VvMosMh4m34G","COMMA$","LORD$OFDOGTOWN","LORD$OFDOGTOWN","1","9","146400","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:14NWHFVIYDXGkQDGQOuFHQ","Tokyo","Sam.Sts","Tokyo","1","1","176738","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:6eZo2NQF38Ir58bQgXOf5W","Rewind","Postcard Boy","Rewind","1","1","172338","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:1Frr2d2SHGlHC4OWa2m3G3","Unwind Me!","mmmonika","Unwind Me!","1","1","188085","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:5hKAv7ake0SWKlozUOGGDR","Wait For It","Siaira Shawn","Tender","1","4","141087","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:0uSDgxhgiCoINznpSytYJB","Foreign","Yung Reece","Foreign","1","1","146226","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:2Ni252QabsHI8nq6K30aV9","I Don't Care","Hello Yello","I Don't Care","1","1","176720","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:1KsWS1hACIVyT3PeluqkAt","Your Love","Mercer","Your Love","1","1","200005","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:5fD1cUWzVmReobKb6d24ft","Slip","AMA","Slip","1","1","151920","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:3dLbPocuJdznnYiuDvSZrg","Darling","Cero Ismael","Darling","1","1","145978","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:2fxIHzUUhpL3nySKIXDU91","LA Baby","Lil Benny","LA Baby","1","1","132974","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:7eYpfunwlv4RY6s0pEQe8p","Cotton Candy","Weston Estate","Cotton Candy","1","1","154074","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:38loOBAgDgCW4pFWyH9cey","Six Speed","Current Blue","Six Speed","1","1","120000","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:5yQ3r7YV573w0mpGtNpoAl","Confetti","DOUBLECAMP","Confetti","1","1","184459","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:749WhNrvTX6jNBNBTOPMa9","He is ... I am","Grip","Snubnose","1","1","234895","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:4dfFLWjpgnTcq5StTAa5dK","everybody's cool but me","Johan Lenox","everybody's cool but me","1","1","183746","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:5d1nXqp2jtg70hT6JYxIYI","Bummer Summerrr","Talkie","Everything Matters","1","4","239490","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:1TBpRrzF1dhn99zX2pXYXn","Buttons","meija","Buttons","1","1","216398","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:3Ebf3n6GX9i8OLig5lNXtL","Sue","No Suits","Sue","1","1","202826","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:2bbG9OmvZLCsdWoRu7rj2m","Runaway Man","Olivia Willhite","Runaway Man","1","1","189284","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:0FeEyD4FZqDh78DhShxGCx","Hey There Cowgirl","Palm Springsteen","Hey There Cowgirl","1","1","218016","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:15KS1teMEOiDKW1z2D371D","Talking Heads","black midi","Talking Heads","1","1","184907","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:05XpoWw7JYRohKMRTnaWg9","Fuckboy","BAUM","Fuckboy","1","1","180369","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:63Y4xHpEXsx1WBTOodRTxc","ugh!","dwilly","ugh!","1","1","171964","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:0gUGTaVTrXhweOk3vZFySa","Your Hands","GRAE","Your Hands","1","1","171856","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:3wXw9CsZsxca37dbzHUx4g","Rollin' Stone","Kyle Lux","No Roof Access","1","2","194863","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:2cs8QetDQhywVzUitHNuGB","Leaving Me","Lucy Daydream","Awake & Dreaming","1","7","175609","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:7o10Zzm6Lfa14CEzdWuMpA","stay","marcos g","stay","1","1","134487","spotify:user:","2019-12-10T01:06:21Z"
"spotify:track:3GSEZewTr5OeI9LnWovr5x","Come Over","Nolie, Christofi","Come Over","1","1","128000","spotify:user:","2019-12-10T01:06:21Z"
