﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6V9fHiv84WlVTg7CSnIVY2","Graveyard","Halsey","Graveyard","1","1","181805","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:6LsAAHotRLMOHfCsSfYCsz","If I Can't Have You","Shawn Mendes","If I Can't Have You","1","1","190800","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:5PYQUBXc7NYeI1obMKSJK0","Never Really Over","Katy Perry","Never Really Over","1","1","223523","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:05CwHjIk71RXVU40boRMnR","Call You Mine","The Chainsmokers, Bebe Rexha","World War Joy","1","1","217653","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:4Sib57MmYGJzSvkW84jTwh","ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift, Brendon Urie","ME!","1","1","193040","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:3UYiU57SMiAS5LqolhHJw1","Shameless","Camila Cabello","Shameless","1","1","219742","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:2iUXsYOEPhVqEBwsqP70rE","Youngblood","5 Seconds of Summer","Youngblood (Deluxe)","1","1","203417","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:4NmE2ytXI8S2svTRSmEdpO","Small Talk","Katy Perry","Small Talk","1","1","161962","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:5SHhPFh68OhUmuRPymKX9d","Undrunk","FLETCHER","Undrunk","1","1","183428","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:29fRTIKsJhLUJoldM89GZS","You Need To Calm Down","Taylor Swift","You Need To Calm Down","1","1","171386","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:4PkIDTPGedm0enzdvilLNd","Sixteen","Ellie Goulding","Sixteen","1","1","201072","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:5iTaLzgPI5jRMVAxITcZwT","Easier – Remix (with Charlie Puth)","5 Seconds of Summer, Charlie Puth","Easier – Remix (with Charlie Puth)","1","1","157325","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:4vUmTMuQqjdnvlZmAH61Qk","South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran, Camila Cabello, Cardi B","No.6 Collaborations Project","1","2","204466","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:0rIAC4PXANcKmitJfoqmVm","Motivation","Normani","Motivation","1","1","193837","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:3RauEVgRgj1IuWdJ9fDs70","The Man","Taylor Swift","Lover","1","4","190360","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:0Ryd8975WihbObpp5cPW1t","boyfriend (with Social House)","Ariana Grande, Social House","boyfriend","1","1","186106","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:3OTSBoYKO7HzGVj8Bu2OH9","All the Time","Zara Larsson","All the Time","1","1","228111","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:40nPimvmG05WYS7983bawZ","Cry for Me","Camila Cabello","Cry for Me","1","1","189133","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:4yI3HpbSFSgFZtJP2kDe5m","Look At Her Now","Selena Gomez","Look At Her Now","1","1","162595","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:1iQDltZqI7BXnHrFy4Qo1k","Trampoline (with ZAYN)","SHAED, ZAYN","Trampoline (with ZAYN)","1","1","184280","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:07Oz5StQ7GRoygNLaXs2pd","Good as Hell (feat. Ariana Grande) - Remix","Lizzo, Ariana Grande","Good as Hell (feat. Ariana Grande) [Remix]","1","1","159011","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:7vgv8KZBSo0TPzyIWG9yzV","Salt","Ava Max","Salt","1","1","180283","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:7LzouaWGFCy4tkXDOOnEyM","Liar","Camila Cabello","Liar","1","1","207038","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:5YkmS18BehACOhIIeUqe6l","I Miss Myself (with HRVY)","NOTD, HRVY","I Miss Myself (with HRVY)","1","1","191611","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:7njKgVl3AnLflRad38o7AG","Paradise","Bazzi","Paradise","1","1","169038","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:4evmHXcjt3bTUHD1cvny97","Beautiful People (feat. Khalid)","Ed Sheeran, Khalid","Beautiful People (feat. Khalid)","1","1","197866","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:6rVNnvyNeibts1uOqdSNIw","Mother","Charlie Puth","Mother","1","1","162864","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:25sgk305KZfyuqVBQIahim","Sweet but Psycho","Ava Max","Sweet but Psycho","1","1","187436","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:1xK7enJZVdv37fnnxoZlPq","With You","Kaskade, Meghan Trainor","With You","1","1","180840","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:6hLkeOMrhZ2CMLBp2of576","Wanted","OneRepublic","Wanted","1","1","136247","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:3HVWdVOQ0ZA45FuZGSfvns","I Don't Care (with Justin Bieber)","Ed Sheeran, Justin Bieber","I Don't Care (with Justin Bieber)","1","1","219946","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:2b1BwUGGyKq0CoJd8G1B6M","Harder","Jax Jones, Bebe Rexha","Snacks","1","1","159753","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:0uUNN1nSoUx1A4fkDCWDQ7","So Am I","Ava Max","So Am I","1","1","183026","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:0TK2YIli7K1leLovkQiNik","Señorita","Shawn Mendes, Camila Cabello","Señorita","1","1","190960","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:7c5h27Ju8JE5xWKTQ88KhL","Hurts 2B Human (feat. Khalid)","P!nk, Khalid","Hurts 2B Human (feat. Khalid)","1","1","202640","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:79JBjIq90BrQ8Ws0pUhlzD","Mad Love","Mabel","Mad Love","1","1","169813","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki","Dancing With A Stranger (with Normani)","Sam Smith, Normani","Dancing With A Stranger (with Normani)","1","1","171029","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:2XWjPtKdi5sucFYtVav07d","365","Zedd, Katy Perry","365","1","1","181899","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:3yOlyBJuViE2YSGn3nVE1K","My Oh My (feat. DaBaby)","Camila Cabello, DaBaby","Romance","1","4","170746","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:7DHApOHsIFo7EyfieArYGE","Walk Me Home","P!nk","Walk Me Home","1","1","177390","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg","Don't Start Now","Dua Lipa","Don't Start Now","1","1","183290","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:0xCmwofyCiXdhoBsMSNj2w","Love Myself","Hailee Steinfeld","Love Myself","1","1","218773","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:0YHUITU3w6ws1v8ehT264g","Shout Out to My Ex","Little Mix","Glory Days (Deluxe)","1","1","246240","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:1SJtlNRJDeYHioymcvsqev","Crying in the Club","Camila Cabello","Crying in the Club","1","1","216391","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:3O0e0LHTpza0rYVDbZfQ4r","Can We Pretend (feat. Cash Cash)","P!nk, Cash Cash","Can We Pretend (feat. Cash Cash)","1","1","224360","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:1z1XegUChLLQfcbtIK8ABn","Body Back (feat. Maia Wright)","Gryffin, Maia Wright","Body Back (feat. Maia Wright)","1","1","214634","spotify:user:","2019-12-12T23:40:00Z"
"spotify:track:2E7R8kXD7qZpvfW25F7gUW","Prosecco","Patrik Jean","Prosecco","1","1","195413","spotify:user:","2019-12-12T23:40:00Z"
