﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0GO8y8jQk1PkHzS31d699N","Tongue Tied","Grouplove","Never Trust A Happy Song","1","2","218013","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:4MflGTO2ZTcSQ12bWcyRgI","Honey, I'm Good.","Andy Grammer","Magazines Or Novels","1","1","199263","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:4kbj5MwxO1bq9wjT5g9HaA","Shut Up and Dance","WALK THE MOON","TALKING IS HARD","1","3","199080","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:6sPOmDulFtLzfX25zICNrC","Build Me Up Buttercup","The Foundations","The Foundations","1","7","177533","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:1KGi9sZVMeszgZOWivFpxs","No Scrubs","TLC","Fanmail","1","5","214400","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:44AXd3UVaaVYsSQqBpnYO2","Best Day Of My Life","American Authors","American Authors","1","2","194093","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:24YvUQnuPL8gObCfSnAobH","Hey, Soul Sister","Train","Save Me, San Francisco","1","2","216773","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:1Je1IMUlBXcx1Fz0WE7oPT","Wannabe","Spice Girls","Spice","1","1","173026","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:01iyCAUm8EvOFqVWYJ3dVX","Dancing Queen","ABBA","Arrival","1","2","230400","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:5XzmZjXhMjDHr7ZfJ6DELQ","FourFiveSeconds","Rihanna, Kanye West, Paul McCartney","FourFiveSeconds","1","1","188238","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:5zA8vzDGqPl2AzZkEYQGKh","Uptown Girl","Billy Joel","An Innocent Man","1","6","197706","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:0TF3F5Lw5apoD1zvR8LikO","Jessie's Girl","Rick Springfield","The Best Of Rick Springfield","1","1","192866","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:2nGFzvICaeEWjIrBrL2RAx","Put Your Records On","Corinne Bailey Rae","Corinne Bailey Rae","1","3","215360","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:27L8sESb3KR79asDUBu8nW","Stacy's Mom","Fountains Of Wayne","Welcome Interstate Managers","1","3","197986","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:3298yRJKPcCndQdNiTZKIo","Sweet Caroline","Neil Diamond","Sweet Caroline","1","13","203573","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:7oK9VyNzrYvRFo7nQEYkWN","Mr. Brightside","The Killers","Hot Fuss","1","2","222586","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:4FlYcJnfkeBpowEHJ72Bmt","Rockin' Robin","Bobby Day","Rockin' Robin","1","1","160080","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:7GVUmCP00eSsqc4tzj1sDD","Come and Get Your Love - Single Version","Redbone","Come and Get Your Love","1","1","205933","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:6t6oULCRS6hnI7rm0h5gwl","Some Nights","fun.","Some Nights (Spotify Exclusive)","1","2","277040","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:0PDCewmZCp0P5s00bptcdd","This Will Be (An Everlasting Love)","Natalie Cole","Inseparable","1","5","171960","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:6dGnYIeXmHdcikdzNNDMm2","Here Comes The Sun - Remastered 2009","The Beatles","Abbey Road (Remastered)","1","7","185733","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:6b8IKVufOkAawvQVguQxmo","I Will Survive","Gloria Gaynor","Universal Masters Collection","1","3","197573","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:3bidbhpOYeV4knp8AIu8Xn","Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis","The Heist","1","2","258342","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:05wIrZSwuaVWhcv5FfqeH0","Walking On Sunshine","Katrina & The Waves","Katrina & The Waves","1","6","238733","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:1EzrEOXmMH3G43AXT1y7pA","I'm Yours","Jason Mraz","We Sing. We Dance. We Steal Things.","1","2","242186","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:4DRBaZ760gyk7LWnaJFqsJ","I Want To Hold Your Hand - Remastered 2015","The Beatles","1 (Remastered)","1","4","145746","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:7hQJA50XrCWABAu5v6QZ4i","Don't Stop Me Now - 2011 Mix","Queen","Jazz (Deluxe Remastered Version)","1","12","209413","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:5uzNa0SBGOe5pPnstWHMCt","Come On Eileen","Dexys Midnight Runners","Too Rye Ay (Deluxe Edition)","1","10","273720","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:2xYlyywNgefLCRDG8hlxZq","Take Me Home, Country Roads - Rerecorded","John Denver","The John Denver Collection, Vol. 1: Take Me Home Country Roads","1","1","197813","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:5ihS6UUlyQAfmp48eSkxuQ","Landslide","Fleetwood Mac","Fleetwood Mac","1","8","199493","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:1m3PvavCMvctVLbh24McmP","How Sweet It Is (To Be Loved By You)","Jr. Walker & The All Stars","Road Runner","1","2","182440","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:4y1LsJpmMti1PfRQV9AWWe","Girls Just Want to Have Fun","Cyndi Lauper","She's So Unusual","1","2","238266","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:3tSi6iFO9yLGIYIqMEgjC9","I Want You Back","The Jackson 5","Anthology: Jackson 5","1","1","179226","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA","Drops of Jupiter","Train","Drops Of Jupiter","1","3","259933","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:5J0S5UgpCwlmEagrqgzvoC","Wake Me up Before You Go-Go","Wham!","THE FINAL","1","5","230666","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:2B4LcSLZTDmTIFgKpjScjR","You're The One That I Want - From “Grease”","John Travolta, Olivia Newton-John","Gold","1","17","167613","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:7HX9f8AMBl0vQxAoAzLqhS","You Make My Dreams - Remastered","Daryl Hall & John Oates","The Very Best of Daryl Hall / John Oates","1","7","187600","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:3cfOd4CMv2snFaKAnMdnvK","All Star","Smash Mouth","Astro Lounge","1","5","200373","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:7vFv0yFGMJW3qVXbAd9BK9","Your Body Is a Wonderland","John Mayer","Room For Squares","1","4","249626","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:2RlgNHKcydI9sayD2Df2xp","Mr. Blue Sky","Electric Light Orchestra","Out of the Blue","1","13","303373","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:7mnGQesk1TzQLzQ9bYWZPR","She's so High","Tal Bachman","Tal Bachman","1","2","224693","spotify:user:","2018-10-03T18:22:35Z"
