﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0LVghzBGRulc2TX9HFLYBl","Kiss Me Thru The Phone","Soulja Boy, Sammie","iSouljaBoyTellem","1","6","193386","spotify:user:","2019-12-12T21:17:06Z"
"spotify:track:2aIdVb8v9KTpEZnftkz2mD","Buy U a Drank (Shawty Snappin')","T-Pain, Yung Joc","Epiphany","1","12","227960","spotify:user:","2019-12-12T21:17:06Z"
"spotify:track:0CAfXk7DXMnon4gLudAp7J","Low (feat. T-Pain)","Flo Rida, T-Pain","Mail on Sunday","1","5","231400","spotify:user:","2019-12-12T21:17:06Z"
"spotify:track:7aXXjA800sXYKpM8D9pCVT","Tell Me","Smilez and Southstar","Crash the Party","1","10","278800","spotify:user:","2019-12-12T21:17:06Z"
"spotify:track:25CnqAR7fzAQbb2SVoSa0b","I Need A Hot Girl","Hot Boys, Big Tymers","Guerrilla Warfare","1","12","292840","spotify:user:","2019-12-12T21:17:06Z"
"spotify:track:6UZS3KgNc0NF13bbtQTzD6","The Jump Off","Lil' Kim","La Bella Mafia","1","8","234093","spotify:user:","2019-12-12T21:17:06Z"
"spotify:track:2ajhenDRiiAnCHHjsIOHhJ","Laffy Taffy","D4L","Down For Life","1","2","224253","spotify:user:","2019-12-12T21:17:06Z"
"spotify:track:66TRwr5uJwPt15mfFkzhbi","Crank That (Soulja Boy)","Soulja Boy","souljaboytellem.com","1","2","221933","spotify:user:","2019-12-12T21:17:06Z"
"spotify:track:0UaMYEvWZi0ZqiDOoHU3YI","Lose Control","Missy Elliott, Ciara, Fatman Scoop","The Cookbook","1","4","226863","spotify:user:","2019-12-12T21:17:06Z"
"spotify:track:65D95SmygxGCQGiI64eaZf","Independent (feat. Lil' Boosie and Lil' Phat)","Webbie, Boosie Badazz, Lil Phat","Savage Life 2 (Explicit Version)","1","3","250026","spotify:user:","2019-12-12T21:17:06Z"
"spotify:track:03tqyYWC9Um2ZqU0ZN849H","No Hands (feat. Roscoe Dash & Wale)","Waka Flocka Flame, Roscoe Dash, Wale","Flockaveli","1","5","263773","spotify:user:","2019-12-12T21:17:06Z"
"spotify:track:1GxHeBvQ9935Dd3cSfsfBa","Best I Ever Had","Drake","Thank Me Later (Int'l Version)","1","15","258760","spotify:user:","2019-12-12T21:17:06Z"
