Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
spotify:track:0to2n9YcGCGaZxjUDalS9i,When I Go Away (MWS Sessions),Elles Bailey,When I Go Away (MWS Sessions),1,1,272079,spotify:user:,2019-11-08T06:01:00Z
spotify:track:0UbDZyDh0QIgYpe2492mgi,You Never Can Tell,"Mike Zito, Robben Ford",Rock 'n' Roll: A Tribute to Chuck Berry,1,7,240053,spotify:user:,2019-11-01T05:01:00Z
spotify:track:0JSotxr4YFcp5e8c5yaMKv,Bad Woman Blues,Beth Hart,Bad Woman Blues,1,1,215911,spotify:user:,2019-09-27T07:01:00Z
spotify:track:5bEwHEb1GAugl8YXVwPkHZ,Death Letter Blues,Black Stone Cherry,Death Letter Blues,1,1,342200,spotify:user:,2019-11-01T05:01:00Z
spotify:track:29MB2RRm3ZAITHKDLc455C,If Tears Were Pennies,Martin Harley,Roll With the Punches,1,5,215293,spotify:user:,2019-11-01T05:01:00Z
spotify:track:2R5bAiFl7c5e0dAoWlBzWu,Your Mind Is On Vacation,Taj Mahal,Your Mind Is On Vacation,1,1,162610,spotify:user:,2019-11-01T05:01:00Z
spotify:track:1OuEldSyVTWRylOx46na3o,Down To The River,The Allman Betts Band,Down To The River,1,4,283852,spotify:user:,2019-06-28T14:58:05Z
spotify:track:76V5fM0JeTLO7LNIRiCtzr,Mean Old World,"North Mississippi Allstars, Jason Isbell, Duane Betts",Mean Old World,1,1,392720,spotify:user:,2019-09-06T06:01:00Z
spotify:track:6gq6I59uWHNtSwE1g0YUdR,Too Far Gone,Danny Bryant,Means of Escape,1,2,366533,spotify:user:,2019-09-20T18:52:20Z
spotify:track:5KVm5VkfweimhXkvFbR4YB,Blue Monday,George Benson,Blue Monday,1,1,183493,spotify:user:,2019-05-31T06:32:00Z
spotify:track:5KORMnuWZTLlPvM70xv165,Outside Of This Town,"Christone Kingfish"" Ingram""",Outside Of This Town,1,1,248035,spotify:user:,2019-05-31T06:32:00Z
spotify:track:4qBNil5tBE3ZWiu1zojXbM,I Remember You,Keb' Mo',I Remember You,1,1,295613,spotify:user:,2019-05-31T06:32:00Z
spotify:track:72ifQVuWpUuPfAskmKXB9F,Simple Man,Robert Randolph & The Family Band,Simple Man,1,1,183240,spotify:user:,2019-08-09T08:01:00Z
spotify:track:3lWwsRSWeSTXUBTJeuRPPg,Plastic Hamburgers,Fantastic Negrito,Please Don't Be Dead,1,1,217451,spotify:user:,2019-11-08T06:01:00Z
spotify:track:0kqSoxGFjMZ4ioLRUmh20p,50 Years,Lucky Peterson,50 Years,1,1,251173,spotify:user:,2019-09-06T06:01:00Z
spotify:track:6PMikWb3yXQbrW8iaoIwQu,Come Down,Anthony Gomes,Come Down,1,1,274490,spotify:user:,2019-12-13T06:01:00Z
spotify:track:6OwYk4v6KoCo3BaHS53MxC,Delta Hurricane,"John Mayall, Joe Bonamassa",Nobody Told Me,1,6,298666,spotify:user:,2019-05-31T06:32:00Z
spotify:track:1UKoieiyXHc1mcuc52801d,Hey Hey Bobby Rush,Bobby Rush,Sitting on Top of the Blues,1,1,253046,spotify:user:,2019-08-16T08:01:00Z
spotify:track:0jx10sJgrjmXhDI14fBI79,Dirty,Samantha Fish,Kill Or Be Kind,1,10,207306,spotify:user:,2019-09-20T18:52:20Z
spotify:track:4FQmCfwrpyVigjhbPpZsOo,Don't Come Crying (feat. Ian Hoey),"Gary Hoey, Ian Hoey",Don't Come Crying (feat. Ian Hoey),1,1,273893,spotify:user:,2019-05-31T06:32:00Z
spotify:track:2qFfzogwpfL2HAo2q28NdP,Simple Case of the Blues,Rosie Flores,Simple Case of the Blues,1,4,218746,spotify:user:,2019-05-31T06:32:00Z
