﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1nRGAGINbbYLTSHhEvELoO","I Fall In Love Too Easily","Keith Jarrett, Gary Peacock, Jack DeJohnette","Standards, Vol. 2","1","6","312666","spotify:user:","2019-11-14T11:06:54Z"
"spotify:track:2qPNrEIImCaJ47KCKXBFAh","Terminal 7","Tomasz Stanko Quintet","Dark Eyes","1","2","330106","spotify:user:","2019-11-14T11:06:54Z"
"spotify:track:3BXgSrxYGEPCa0GxRZHseW","One For","Maciej Obara Quartet","Unloved","1","2","374586","spotify:user:","2019-11-14T11:06:54Z"
"spotify:track:5F8rPLt2c52p0SK7kiH26b","Crystal Silence","Chick Corea","Return To Forever","1","2","415000","spotify:user:","2019-11-14T11:06:54Z"
"spotify:track:4rznhkoOr1AYneKuWBef4V","Ciaccona per Embrik","Trygve Seim","Helsinki Songs","1","4","360413","spotify:user:","2019-11-14T11:06:54Z"
"spotify:track:5U1mOe8cIpZflj6p7Ro9tr","Alfie","Arild Andersen, Tommy Smith, Paolo Vinaccia","Mira","1","3","423853","spotify:user:","2019-11-14T11:06:54Z"
"spotify:track:1UJMQtiCSotiEyEvB65Na1","Seeds Of Change","Joe Lovano, Marilyn Crispell, Carmen Castaldi","Seeds Of Change","1","1","313693","spotify:user:","2019-11-14T11:06:54Z"
"spotify:track:27LsMxUXXzdVy9O5nC0aQT","It's A Lonesome Old Town - Live","Keith Jarrett","It's A Lonesome Old Town (Live)","1","1","303007","spotify:user:","2019-11-14T11:06:54Z"
"spotify:track:0JRq65dblAmI3REEchAfF8","What Reason Could I Give","Don Cherry, Lennart Aberg, Bobo Stenson, Anders Jormin, Anders Kjellberg, Okay Temiz","Dona Nostra","1","7","227773","spotify:user:","2019-11-14T11:06:54Z"
"spotify:track:6dCXF20iYOrYCmo8mNYJ81","Vashkar","Carla Bley, Steve Swallow, Andy Sheppard","Trios","1","2","442893","spotify:user:","2019-11-14T11:06:54Z"
"spotify:track:0T8J0DHoZipMxuNuCK0a24","Reflections In D","Bobo Stenson, Anders Jormin, Jon Christensen","Reflections","1","6","322466","spotify:user:","2019-11-14T11:06:54Z"
"spotify:track:4uDf9DFs4EJIcf1coF4FxI","Vignette","Gary Peacock, Keith Jarrett, Jack DeJohnette","Tales Of Another","1","1","423533","spotify:user:","2019-11-14T11:06:54Z"
"spotify:track:6E2fujUjzuB9ZcrYhxlVBM","Welcome","Steve Kuhn Trio, Joe Lovano","Mostly Coltrane","1","1","296880","spotify:user:","2019-11-14T11:06:54Z"
"spotify:track:36wpZ7gr4g48cCcEYvqrOj","Shir Eres (Lullaby)","Avishai Cohen, Yonathan Avishai","Shir Eres (Lullaby)","1","1","275426","spotify:user:","2019-11-14T11:06:54Z"
