﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1yY9uOKV3A9pPedzTfvbg1","Are You Bored Yet? (feat. Clairo)","Wallows, Clairo","Are You Bored Yet? (feat. Clairo)","1","1","178000","spotify:user:","2019-02-06T20:06:23Z"
"spotify:track:3sgacAzOpMt2IfwDv7BZwe","Sometimes I Don't","Daniela Andrade","Sometimes I Don't","1","1","150361","spotify:user:","2019-06-18T14:48:17Z"
"spotify:track:0izLJHtbbiReWZxn4Qi1kp","feelings are fatal","mxmtoon","plum blossom","1","3","124853","spotify:user:","2018-12-12T22:07:12Z"
"spotify:track:2hbbXDj2SqcQqyypApcueW","My Man","Delacey","My Man","1","1","203455","spotify:user:","2019-03-13T15:45:38Z"
"spotify:track:7tMbZ0RGW0jFsBw7ipEPEV","Someone To Stay","Vancouver Sleep Clinic","Someone To Stay","1","1","254013","spotify:user:","2018-12-12T22:07:12Z"
"spotify:track:5kWBc27qOBWGof8J8t3GCf","Catch a Feeling","Michi","Catch a Feeling","1","1","178546","spotify:user:","2019-08-19T16:36:57Z"
"spotify:track:1IKSPT8NgQSLz5DwaxrnEe","Loving You Is Lonely","Harmony Byrne","Loving You Is Lonely","1","1","269760","spotify:user:","2019-03-13T15:45:38Z"
"spotify:track:00qHRkAlOCsjbs8N4hBUH5","i feel like chet","mxmtoon","i feel like chet","1","1","183242","spotify:user:","2019-01-04T21:38:46Z"
"spotify:track:0KyAGiNGUytG5JLxJu4F6l","Pretty Girl","Clairo","Pretty Girl","1","1","178352","spotify:user:","2018-12-12T22:07:12Z"
"spotify:track:325e3Lkx4AodxGNsqHiaG4","A letter to my younger self","Ambar Lucid","A letter to my younger self","1","1","138223","spotify:user:","2018-12-12T22:07:12Z"
"spotify:track:4fPk5AIvhAOK9KELmztQxX","Lonely","Ralph Castelli","Long Distance","1","3","260000","spotify:user:","2019-08-19T16:48:19Z"
"spotify:track:3PbV3ocgAp3Xn0omGFC0cG","Untitled","Rex Orange County","Apricot Princess","1","5","135706","spotify:user:","2019-03-22T17:27:44Z"
"spotify:track:3ctBlLC81pc2TMriIxnXxN","Seventeen","Tomberlin","At Weddings","1","7","271125","spotify:user:","2018-12-18T15:42:20Z"
"spotify:track:5byJBGDhkVXs81MS3b3Ncq","Old Bone","Wet","Old Bone / Trust No Man","1","1","187120","spotify:user:","2019-03-13T15:45:38Z"
