﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:08wURIBZsaN1sCIDewNdrX","hate u love u","Olivia O'Brien","hate u love u","1","1","175466","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:7sTtHHrD0zDpmzQzH3zegz","Consequences","Camila Cabello","Camila","1","6","178466","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:4GUXTRTjQ4voLzwLw9qbPx","I Believe You","FLETCHER","I Believe You","1","1","192992","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:72C7aUQECOhNtnD0AC36ua","They Don't Know About Us","One Direction","Take Me Home: Yearbook Edition","1","12","201693","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:1N7YeVU0ZwAFbOhwM61ef6","Head Above Water","Avril Lavigne","Head Above Water","1","1","220850","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:0jllH0usRFD4LJkJnGK9Lf","Complicated","Olivia O'Brien","Complicated","1","1","189000","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:5GT8b1dFaOWFF5twsmSOYx","The Best You Had","Nina Nesbitt","The Best You Had","1","1","175061","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:0u2P5u6lvoDfwTYjAADbn4","lovely (with Khalid)","Billie Eilish, Khalid","lovely (with Khalid)","1","1","200185","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:1almCHdsfikRPfVB9VrEdT","Little Do You Know","Alex & Sierra","It's About Us","1","7","185200","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:5tajmvqHF6YW1iiUFzKpCB","Wasted","MKTO","MKTO","1","7","184213","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:2BkyYZmU4JuWW2sYi9EzpC","7 Minutes","Dean Lewis","7 Minutes","1","1","211453","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:2TBQoW7s6iwKcg139ssqie","Bad At Love","Halsey","hopeless fountain kingdom (Deluxe)","1","11","181279","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:2TIlqbIneP0ZY1O0EzYLlc","Someone You Loved","Lewis Capaldi","Breach","1","3","182160","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:0cEBv7oJxFp3bfTFqWFI0R","Why Don't You Love Me","Hot Chelle Rae, Demi Lovato","Whatever","1","8","211413","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:5hwh37sTi84MVhCBMWzhGE","Superficial Love","Ruth B.","The Intro","1","4","207973","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:3NgCzSW98SsqBdpYcnm4kv","I Have Questions","Camila Cabello","I Have Questions","1","1","221881","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:0YHzFtwuNcxpMcvJwiLAgW","You Don't Love Me","Folly Rae","You Don't Love Me","1","1","204514","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:79NlESqzFSW0hdBWgls4FX","Praying","Kesha","Praying","1","1","230269","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:3ioJ2eGWcONEvna37MpsiE","Stone Cold","Demi Lovato","Confident (Deluxe Edition)","1","5","191307","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:43zdsphuZLzwA9k4DJhU0I","when the party's over","Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","1","7","196077","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:7IL3UOlcJ6nmcCMwpnlfcA","Something's Gotta Give","Camila Cabello","Camila","1","8","236360","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:4KnnWpUyPfQD6X5SQSTlH3","Turn Back Time","Daniel Schulz","Turn Back Time","1","1","223561","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:4VPXFi4vFTtS9wHe6oMQaT","I Can't Fall in Love Without You","Zara Larsson","So Good","1","14","180640","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:4CxFN5zON70B3VOPBYbd6P","you were good to me","Jeremy Zucker, Chelsea Cutler","brent","1","1","219146","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:5NRl32BO29q8xtWFvOlHZE","River Of Tears","Alessia Cara","Know-It-All (Deluxe)","1","12","254506","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:3zE7ATRpfliDluoedEUSQr","Gasoline","Halsey","BADLANDS (Deluxe)","1","13","199593","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:0VhgEqMTNZwYL1ARDLLNCX","Can I Be Him","James Arthur","Back from the Edge","1","4","246880","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:2JqnpexlO9dmvjUMCaLCLJ","Love Someone","Lukas Graham","Love Someone","1","1","205463","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:7xpraKSakDJ6WWgjQEtvgT","Sad Song (feat. Elena Coats)","We The Kings, Elena Coats","Somewhere Somehow","1","12","226330","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:2ELVVIbpucfOqGFC21Q4yR","I Love You","Alex & Sierra","It's About Us","1","10","229640","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:1z1mMZtZW0gvR9FSPc7JpJ","Champion","Elina","Champion","1","1","173237","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:5sdTTy6GnSHRJfWI2ZvAGe","Risk It All","The Vamps","Meet The Vamps","1","6","218804","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:3ZCTVFBt2Brf31RLEnCkWJ","everything i wanted","Billie Eilish","everything i wanted","1","1","245425","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:5DHQKZCOZhGNTbYBCekWx0","Paralyzed","NF","Mansion","1","10","270453","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:76vWvM44jeCgBKryBaLcqe","Let You Know","Sody","Let You Know","1","1","190072","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:2S2od3hT7ceytw7d1pTRuE","Again","Noah Cyrus, XXXTENTACION","Again","1","1","193961","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:69vToJ9BMbbLlFZo7k7A7B","You Are The Reason","Calum Scott","Only Human (Deluxe)","1","4","204326","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:5Cv1xqpyciZZuHHR7xr2l0","the broken hearts club","gnash","the broken hearts club","1","1","184467","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:5heMraZsTO2tPCsdeoKCXE","Shadow","Jimmy Levy","Shadow","1","1","283112","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:4h0zU3O9R5xzuTmNO7dNDU","Lost Boy","Ruth B.","Lost Boy","1","1","275280","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:6FW6JfPbLov2pOFMsEbSgh","Panic","L Devine","Growing Pains","1","5","201299","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:0UkZ0epPTahsPgLXacC5EG","Worthy Of You","Plested","Worthy Of You","1","1","190619","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:7krbSH3rd8lhIZvuzTV3Bl","Naked","James Arthur","Naked","1","1","234106","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:2RttW7RAu5nOAfq6YFvApB","Happier","Ed Sheeran","÷ (Deluxe)","1","7","207520","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:0tV8pOpiNsKqUys0ilUcXz","Rise Up","Andra Day","Cheers To The Fall","1","11","253342","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:5Os0ngycjWDGDmIM6jWDN5","Solstice","TAVIA","Solstice","1","1","247692","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:4k5FaS9QHmeJNu7kDNkLnO","Never Be Alone","Shawn Mendes","Never Be Alone","1","1","215840","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:1ykZSHabGHpaX7MQ1oJwZ2","Grieving","Liz Bissonette","Grieving","1","1","233848","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:0Bk7mrbKzHMTfmJrXAJ5Jg","I Still Know You","Jacob Lee","I Still Know You","1","1","326162","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:0UlguQTHxZSh4NKDMpQATl","My Mistake","Gabrielle Aplin","My Mistake","1","1","264656","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:5CRVwXGikmqzoRO6q7FeAg","If I Could Fly","One Direction","Made In The A.M. (Deluxe Edition)","1","6","230320","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:06DaCxeg3IUMcxDkKEyQKf","A Little Too Much","Shawn Mendes","Handwritten (Deluxe)","1","11","187026","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:5NlV5HVIfgk5eHxvAGGTfy","better off","j-hope, Chelsea Cutler","better off","1","1","192920","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:5x5JM1BSB6vollcIzDocqT","The Climb","Miley Cyrus","The Time Of Our Lives (International Version)","1","8","234520","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:52okn5MNA47tk87PeZJLEL","Let You Down","NF","Perception","1","6","212120","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:4qMu6LIImRJVbxB70bdFJj","Opposite Of Loving Me - Stripped","Etham","Opposite Of Loving Me (Stripped)","1","1","211760","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:3FN40c3kn4fG46JcrGBYD7","Running Low","Shawn Mendes","Handwritten (Revisited)","1","15","274586","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:2GwShNdcJHDLEkGO4L34lF","Back To You","The Mayries","Back To You","1","1","219976","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:2TukzxmwVW0JkiI8isgUXd","Need Somebody (Acoustic)","Xuitcasecity","Need Somebody (Acoustic)","1","1","192333","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:6dVa7xk5dOoT6pOkDw1TMH","Brother","Kodaline","Brother","1","1","201980","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:0P3wANnHa96Q7qOBzZrvD5","Should Have Been Us","Travis Atreo","Should Have Been Us","1","1","198549","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:3qbzLMM4YTDXoFTSsxFQgE","Half of Me - Acoustic","Yasmeen","Half of Me (Acoustic)","1","1","132201","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:4VuS959DSpr82t3qBqCrWG","Supermarket Flowers","Ed Sheeran","÷ (Deluxe)","1","12","221106","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:6nIE1oCE4udqMGv3bqVNVb","Half a Heart","One Direction","Midnight Memories (Deluxe)","1","18","188546","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:7oHijHxh7cI40fNC4S619V","Runaway","Sasha Sloan","Runaway","1","1","218946","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:0mel2N9Ws9r4yLQn5QE21Y","Too Good At Goodbyes - Edit","Sam Smith","Too Good At Goodbyes","1","1","201000","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:07O3JR3PRzTaNwYwNFpxDe","Sin in Your Skin","Aidan Martin","Sin in Your Skin","1","1","237338","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:5tJyCOoPuQ7bwXoD6FawWc","Paris","Samia","Lasting Friend / Paris","1","2","200092","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:5nNTGNbxS30PX6sZpYh9hJ","Homesick","Dua Lipa","Dua Lipa (Deluxe)","1","12","230480","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:3CRtbOoAP82y0VbPO5j1ft","Too Sad To Cry","Sasha Sloan","Self Portrait","1","6","208986","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:4ptDJbJl35d7gQfeNteBwp","Solo","Dan Berk","Solo","1","1","198712","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:6Fumoc72rTwXPGYwWUHhmh","If You Say So","Lea Michele","Louder","1","11","255293","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:7tTRP2vA00uScZ4SjB3ZQZ","Rush (feat. Jessie Reyez)","Lewis Capaldi, Jessie Reyez","Rush (feat. Jessie Reyez)","1","1","198351","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:1Pw5C4N6Fn5E4mGCxmbbVa","Say You Won't Let Go","James Arthur","Say You Won't Let Go","1","1","211240","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:49wZPjRR4RbW09m3yNOVzq","love/hate","Matt Van","love/hate","1","1","166027","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:60wa5J6SkXtBXHySQ3PoNB","The Love You Left Behind","Michael Schulte","The Love You Left Behind","1","1","194546","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:3HPpOFmDibEO06Z2q4ZN5u","I Always Wanna Die (Sometimes)","The 1975","A Brief Inquiry Into Online Relationships","1","15","314662","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:4pjNeKzXQcoYRdNDgdrwyR","Thursday - Acoustic","Jess Glynne","Thursday (Acoustic)","1","1","241613","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:2xdQMKQ0ZO1O6WtAImKmYK","Believe","Ben & Tim","Believe","1","1","182216","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:0kBEfabq01Jr6UgWL9H87n","Lose My Mind - Acoustic","Dean Lewis","Lose My Mind (Acoustic)","1","1","193628","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:3gwJhiaCPcdLgPePwxPd1S","Only You - Acoustic","Sarah Close","Only You (Acoustic)","1","1","238088","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:3phOtFs7faVgUInMMaJ3RD","This Morning","Picture This","This Morning","1","1","196826","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:2afCBiru10AFckfOa49wIa","You & I","One Direction","Midnight Memories (Deluxe)","1","5","237933","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:2CP59wTi26D79uKS3ZBoBY","I Lied to You","Janet Devlin","I Lied to You","1","1","176072","spotify:user:","2019-12-13T13:06:19Z"
"spotify:track:41WTP0gosjYD74B06uS2tL","You Said You'd Grow Old With Me","Michael Schulte","Wide Awake","1","6","224743","spotify:user:","2019-12-13T13:06:19Z"
