Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
spotify:track:6M14BiCN00nOsba4JaYsHW,Ocean Man,Ween,The Mollusk,1,13,126946,spotify:user:1256517426,2013-12-05T02:12:05Z
spotify:track:0IedgQjjJ8Ad4B3UDQ5Lyn,Fragments of Time,"Daft Punk, Todd Edwards",Random Access Memories,1,11,279773,spotify:user:1256517426,2013-12-05T02:12:08Z
spotify:track:69kOkLUCkxIZYexIgSG8rq,Get Lucky,"Daft Punk, Pharrell Williams, Nile Rodgers",Random Access Memories,1,8,369626,spotify:user:1256517426,2013-12-05T02:12:23Z
spotify:track:5uB85PzlWrnNnxL2A1TcKD,Pass It On,The Coral,Magic & Medicine,1,10,139133,spotify:user:1256517426,2013-12-05T02:12:25Z
spotify:track:40SE4lxCPNibwbdw1zzWV5,Dreaming of You,The Coral,Cheap Date,1,14,141200,spotify:user:1256517426,2013-12-05T02:12:36Z
spotify:track:5oPDm3evplwHn3HxsSwlP4,Volcanology,Brooklyn,Volcanology - Single,1,1,214000,spotify:user:1256517426,2013-12-05T02:12:38Z
spotify:track:0as2FkOPwyZJnCqlDeUlmQ,Haunted,Poe,Haunted,1,2,320240,spotify:user:1256517426,2013-12-05T02:12:42Z
spotify:track:4zbC8E1OvJmx2DlChRCWUU,Scar Tissue,Red Hot Chili Peppers,Californication,1,3,215906,spotify:user:1256517426,2013-12-05T02:12:52Z
spotify:track:0v32NbDiKUNuECTAkeCL4a,Californication,Red Hot Chili Peppers,Californication,1,6,329733,spotify:user:1256517426,2013-12-05T02:12:54Z
spotify:track:0wIhWLNLIOmzQ89B3rtTd3,It's Not Over,Daughtry,Daughtry,1,1,214831,spotify:user:1256517426,2013-12-05T02:12:57Z
spotify:track:1FMHNVeJ9s1x1l1WlaRs2I,It Ends Tonight,The All-American Rejects,Move Along,1,4,244826,spotify:user:1256517426,2013-12-05T02:13:12Z
spotify:track:3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,Parachutes,1,5,266773,spotify:user:1256517426,2013-12-05T02:13:15Z
spotify:track:7nnWIPM5hwE3DaUBkvOIpy,Drive,Incubus,Make Yourself,1,8,232453,spotify:user:1256517426,2013-12-05T02:13:17Z
spotify:track:5ZcmP16SFTTgHT7WyZYWNQ,Spiderwebs,No Doubt,The Singles Collection,1,11,266706,spotify:user:1256517426,2013-12-05T02:13:19Z
spotify:track:0BCPKOYdS2jbQ8iyB56Zns,Clocks,Coldplay,A Rush of Blood to the Head,1,5,307879,spotify:user:1256517426,2013-12-05T02:13:23Z
spotify:track:0yOejql4hrkoB3VYqpvtnW,Paint Yourself,White Denim,Fits (Expanded Version),1,8,205040,spotify:user:1256517426,2013-12-05T02:13:25Z
