Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
spotify:track:5RsUlxLto4NZbhJpqJbHfN,Jessie's Girl,Rick Springfield,Working Class Dog,1,2,194120,spotify:user:isaiah795,2018-12-06T15:35:57Z
spotify:track:6YXxeDNipkeI0kV6v7QD91,Round (feat. Juice WRLD),"Yung Bans, Juice WRLD",Yung Bans Vol. 5,1,7,152798,spotify:user:isaiah795,2018-12-06T15:36:08Z
spotify:track:7tFiyTwD0nx5a1eklYtX2J,Bohemian Rhapsody - 2011 Mix,Queen,A Night At The Opera (Deluxe Remastered Version),1,11,354320,spotify:user:isaiah795,2018-12-06T16:30:37Z
spotify:track:0vCTQcxSGAgjHaiAsIANKn,Vanilla Twilight,Owl City,Ocean Eyes (Deluxe Version),1,11,231706,spotify:user:isaiah795,2018-12-06T16:36:49Z
spotify:track:74lnM5V6ecvoTPV0fvptx9,Nuketown (feat. Juice WRLD),"Ski Mask The Slump God, Juice WRLD",STOKELEY,1,2,166400,spotify:user:isaiah795,2018-12-06T16:40:06Z
spotify:track:3EikYy40GMSp8l5mDV6IQo,Foot Fungus,Ski Mask The Slump God,STOKELEY,1,3,129546,spotify:user:isaiah795,2018-12-06T16:40:11Z
spotify:track:2PCKWNZYcwyFKd4lVRWE8k,LA LA,Ski Mask The Slump God,STOKELEY,1,4,147413,spotify:user:isaiah795,2018-12-06T16:45:18Z
spotify:track:6C7RJEIUDqKkJRZVWdkfkH,Stronger,Kanye West,Graduation,1,3,311866,spotify:user:isaiah795,2018-12-06T16:45:29Z
spotify:track:069deq5woglvUnWok4MqTe,It's Complicated,A Day To Remember,What Separates Me From You,1,3,177240,spotify:user:isaiah795,2018-12-06T16:45:53Z
spotify:track:4VUwkH455At9kENOfzTqmF,Beautiful (feat. Camila Cabello),"Bazzi, Camila Cabello",Beautiful (feat. Camila Cabello),1,1,180000,spotify:user:isaiah795,2018-12-06T16:51:22Z
spotify:track:1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),"Camila Cabello, Young Thug",Camila,1,4,217306,spotify:user:isaiah795,2018-12-06T16:51:25Z
spotify:track:0ARK753YaiJbpLUk7z5yIM,Dilemma,"Nelly, Kelly Rowland",Nellyville,1,10,289160,spotify:user:isaiah795,2018-12-06T16:53:56Z
spotify:track:06iMqWThw4w8fTFyccvOwr,Ride Wit Me,"Nelly, City Spud",Country Grammar,1,7,291781,spotify:user:isaiah795,2018-12-06T16:53:59Z
spotify:track:3ZdJffjzJWFimSQyxgGIxN,Just A Dream - Main,Nelly,5.0,1,4,237800,spotify:user:isaiah795,2018-12-06T16:54:02Z
spotify:track:04KTF78FFg8sOHC1BADqbY,Hot In Herre,Nelly,Nellyville,1,3,228240,spotify:user:isaiah795,2018-12-06T16:54:06Z
spotify:track:0q5DrtpnnGpOvBy5nnPMbe,Timeless (feat. DJ SPINKING),"A Boogie Wit da Hoodie, DJ SpinKing",TBA,1,3,184000,spotify:user:isaiah795,2018-12-06T16:54:11Z
spotify:track:4EWCNWgDS8707fNSZ1oaA5,Heartless,Kanye West,808s & Heartbreak,1,3,211000,spotify:user:isaiah795,2018-12-06T16:54:17Z
spotify:track:1kxeWHF9PrCVZHvVskv8lg,Love Lockdown,Kanye West,808s & Heartbreak,1,5,270306,spotify:user:isaiah795,2018-12-06T16:54:21Z
spotify:track:1tSCOvzzG7ofINeuNGhOdE,Galileo,"Brxndead, Atti K, 916frosty",Galileo,1,1,225245,spotify:user:isaiah795,2018-12-06T16:56:59Z
spotify:track:6R9nl7ucaIt4mMNscXP0Qq,"Flight To Memphis (feat. Chris Brown, Juicy J & A$AP Rocky)","Smooky MarGielaa, Chris Brown, Juicy J, A$AP Rocky","Flight To Memphis (feat. Chris Brown, Juicy J & A$AP Rocky)",1,1,215689,spotify:user:isaiah795,2018-12-06T17:19:53Z
spotify:track:2OsDoAzo5SGq10qwmKSQBv,Jet Lag (feat. Young Scooter),"Future, Juice WRLD, Young Scooter",Future & Juice WRLD Present... WRLD ON DRUGS,1,1,271066,spotify:user:isaiah795,2018-12-06T19:23:44Z
spotify:track:1kMuU3TNQvHbqvXCWBodmP,Right Above It,"Lil Wayne, Drake",I Am Not A Human Being,1,7,271946,spotify:user:isaiah795,2018-12-06T19:23:48Z
spotify:track:7t2bFihaDvhIrd2gn2CWJO,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix","Ty Dolla $ign, The Weeknd, Wiz Khalifa, Mustard","Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]",1,1,242983,spotify:user:isaiah795,2018-12-06T19:23:52Z
spotify:track:1BxkZE73h9BN3qwuA15TA3,Drip Too Hard,"Lil Baby, Gunna",Drip Too Hard,1,1,145603,spotify:user:isaiah795,2018-12-06T19:23:57Z
spotify:track:5R2rsbwCDXORX2tLfprRmM,Yacht Club (feat. Juice WRLD),"Lil Yachty, Juice WRLD",Nuthin' 2 Prove,1,5,166343,spotify:user:isaiah795,2018-12-06T19:24:00Z
spotify:track:3tcnWNjEXyXCbFR9zonrX2,Topanga,Trippie Redd,Topanga,1,1,215364,spotify:user:isaiah795,2018-12-06T19:24:04Z
spotify:track:7sapKrjDij2fpDVj0GxP66,She Will Be Loved,Maroon 5,Songs About Jane,1,4,257133,spotify:user:isaiah795,2018-12-06T19:24:13Z
spotify:track:44AyOl4qVkzS48vBsbNXaC,Can't Help Falling in Love,Elvis Presley,Blue Hawaii,1,5,182360,spotify:user:isaiah795,2018-12-06T19:24:17Z
