﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3aD8cLO0ZZTLoHwF4pTu8d","Like I'm Gonna Lose You (feat. John Legend)","Meghan Trainor, John Legend","Valentine's Day - R&B Love","1","8","222106","spotify:user:sonymusicnl","2019-12-06T11:02:21Z"
"spotify:track:4oyTkYNopVIPm7Ebah6H2F","All of Me","John Legend","Valentine's Day - R&B Love","1","1","270413","spotify:user:sonymusicnl","2019-12-06T11:02:21Z"
"spotify:track:7vGGAJBkHKxKtOnGjQduDV","Saturday Nights","Khalid","Suncity","1","3","209546","spotify:user:sonymusicnl","2019-12-06T11:02:21Z"
"spotify:track:3nqqDo8CcCLke3ZoTgiOKf","The Man Who Can't Be Moved","The Script","The Script","1","4","241373","spotify:user:sonymusicnl","2019-12-06T11:02:21Z"
"spotify:track:5TvE3pk05pyFIGdSY9j4DJ","Say Something","A Great Big World, Christina Aguilera","Is There Anybody Out There? - Track by Track Commentary","1","25","229400","spotify:user:sonymusicnl","2019-12-06T11:02:21Z"
"spotify:track:114xcQz8sZ6fxRBTZmgmNE","Better Half of Me","Tom Walker","Better Half of Me","1","1","195451","spotify:user:sonymusicnl","2019-12-06T11:02:21Z"
"spotify:track:4poybupy26pTWPr9zY1i7h","Some Say","Nea","Some Say","1","1","175601","spotify:user:sonymusicnl","2019-12-06T11:02:21Z"
"spotify:track:0K08V3QlZporxrJf8FIZ8M","Nothing Breaks Like a Heart - Acoustic Version","Mark Ronson, Miley Cyrus","Nothing Breaks Like a Heart (Acoustic Version)","1","1","220940","spotify:user:sonymusicnl","2019-12-06T11:02:21Z"
"spotify:track:2kJwzbxV2ppxnQoYw4GLBZ","If The World Was Ending (feat. Julia Michaels)","JP Saxe, Julia Michaels","If The World Was Ending (feat. Julia Michaels)","1","1","208687","spotify:user:sonymusicnl","2019-12-06T11:02:21Z"
"spotify:track:0pwdJLLVxlJa1lnR9UeMZY","Love Me Anyway (feat. Chris Stapleton)","P!nk, Chris Stapleton","Hurts 2B Human","1","11","188120","spotify:user:sonymusicnl","2019-12-06T11:02:21Z"
"spotify:track:0XPlSuCVQ1nOhzTpFgnDSz","Show Me Love","Alicia Keys, Miguel","Show Me Love","1","1","194997","spotify:user:sonymusicnl","2019-12-06T11:02:21Z"
"spotify:track:2n48BjaFSczfeIG3HaIaPv","Just You and I","Tom Walker","Just You and I","1","1","174982","spotify:user:sonymusicnl","2019-12-06T11:02:21Z"
"spotify:track:1almCHdsfikRPfVB9VrEdT","Little Do You Know","Alex & Sierra","It's About Us","1","7","185200","spotify:user:sonymusicnl","2019-12-06T11:02:21Z"
"spotify:track:3bH4HzoZZFq8UpZmI2AMgV","New Light","John Mayer","New Light","1","1","216014","spotify:user:sonymusicnl","2019-12-06T11:02:21Z"
"spotify:track:60vvp6UXG2KmLmrNvcVHa8","Lights Down Low","MAX, gnash","Lights Down Low - EP","1","2","225013","spotify:user:sonymusicnl","2019-12-06T11:02:21Z"
"spotify:track:1ArLnG0bHaHPXqf08sEKM0","Consequences - orchestra","Camila Cabello","Consequences (orchestra)","1","1","181913","spotify:user:sonymusicnl","2019-12-06T11:02:21Z"
