﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5LtNBCM2ve0SxP0dlRVvMu","I'm Gonna Show You Crazy","Bebe Rexha","I'm Gonna Show You Crazy","1","1","207775","spotify:user:12166530781","2019-11-18T02:33:09Z"
"spotify:track:7eoKwUoGIQSQLusZiQIvmm","Last Hurrah - Acoustic","Bebe Rexha","Last Hurrah (Acoustic)","1","1","146785","spotify:user:12166530781","2019-11-18T02:33:22Z"
"spotify:track:10WVEHOf1FZf5XgK6dUWvN","Sweet but Psycho - Acoustic","Ava Max","Sweet but Psycho (Acoustic)","1","1","179265","spotify:user:12166530781","2019-11-18T02:33:25Z"
"spotify:track:0qc4QlcCxVTGyShurEv1UU","Post Malone (feat. RANI)","Sam Feldt, RANI","Magnets EP","1","5","174444","spotify:user:12166530781","2019-11-18T02:34:08Z"
"spotify:track:0rIAC4PXANcKmitJfoqmVm","Motivation","Normani","Motivation","1","1","193837","spotify:user:12166530781","2019-11-18T02:34:43Z"
"spotify:track:2IO7yf562c1zLzpanal1DT","Gasoline","Halsey","BADLANDS (Deluxe)","1","13","199593","spotify:user:12166530781","2019-11-18T02:37:12Z"
"spotify:track:04ZTP5KsCypmtCmQg5tH9R","I'm a Mess","Bebe Rexha","Expectations","1","2","195519","spotify:user:12166530781","2019-11-18T02:38:09Z"
"spotify:track:14FmT2vkYihAs64ixAbk6t","Self Control","Bebe Rexha","Expectations","1","7","174506","spotify:user:12166530781","2019-11-18T02:38:48Z"
"spotify:track:3UYiU57SMiAS5LqolhHJw1","Shameless","Camila Cabello","Shameless","1","1","219742","spotify:user:12166530781","2019-11-18T02:38:58Z"
"spotify:track:6kls8cSlUyHW2BUOkDJIZE","Hate Me (with Juice WRLD)","Ellie Goulding, Juice WRLD","Hate Me (with Juice WRLD)","1","1","186223","spotify:user:12166530781","2019-11-18T02:40:16Z"
"spotify:track:0uUNN1nSoUx1A4fkDCWDQ7","So Am I","Ava Max","So Am I","1","1","183026","spotify:user:12166530781","2019-11-18T02:40:49Z"
"spotify:track:5tAa8Uaqr4VvA3693mbIhU","Ruin My Life","Zara Larsson","Ruin My Life","1","1","190931","spotify:user:12166530781","2019-11-18T02:41:08Z"
"spotify:track:5cF0dROlMOK5uNZtivgu50","Attention","Charlie Puth","Voicenotes","1","2","208786","spotify:user:12166530781","2019-11-18T02:44:38Z"
"spotify:track:6EpRaXYhGOB3fj4V2uDkMJ","Strip That Down","Liam Payne, Quavo","Strip That Down","1","1","204502","spotify:user:12166530781","2019-11-18T02:45:50Z"
"spotify:track:5tFMuAw6X2R4NLx97g7n9q","Primadonna","MARINA","Electra Heart (Deluxe)","1","2","221075","spotify:user:12166530781","2019-11-18T02:48:36Z"
"spotify:track:3yZQk5PC52CCmT4ZaTIKvv","This Is Gospel","Panic! At The Disco","Too Weird To Live, Too Rare To Die!","1","1","187186","spotify:user:12166530781","2019-11-18T02:49:06Z"
"spotify:track:0lsRatBUs9HNIZAmoGABzk","Trampoline","SHAED","MELT","1","2","184060","spotify:user:12166530781","2019-11-18T02:49:29Z"
"spotify:track:2bDXmdP23tCK9uj8e2o3ya","Devil In Me","Halsey","hopeless fountain kingdom (Deluxe)","1","15","249239","spotify:user:12166530781","2019-11-18T02:50:37Z"
"spotify:track:7aw8KwSxneW6JQxCrOCag8","Sorry Not Sorry - Acoustic","Demi Lovato","Tell Me You Love Me (Deluxe)","1","14","205546","spotify:user:12166530781","2019-11-18T02:52:16Z"
"spotify:track:2hdy9Wt9qp7M7d0U3ossu2","If U Seek Amy","Britney Spears","Circus (Deluxe Version)","1","6","216520","spotify:user:12166530781","2019-11-18T02:52:24Z"
"spotify:track:3KwwE4sgCzMaKWq6QBebmX","Me Too","Meghan Trainor","Thank You (Deluxe Version)","1","2","181240","spotify:user:12166530781","2019-11-18T02:52:51Z"
"spotify:track:0Mn3amMRMoabaoTf1Publ4","Confident","Demi Lovato","Confident (Deluxe Edition)","1","1","205745","spotify:user:12166530781","2019-11-18T02:53:11Z"
"spotify:track:1NDxZ7cFAo481dtYWdrUnR","Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann, Cheat Codes, CADE","Pretty Girl (Cheat Codes X CADE Remix)","1","1","193613","spotify:user:12166530781","2019-11-18T02:54:32Z"
"spotify:track:0PG9fbaaHFHfre2gUVo7AN","Please Me","Cardi B, Bruno Mars","Please Me","1","1","200889","spotify:user:12166530781","2019-11-18T02:55:49Z"
"spotify:track:3RauEVgRgj1IuWdJ9fDs70","The Man","Taylor Swift","Lover","1","4","190360","spotify:user:12166530781","2019-11-18T02:58:26Z"
"spotify:track:4n7jnSxVLd8QioibtTDBDq","On My Way","Alan Walker, Sabrina Carpenter, Farruko","On My Way","1","1","193797","spotify:user:12166530781","2019-11-18T03:03:39Z"
"spotify:track:2QZR5SJcd0ScAJHncwz8w0","Slut Like You","P!nk","The Truth About Love","1","7","221960","spotify:user:12166530781","2019-11-18T03:06:02Z"
"spotify:track:4VrWlk8IQxevMvERoX08iC","Chandelier","Sia","1000 Forms Of Fear","1","1","216120","spotify:user:12166530781","2019-11-18T03:06:10Z"
"spotify:track:0JNdS1n0ifOP25XvhwAMgM","The Edge Of Glory","Lady Gaga","Born This Way","1","14","320586","spotify:user:12166530781","2019-11-18T03:06:47Z"
"spotify:track:5Q4H1XkVHxQjnrHCUpS61d","Nicotine","Panic! At The Disco","Too Weird To Live, Too Rare To Die!","1","5","186600","spotify:user:12166530781","2019-11-18T03:08:02Z"
"spotify:track:5BB0Jzw60KyfSTyjJqtely","Na Na Na (Na Na Na Na Na Na Na Na Na)","My Chemical Romance","Danger Days: The True Lives of the Fabulous Killjoys","1","2","205960","spotify:user:12166530781","2019-11-18T03:10:16Z"
"spotify:track:5mJw5Sq7p8UWS30JsBgnt0","BO$$","Fifth Harmony","BO$$","1","1","171121","spotify:user:12166530781","2019-11-18T03:10:28Z"
"spotify:track:1g1TeDflB6atAy7HKwrzXu","Learn To Let Go","Kesha","Rainbow","1","6","217546","spotify:user:12166530781","2019-11-18T17:54:02Z"
"spotify:track:45aBsnKRWUzhwbcqOJLwfe","This Is Me","Keala Settle, The Greatest Showman Ensemble","The Greatest Showman (Original Motion Picture Soundtrack)","1","7","234706","spotify:user:12166530781","2019-11-18T17:56:39Z"
"spotify:track:340UVheS8z3ncW9TTUhAbc","Nightmare","Halsey","Nightmare","1","1","231998","spotify:user:12166530781","2019-11-18T17:59:32Z"
"spotify:track:5KawlOMHjWeUjQtnuRs22c","Boy With Luv (feat. Halsey)","BTS, Halsey","MAP OF THE SOUL : PERSONA","1","2","229773","spotify:user:12166530781","2019-11-18T18:03:29Z"
"spotify:track:0i0wnv9UoFdZ5MfuFGQzMy","Last Hurrah","Bebe Rexha","Last Hurrah","1","1","150333","spotify:user:12166530781","2019-11-19T00:29:32Z"
"spotify:track:4ylWMuGbMXNDgDd8lErEle","The Greatest Show","Hugh Jackman, Keala Settle, Zac Efron, Zendaya, The Greatest Showman Ensemble","The Greatest Showman (Original Motion Picture Soundtrack)","1","1","302146","spotify:user:12166530781","2019-11-22T19:10:15Z"
"spotify:track:6zegtH6XXd2PDPLvy1Y0n2","Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande, Miley Cyrus, Lana Del Rey","Charlie's Angels (Original Motion Picture Soundtrack)","1","3","190066","spotify:user:12166530781","2019-11-22T22:57:39Z"
"spotify:track:2cKovq3l6OJjhVVDbVKOsr","The Other Side","Hugh Jackman, Zac Efron","The Greatest Showman (Original Motion Picture Soundtrack)","1","5","214373","spotify:user:12166530781","2019-11-22T22:58:02Z"
"spotify:track:0rRjGruFonCGOt0S5zAJNQ","The Other Side Of Paradise","Glass Animals","How To Be A Human Being","1","8","320654","spotify:user:12166530781","2019-11-25T22:09:53Z"
"spotify:track:4yI3HpbSFSgFZtJP2kDe5m","Look At Her Now","Selena Gomez","Look At Her Now","1","1","162595","spotify:user:12166530781","2019-11-25T22:10:41Z"
"spotify:track:2WyRfGeHo97VC5mP1BBSzr","Mother's Daughter","Miley Cyrus","SHE IS COMING","1","1","219080","spotify:user:12166530781","2019-11-26T04:23:01Z"
"spotify:track:7xAdO0zdl7lGf0ecg4IGhQ","Fire N Gold","Bea Miller","Not An Apology","1","2","211573","spotify:user:12166530781","2019-11-26T04:23:08Z"
"spotify:track:3Ex5RFJRUdpHcDOLXJOVLy","Raising Hell (feat. Big Freedia)","Kesha, Big Freedia","Raising Hell (feat. Big Freedia)","1","1","169680","spotify:user:12166530781","2019-11-26T04:46:28Z"
"spotify:track:2tOOcDDYkh0PSjr6GwPEAJ","Love Me Less (feat. Quinn XCII)","MAX, Quinn XCII","Love Me Less (feat. Quinn XCII)","1","1","177669","spotify:user:12166530781","2019-12-06T14:45:48Z"
