﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4tNXntkAzQ5A2dfYRYGIIQ","Easier","5 Seconds of Summer","Easier","1","1","157492","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:6LsAAHotRLMOHfCsSfYCsz","If I Can't Have You","Shawn Mendes","If I Can't Have You","1","1","190800","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:4y3OI86AEP6PQoDE6olYhO","Sucker","Jonas Brothers","Sucker","1","1","181040","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:7COXchtUOMd6uIT6HvmRaI","i'm so tired...","Lauv, Troye Sivan","i'm so tired...","1","1","162582","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:4MsUsFfWseB9M2plGJyuIw","ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift, Brendon Urie, Panic! At The Disco","ME! (feat. Brendon Urie of Panic! At The Disco)","1","1","193040","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:5QiNbIilmMiMBXvaAlf7lN","Who Do You Love","The Chainsmokers, 5 Seconds of Summer","World War Joy...Do You Mean","1","3","226746","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:5p7ujcrUXASCNwRaWNHR1C","Without Me","Halsey","Without Me","1","1","201660","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:5JEx7HbmvHQQswJCsoo9rA","Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding, Diplo, Swae Lee","Close To Me (feat. Swae Lee)","1","1","182623","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:322tcqPhma7F6hfCeLisx0","fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”","Lauv, Anne-Marie","fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)","1","1","198973","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:04ZTP5KsCypmtCmQg5tH9R","I'm a Mess","Bebe Rexha","Expectations","1","2","195519","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:5PYQUBXc7NYeI1obMKSJK0","Never Really Over","Katy Perry","Never Really Over","1","1","223523","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:5Uw7Dut2lZfexn3Y09swpf","Find U Again (feat. Camila Cabello)","Mark Ronson, Camila Cabello","Late Night Feelings","1","3","176416","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:6RRNNciQGZEXnqk8SQ9yv5","You Need To Calm Down","Taylor Swift","Lover","1","14","171360","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:4NBTZtAt1F13VvlSKe6KTl","This Feeling","The Chainsmokers, Kelsea Ballerini","Sick Boy","1","1","197946","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:2iUXsYOEPhVqEBwsqP70rE","Youngblood","5 Seconds of Summer","Youngblood (Deluxe)","1","1","203417","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:6kls8cSlUyHW2BUOkDJIZE","Hate Me (with Juice WRLD)","Ellie Goulding, Juice WRLD","Hate Me (with Juice WRLD)","1","1","186223","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:2BgEsaKNfHUdlh97KmvFyo","2002","Anne-Marie","Speak Your Mind (Deluxe)","1","10","186986","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:1wjzFQodRWrPcQ0AnYnvQ9","I Like Me Better","Lauv","I Like Me Better","1","1","197436","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:1SNiXDwSilLujcYdvfqVpT","Call You Mine","The Chainsmokers, Bebe Rexha","World War Joy...Takeaway","1","2","217653","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:0Ryd8975WihbObpp5cPW1t","boyfriend (with Social House)","Ariana Grande, Social House","boyfriend","1","1","186106","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:4hQ6UGyWQIGJmHSo0J88JW","Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez","Back To You (From 13 Reasons Why – Season 2 Soundtrack)","1","1","207904","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:222B3aljXx6fFwKmFjuBED","Woman Like Me (feat. Nicki Minaj)","Little Mix, Nicki Minaj","LM5 (Deluxe)","1","2","229720","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:5icOoE6VgqFKohjWWNp0Ac","Here With Me","Marshmello, CHVRCHES","Here With Me","1","1","156346","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:2hnxrRNzF74mdDzpQZQukQ","There's No Way (feat. Julia Michaels)","Lauv, Julia Michaels","There's No Way (feat. Julia Michaels)","1","1","174860","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:4kV4N9D1iKVxx1KLvtTpjS","break up with your girlfriend, i'm bored","Ariana Grande","thank u, next","1","12","190440","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:5KawlOMHjWeUjQtnuRs22c","Boy With Luv (feat. Halsey)","BTS, Halsey","MAP OF THE SOUL : PERSONA","1","2","229773","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:7njKgVl3AnLflRad38o7AG","Paradise","Bazzi","Paradise","1","1","169038","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:630sXRhIcfwr2e4RdNtjKN","Rewrite The Stars","Zac Efron, Zendaya","Rewrite The Stars","1","1","217440","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:5AEtlRudpgdT5FtNiuly6Y","Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld, Alesso, Florida Georgia Line, watt","Let Me Go (with Alesso, Florida Georgia Line & watt)","1","1","174800","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:2rPE9A1vEgShuZxxzR2tZH","thank u, next","Ariana Grande","thank u, next","1","1","207333","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:0d2iYfpKoM0QCKvcLCkBao","Eastside (with Halsey & Khalid)","benny blanco, Halsey, Khalid","Eastside (with Halsey & Khalid)","1","1","173799","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:4VUwkH455At9kENOfzTqmF","Beautiful (feat. Camila Cabello)","Bazzi, Camila Cabello","Beautiful (feat. Camila Cabello)","1","1","180000","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:25sgk305KZfyuqVBQIahim","Sweet but Psycho","Ava Max","Sweet but Psycho","1","1","187436","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:2dpaYNEQHiRxtZbfNsse99","Happier","Marshmello, Bastille","Happier","1","1","214289","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:14msK75pk3pA33pzPVNtBF","7 rings","Ariana Grande","7 rings","1","1","178640","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:2ARqIya5NAuvFVHSN3bL0m","The Middle","Zedd, Maren Morris, Grey","The Middle","1","1","184732","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:2qxmye6gAegTMjLKEBoR3d","Let Me Down Slowly","Alec Benjamin","Narrated For You","1","4","169353","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:0mjAU3yKR1QnXnHtjGJqTM","Rescue Me","OneRepublic","Rescue Me","1","1","158899","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:3HVWdVOQ0ZA45FuZGSfvns","I Don't Care (with Justin Bieber)","Ed Sheeran, Justin Bieber","I Don't Care (with Justin Bieber)","1","1","219946","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:0EGuSSpuu9wmHCtvb4PdLO","Sit Still, Look Pretty","Daya","Sit Still, Look Pretty","1","8","202221","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:1rqqCSm0Qe4I9rUvWncaom","High Hopes","Panic! At The Disco","Pray for the Wicked","1","4","190946","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:18uwL0vNUanqZH0ro2QcOP","comethru","Jeremy Zucker","summer,","1","1","181613","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:314ZkcV7oLWG8yWE7LABvH","Make It Right (feat. Lauv)","BTS, Lauv","Make It Right (feat. Lauv)","1","1","226321","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:39IsH7B5byx8NRlEKlZVg9","Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann, CADE, Cheat Codes","Pretty Girl (Cheat Codes X CADE Remix)","1","1","193613","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:5kfNriitmkNE8mUbZ7gbq8","Saturday Nights","Khalid","Suncity","1","3","210666","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:44ADyYoY5liaRa3EOAl4uf","Slide Away","Miley Cyrus","Slide Away","1","1","233654","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:5qmq61DAAOUaW8AUo8xKhh","Truth Hurts","Lizzo","Cuz I Love You (Deluxe)","1","13","173325","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:0TK2YIli7K1leLovkQiNik","Señorita","Shawn Mendes, Camila Cabello","Señorita","1","1","190960","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:1dGr1c8CrMLDpV6mPbImSI","Lover","Taylor Swift","Lover","1","3","221306","spotify:user:","2019-11-27T07:40:26Z"
"spotify:track:6TqXcAFInzjp0bODyvrWEq","Talk (feat. Disclosure)","Khalid, Disclosure","Free Spirit","1","5","197573","spotify:user:","2019-11-27T07:40:26Z"
