﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5lXY6PTuWXOludKy4zDQwM","On My Mind","Diplo, SIDEPIECE","On My Mind","1","1","312100","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:4TIkSdsNSfqpuq6ZYvCjAz","All You Need To Know (feat. Calle Lehmann)","Gryffin, SLANDER, Calle Lehmann","Gravity","1","2","238337","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:23FHa9lYnG6Dr8OzombPkS","Roots","Valerie Broussard, Galantis","Roots","1","1","184563","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:7pWK1kMgHy5lNNiIfuRbkP","Used To Love (with Dean Lewis)","Martin Garrix, Dean Lewis","Used To Love (with Dean Lewis)","1","1","236764","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6m8SIT10j41SPpPFOknTmP","Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix]","ILLENIUM, Jon Bellion, Tiësto","Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix]","1","1","247384","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6fenHIxXuuzKB55wY4WCHP","God Is A Dancer (with Mabel)","Tiësto, Mabel","God Is A Dancer (with Mabel)","1","1","168125","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5OjDZNHerI7RrIHFJajOMD","Too Good","Breathe Carolina","Too Good","1","1","132000","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6hciDCyJDYCsYQp2lH6kdA","Need Your Love (with Noah Kahan)","Gryffin, Seven Lions, Noah Kahan","Gravity","1","3","205786","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6b1RNvAcJjQH73eZO4BLAB","Post Malone (feat. RANI) - GATTÜSO Remix","Sam Feldt, RANI, GATTÜSO","Post Malone (feat. RANI) [GATTÜSO Remix]","1","1","207619","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:7Ga9ZSdPAcQXQvd1ObVFpm","Holy Water","Galantis","Holy Water","1","1","176657","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:3M9Apu4OZfylLTFKvgEtKa","Ritual","Tiësto, Jonas Blue, Rita Ora","Ritual","1","1","198995","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6TnxdnJcZIwCWiCHq5Qds0","Wish You Well (with Sigala)","Sigala, Becky Hill","Get To Know","1","3","206440","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:3DVc4VCjFaBAZF9OFquQqV","Takeaway - Sondr Remix","The Chainsmokers, ILLENIUM, Lennon Stella, Sondr","Takeaway - The Remixes","1","2","214546","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:2V4v17hRk3bmybHvf3i56Q","Drive","Breathe Carolina","Drive","1","1","209000","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5tuOGRYPjh5lV6M5zbNRNH","Let Me Take You There (feat. Laura White)","Max Styler, Laura White","Let Me Take You There (feat. Laura White)","1","1","217741","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:35MKhw2YBKApmD7fAnPERC","Faith (with Dolly Parton) [feat. Mr. Probz]","Galantis, Dolly Parton, Mr. Probz","Faith (with Dolly Parton) [feat. Mr. Probz]","1","1","186804","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:3K4ywyPCdpF9evoL7Z3z1b","Deep End (feat. JHart) - Eden Prince Remix","KREAM, JHart, Eden Prince","Deep End (feat. JHart) [Eden Prince Remix]","1","1","208095","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6H4Z4Sl0QYihizCTPzhEZm","Sparking My Fire (feat. ROE)","SACHI, ROE","Sparking My Fire","1","1","186213","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1ysP0xeOMwpdaPvYbZtBN5","When In Rome","GATTÜSO, Damon Sharpe","When In Rome","1","1","194767","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6qLkMLUIkdtX34gHF9sPFL","After Hours","M-22, Kiara Nelson","After Hours","1","1","164975","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:517cAnPxsaxfrkKHHY41wB","Buzzing (with Nevve)","Audien, Nevve","Escapism","1","4","225000","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:4fC6tDEFmSBBCRBUOPeQ8b","Think About You - Galantis Remix","Kygo, Valerie Broussard, Galantis","Think About You (Galantis Remix)","1","1","181040","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:3R57ncBBnLa5ZdLRGRCKIi","Anything For You - Feenixpawl Remix","VAVO, ZHIKO, Feenixpawl","Anything For You (Feenixpawl Remix)","1","1","177096","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:10mj6Sfw7Z92r9QTrloAth","I'm Not Alright - EDX's Dubai Skyline Remix","Loud Luxury, Bryce Vine, EDX","I'm Not Alright (EDX's Dubai Skyline Remix)","1","1","167548","spotify:user:","2019-12-13T05:01:00Z"
