﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1ZHlELWMEnvzQuDQ56yMbn","quimera","Alba Reche","quimera","1","1","188344","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:5p8aLb65katZapQGbdY3EC","Luna del Desierto","Benjamin Walker, Alejandro y Maria Laura","Luna del Desierto","1","1","175000","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:35wviPDAYOlywVhisEltOW","Te Vas","Pantoja","Te Vas","1","1","194290","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:3Cxbn6kSKGPCj4FkWnCOyV","Dosextraños","Jeudy García","Dosextraños","1","1","227244","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:748Vnqa1Rpwteiarxartiz","Sonreír","KURT, Alex Ferreira","Sonreír","1","1","211480","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:0hxLZ5TH12Rzhj5NkiF9Rp","aura","Alba Reche","quimera","1","4","264368","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:6ZlOpaCZ9sGQBBycGHoszP","Siento","Rehlaender","Siento","1","1","225106","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:0DZ4xLQepxkoqOi8b8ROJv","Que Me Lleve el Mar - Versión Acústica","Benjamin Walker, El David Aguilar","Que Me Lleve el Mar (Versión Acústica)","1","1","254605","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:7zH4rnKKGm5vACoSEXBEDe","nana triste","Natalia Lacunza, Guitarricadelafuente","nana triste","1","1","187016","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:1rytrTNO2Eadka8ucjgneZ","El Dolor es un Momento","( Me Llamo ) Sebastián, Martín Berríos, Max Munizaga","El Dolor es un Momento. El Valor. Es la Fogata","1","1","198872","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:6QOuVLPjLsYdfuvJw8lssg","Reflejo de Mi Ser","Daniel Dennis","Reflejo de Mi Ser","1","1","254722","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:5lC9KyKHkZBbXVNL6Z7Fe5","Spoiler","Diego Lorenzini","De Algo Hay Que Morir","1","1","201354","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:539maB4zDXFXO1Ddv5FAp3","Vas a Encontrar Alguien Mejor","Julio y Agosto, Jorge Serrano","Deja Lo Malo Atrás: Capítulo 3","1","1","248268","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:0WLCWZerdoOZiminQpmHf0","Incendio","Martín Berríos","Incendio","1","1","285792","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:46lKF7Q9AUWeQEHM9XuEGe","Solo Mía","Alex Cuba, Leonel García","Sublime","1","8","255669","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:3OGv1d1h1fK8NeFbH554gN","Tomando Forma","Tomás del Real","Tomando Forma","1","3","242600","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:0rmMciOccq9HDXeKOfkABd","Sola","Jessie Reyez","Sola","1","1","209573","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:4TcvfVRQ6ik01MLPBtYzgq","Almendra","Astrotonio","Almendra","1","1","231548","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:6sYfD5if57jFQTw2pbWgga","El Plan","Pantoja","El Plan","1","1","195672","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:0OGwGIp2WLU3jOC2xRq3id","Guantanamera","Guitarricadelafuente","Guantanamera","1","1","191702","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:1F51u77jFLv9pu8vzpsrxI","Anhelos","Dawn Avenue","Anhelos","1","1","222474","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:1tQFaamJXTXAjsPaB6wIP8","Somos Amigos (Solo Te Quiero para Que Juegues Conmigo)","Mi Sobrino Memo","Somos Amigos (Solo Te Quiero para Que Juegues Conmigo)","1","1","257147","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:2H8kcmrxRbaiFOPT2jO06g","Mi Saco","Los Rumberos","Mi Saco","1","1","193746","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:0wELzsHOsEKWTuioQ96HsT","Gotas","Tomás del Real","Tomando Forma","1","5","256500","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:2vYnrUzOT6b47WHQtlpZGJ","Como Los Gatos en la Calle","Sebastián .Otero","Como Los Gatos en la Calle","1","1","248032","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:2TzkIzgzIHhewMxyh1u4hh","Vámonos a Marte","Kevin Kaarl","Hasta el Fin Del Mundo","1","2","179094","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:6Tnfm32OzigKk5vnc3ny3S","Cuando Tú Apareces","Miguel Dantart","Cuando Tú Apareces","1","1","208421","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:4SgK50EhkCOt3kqOEGximC","Bajo el Agua","Pablo Neptuno","Bajo el Agua","1","1","160904","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:4urE4ykZ2LgciFhbsJdr7u","Apuesto","Alejandro Martinez","Usted Está Aquí","1","1","251320","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:5gNIp69h35QFolrSLpUUEE","El Valor","( Me Llamo ) Sebastián, Max Munizaga, Martín Berríos","El Valor","1","1","249126","spotify:user:","2019-12-11T20:00:29Z"
"spotify:track:1KIt07Xn6PVFVEyQnwCyCt","Vete","Kevin Kaarl","San Lucas","1","1","123000","spotify:user:","2019-12-11T20:00:29Z"
