﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3AghI4HcasKVSNnk17ptqU","Drink About Me","Brett Kissel","Drink About Me","1","1","191120","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:5ZcGhTRoqRvN5RoWW1MRg3","Man Enough Now - Radio Edit","Chris Bandi","Man Enough Now","1","2","184506","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:7EwqgVclB4d5sosUReAInr","Somebody Like That","Tenille Arts","Somebody Like That","1","1","198208","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:5FmvaZGd6fulojSToozLRD","One Beer (HARDY feat. Lauren Alaina, Devin Dawson)","HIXTAPE, HARDY, Lauren Alaina, Devin Dawson","HIXTAPE: Vol. 1","1","10","173173","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:6ZU30kIHamg5oiQm4gQQ3A","Getting Good","Lauren Alaina","Getting Good","1","1","201480","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:2ireMa9phae6K22vWe6ysf","Down on My Window","Ray Fulcher","Down on My Window","1","1","172625","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:4zLh511JiWkVxr5QOUkeVR","What I See","LANCO","Lessons Learned","1","1","229686","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:1xvW3Gg32aju1FQ5iifiGV","My First Beer","Troy Cartwright","My First Beer","1","1","199066","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:6aD6RE4VmWQyo9ytCJio0w","I Dream in Southern","Kaleb Lee, Kelly Clarkson","I Dream in Southern","1","1","224131","spotify:user:","2019-12-13T23:06:38Z"
"spotify:episode:1evA8Wbi5rG4vGDmbdwTEc","Morgan Evans - Diamonds","Morgan Evans - Diamonds","Morgan Evans - Diamonds","0","0","173600","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:45u6AHUadot6PPykL9Tmhl","Give Me Tonight","Brad Cox","Give Me Tonight","1","1","220176","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:3fl0VAVXg8iuqugnA9c7is","As Good As You Look","Christina Taylor, Brett Kissel","As Good As You Look","1","1","198613","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:3JYPKPQYxpHrp8YWYOF4v2","Timeless","Dallas Smith","The Fall","1","2","169053","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:6sSIXQd3n7Yvhjz9sJDCAN","Ghost","Ray Fulcher","Ghost","1","1","214165","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:2R4XnAFX66OTlH5fV0GnxN","State I'm In","Levi Hummon","State I'm In","1","1","172198","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:1ZHWO6q1J88f9WrRJbPupM","Diamonds","Morgan Evans","Diamonds","1","1","172346","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:5G01t1U46dv9Ue7mhMt7vS","Heartbeat Of A Small Town","Travis Denning","Heartbeat Of A Small Town","1","1","201213","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:5peKbOjcAqDij7MrXqSBxm","To Get to You (feat. Jess Moskaluke)","Gord Bamford, Jess Moskaluke","To Get To You (feat. Jess Moskaluke)","1","1","186210","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:4OiWY1iP3ubFIOra8LMlOp","100 Proof","Holly Beth","100 Proof","1","1","218424","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:0p16vTKfS8UpdZJqfaKMCB","Like I Knew You Would","Payton Smith","Payton Smith","1","3","182235","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:5xj66JxQtDqdTttcU3sStw","Climate Change","Cooper Alan","Climate Change","1","1","206146","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:0Z59bs7H2ibAzIoApGzN7p","Busy","Filmore","Busy","1","1","202821","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:1Qaeu4Gx4L2RshOnv4HSUa","The Good Ones","Tebey, Marie-Mai","The Good Ones","1","1","224074","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:3x32B5N5uXD19LMICppOfw","Long Comes a Girl","Tyler Booth","Long Comes a Girl","1","1","203678","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:5M8goiFYynmNxhueYW6grR","Nobody But You (Duet with Gwen Stefani)","Blake Shelton, Gwen Stefani","Fully Loaded: God's Country","1","3","194866","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:7wmCQ3tYnjfk03VuVrsgzr","Trouble Town","Jordan Davis","Trouble Town","1","1","184174","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:69RZJGfxX65CyLcVQ7xQVT","London","Filmore","London","1","1","163856","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:3cxO7LSsDe8gwqdzSTxdON","Gold To Glitter","Clare Dunn","Gold To Glitter","1","1","230280","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:6YJY9l59OBxy3UKSeplf2q","Stay Over","Jackson Michelson","Stay Over","1","1","183813","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:2ao6FpQOr2pdDZmGWssXE3","Thank God For You","Rodney Atkins","Caught Up In The Country","1","4","214913","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:4wJBJ0RoSkm0v4ovQzug32","Done","Chris Janson","Done","1","1","220120","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:6cqxDqWwB9o3j3eHMSV2mA","Different 'Round Here","Riley Green","Different 'Round Here","1","2","183333","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:277YJPrwcN4a1W3xaP06T0","Bachelorettes on Broadway","Willie Jones","Bachelorettes on Broadway","1","1","208405","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:3m7eTcwnN3b11A2AkOj6kb","Money's All Gone","Clare Dunn","Money's All Gone","1","1","220133","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:4Ktt7KjXrAKvJ8OkarXhaU","Another Man's Treasure","Josh Melton","Another Man's Treasure","1","1","194466","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:0Kt2cOpCmKN2D9mG8Fw2ce","Other Girl","Filmore","Other Girl","1","1","195646","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:0lL4pkjDSIdMe9529uQ2wU","Damn Strait","Adam Sanders","Damn Strait","1","1","170466","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:3wFjfPZvWk3ciIXXrL73zj","Life Ain't Fair","Canaan Smith","Life Ain't Fair","1","1","181309","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:7LzacV6krDCVfwXcGJRU0X","Lied About Love","Larry Fleet","Lied About Love","1","1","179258","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:2s8v5s2gACbha43QaBHcR5","What Feelin' Good Feels Like","Trea Landon","What Feelin' Good Feels Like","1","1","169021","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:6U4S5Fcy4sNgYnKPh6LLdh","These Days","MacKenzie Porter","These Days","1","1","172754","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:5WyqIlRObmErasLN8MAXFS","One Night Standards","Ashley McBryde","One Night Standards","1","1","190973","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:45lEsZdFY1XOGAvLJi9QFp","Distance","Christie Huff","Distance","1","1","238570","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:0fA2FyWWf8FjI4NwaKlE21","Nothin’ Out Here (HARDY feat. Thomas Rhett)","HIXTAPE, HARDY, Thomas Rhett","Nothin’ Out Here (HARDY feat. Thomas Rhett)","1","1","214600","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:7GZSNz5KyP8huQdJpBPSkk","Close","John King","Close","1","1","199132","spotify:user:","2019-12-13T23:06:38Z"
"spotify:track:1VZNOKrYekJeCBKABz4swv","That's Why I Love Dirt Roads","Granger Smith","That's Why I Love Dirt Roads","1","1","218542","spotify:user:","2019-12-13T23:06:38Z"
