﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3NDZCDGsNaHBCIHDTA562M","Feel Alive","Suicide Silence","Feel Alive","1","1","209731","spotify:user:","2019-12-13T10:48:25Z"
"spotify:track:4PXEvraUYXAvDXH3SAXTp4","Carnivore","Body Count","Carnivore","1","1","193073","spotify:user:","2019-12-13T10:48:25Z"
"spotify:track:4oMHX1w7LEbhIwz9YTosEa","Heaven Gets What It Wants","Jasta, Howard Jones","The Lost Chapters, Vol. 2","1","7","255496","spotify:user:","2019-12-13T10:48:25Z"
"spotify:track:4Htt3QaBWdLggq88rJI5MU","Inside Out","Five Finger Death Punch","Inside Out","1","1","226348","spotify:user:","2019-12-13T10:48:25Z"
"spotify:track:3QmT40QBlxr4n5AxhOSxkf","Diabolic","Demons & Wizards","Diabolic","1","1","481125","spotify:user:","2019-12-13T10:48:25Z"
"spotify:track:4h4wVNsKtfV3EAaIuYdAin","Under the Scalpel Blade","Carcass","Under the Scalpel Blade","1","1","234895","spotify:user:","2019-12-13T10:48:25Z"
"spotify:track:6wHZbjc6EiEL2guFMKuyCZ","Stridig","Ihsahn","Stridig","1","1","331666","spotify:user:","2019-12-13T10:48:25Z"
"spotify:track:2S9vwztrbTtQzplp0y2QBQ","FAKERS PLAGUE","While She Sleeps","FAKERS PLAGUE","1","1","353805","spotify:user:","2019-12-13T10:48:25Z"
"spotify:track:0upqZcB5Dq5xeIgYWol8Z4","Fall to Ascend","Sons Of Apollo","Fall to Ascend","1","1","306613","spotify:user:","2019-12-13T10:48:25Z"
"spotify:track:4MbJlBkNTEXGJ0sL8U5ABN","Armed To The Teeth","Annihilator","Armed To The Teeth","1","1","266014","spotify:user:","2019-12-13T10:48:25Z"
"spotify:track:6Limlq29b8C9GxABDC4iaw","En Route To Mayhem","Apocalyptica","En Route To Mayhem","1","1","328148","spotify:user:","2019-12-13T10:48:25Z"
"spotify:track:6seM27tkVi4mpADMxar5iL","Obsidian","Viscera","Obsidian","1","1","291923","spotify:user:","2019-12-13T10:48:25Z"
"spotify:track:4D5BlpjxKizIVhc81nmyUR","Torchbearer","Neaera","Torchbearer","1","1","242693","spotify:user:","2019-12-13T10:48:25Z"
"spotify:track:4TgpMwyBwhJvQlcMu9Nkyc","Unseen","Our Mirage","Unseen","1","1","211232","spotify:user:","2019-12-13T10:48:25Z"
"spotify:track:5VDf73Ydlabw60whLjZtVK","Jägermeister","Korpiklaani","Jägermeister","1","1","105952","spotify:user:","2019-12-13T10:48:25Z"
"spotify:track:477Vaa5czrnd9xB5lD4FZ2","Summiteer","Watch Out Stampede","Northern Lights","1","10","191250","spotify:user:","2019-12-13T10:48:25Z"
"spotify:track:14EXZEog1hW97d6yz8ejih","The End of All We Know","Bleed From Within","The End of All We Know","1","1","251512","spotify:user:","2019-12-13T10:48:25Z"
