﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5M8goiFYynmNxhueYW6grR","Nobody But You (Duet with Gwen Stefani)","Blake Shelton, Gwen Stefani","Fully Loaded: God's Country","1","3","194866","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5PAvFGse5jjDH9ke8Mae7D","Just the Way","Parmalee, Blanco Brown","Just the Way","1","1","193880","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:0Z59bs7H2ibAzIoApGzN7p","Busy","Filmore","Busy","1","1","202821","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1C0mdTiVLxRfsBrIhlPQQC","Neon Fools","Adam Doleac","Neon Fools","1","1","195186","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5XIUXGs8ElEYa89uXkDTPX","Nothing to See Here","Caroline Watkins","Nothing to See Here","1","1","206926","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5YDYfsQaxg2GI2Ll494HNQ","Wonderful Tonight","Ronnie Dunn","Wonderful Tonight","1","1","217253","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:0eN5Bggm6aIjTHKCHLKAWw","Burn It At Both Ends","Randall King","Burn It At Both Ends","1","1","184929","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:0qE1JogdOelWzo6qeDwkr2","Nothing to See Here","Tenille Arts","Nothing to See Here","1","1","197725","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:13qqDRfbN9j7OjnUstKJWI","Black Sheep","Maddie Wilson","Black Sheep","1","1","219011","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:7lzmBLvFqqYuS0LIGSZMxh","Better Off","Cory Marks","Better Off","1","1","197465","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6VXWvcI9ZWgd9szNghBQSf","Threes","Kevin McGuire","Threes","1","1","214885","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:70oYaaMrH3s7Kilq1J2eO5","What Goes Around","Brooklyn Roebuck","What Goes Around","1","1","197282","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:47f6eZgviwSZciXGv2iWYg","Hey Boy, Hey Girl","Upchurch, Katie Noel","Hey Boy, Hey Girl","1","1","200785","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5slMqlJrhw0SMywEXacW7y","Then There's Me","Martin McDaniel","Then There's Me","1","6","206026","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1IqqMdQYJ9ly0slOGEcDgI","Jacksonville to Jackson Hole","The Wild Feathers","Jacksonville to Jackson Hole","1","1","224306","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:3IC3qYfDCnROsI0amI2GT2","Name It","Barrett Baber","Name It","1","1","195338","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6AdX1CX8pssIubvJa556Wy","Kissing Me Back","Chris Ruediger","Kissing Me Back","1","1","203631","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5SoqIPNamYsVMktFaTTJIg","Tonight I'm Drinkin' Whiskey","Dustin Huff","Tonight I'm Drinkin' Whiskey","1","1","223816","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:4zImC3sBzrcF7ZdlB1pvjV","Steady","Dozzi","Worth the Wait","1","5","163125","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6eBtzacde2eDx5lY1zObyf","Cooler Than Me","Abby Christo","Cooler Than Me","1","1","176814","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:05iwh3jYsKsdclt49QLB50","When Baby Gets a Buzz","Carlton Anderson","When Baby Gets a Buzz","1","1","169040","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:0FK0EbFGiQuCDfLKzZ4fCv","Just Like You","Garrett Jacobs","Just Like You","1","1","182864","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:4SVlZmpq4Yjp6Ep4zHzyu5","Home in This Town","Kenton Bryant","Home in This Town","1","1","193124","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1Fwy0zfQqheLFdXxvCCgBX","If I'm Being Honest","Josh Kerr","How Do You Remember Me","1","5","240066","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:4K4244yiYAAKw80H4G2A9f","Carhartt Coat","Jared Hicks","Carhartt Coat","1","1","221802","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1iOPinYV7jx1RGLy6R04g4","Drinking All Weekend","Blackjack Billy, Tim Hicks","Drinking All Weekend","1","1","157280","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:3x32B5N5uXD19LMICppOfw","Long Comes a Girl","Tyler Booth","Long Comes a Girl","1","1","203678","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:7dscPUS9SjcKIhv8uxOZjt","If We Were a Song","Eric Dodd","If We Were a Song","1","1","196398","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1RV5rBj7mabKeAzB5zf27r","Divide","Sarah Darling, Ward Thomas","Divide","1","1","221255","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:4P7DkvPxk2XfmAiKTn4wlW","See You That Way","Ian McConnell","See You That Way","1","1","179220","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:4rbv7Dh8jcDh3p51ckZa4H","Mama","Sierra Annie Band","Mama","1","1","231028","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:7maDqkC3MF3UWDrG0qckFH","Keep Coming Back","Brennley Brown","Keep Coming Back","1","1","221316","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5PNwyP5hQHfyWetQL4gUuP","Weekday Drunk","Jake Rose","Weekday Drunk","1","1","170280","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:3ucClVYkuh3PojCTDNmA7b","Nothin' but the TV On","Lewis Brice","Nothin' but the TV On","1","1","164704","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:4M5Nm3WvvPv3gOmsOsB8h6","Good Shit","Robyn Ottolini","Good Shit","1","1","185866","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1Hyzy3LJaoVJfrcXV3BWKs","I Wish (It Didn't End Like This)","Bailey Tomkinson","I Wish (It Didn't End Like This)","1","1","196923","spotify:user:","2019-12-13T05:01:00Z"
