﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0v9zEZ8aSie2wi2V8YGkE0","Grim","The Blue Stones","Grim","1","1","302943","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:0hmxVkpxbcdHAXUoZ7DeCQ","Did My Best","The Voidz","Did My Best","1","1","296938","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:3QumeiFL8AfAFNZspo5Xsi","SUNNY","Ocean Grove","SUNNY","1","1","180444","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:4o48EHVTIDb3PS0EIQ5l7A","Come Thru","Zero 9:36, No Love For The Middle Child","Come Thru","1","1","177227","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:5Gj1slVXoP5wjZMP9Ny4iM","Running Through The Flames","Bleeker","Running Through The Flames","1","1","169427","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:0nOLvRmUDmpX5VHUtq71Ck","Barcelona","Twin Atlantic","Barcelona","1","1","275960","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:7vGVIxCnaKk3UidSgDd8Vp","Fvck Somebody","The Wrecks","Fvck Somebody","1","1","181267","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:3ernkvxpkWap60SeadSqGL","Cash Machine","Oliver Tree","Cash Machine","1","1","177625","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:03wM0Qtzgm6uwvvjFVM7RK","Flies In The Honey","BRKN LOVE","Flies In The Honey","1","1","186586","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:6xC23WizqcEYQxuPiS9fCb","Scream","SAINT PHNX","Scream","1","1","205905","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:7y19btB4uQgPHqnqwdIRtj","Sugar","Witterquick","Sugar","1","1","214214","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:2Y9hA95SSeysUVdHuxvrXl","Velvet Clouds","Oddnote","Velvet Clouds","1","1","156502","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:3EXpkY9f2BYVHqtH1FMlLd","Dark Inside","Lowborn","Dark Inside","1","1","194155","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:53cQ4KT04WJCaFHZxoYdHH","You Know That","No Love For The Middle Child","You Know That","1","1","162000","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:0xVAczAoamCuTdRSPysrj1","Black Angel","Alffa","Rhyddid o'r Cysgodion Gwenwynig / Freedom from the Poisonous Shadows","1","8","190175","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:1GimywxURsgAQHndRPToYj","VANDALS","FEVER 333","VANDALS","1","1","177654","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:6Iq50N2vZ1z7XReCVV3G4B","Blow Me","The Used, Jason Aalon Butler","Blow Me","1","1","200765","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:0NflwidhwbOHB9tBesSQrx","Massacre, The New American Dream","Palaye Royale","Massacre, The New American Dream","1","1","185870","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:5OJXavcivnEb2cAXJEWc33","Give me the Night","Des Rocs","Martyr Parade","1","5","220024","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:1APYVaHHRwwTOZighMsgro","Honda Civic - Work Tape","Armors","Honda Civic - Work Tape","1","1","151810","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:6TeB7j56k4AbELOl3G4zfj","Someone You Loved","Our Last Night, I See Stars, The Word Alive, Ashland","Someone You Loved","1","1","181695","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:55OVm2ZfT6oj0WdN64tSws","What You're Made Of","Arrested Youth","Sobville (Episode I)","1","3","188165","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:1QnXmTm1Q6UgUADVjsqpFD","Run/Hide","VUKOVI","Run/Hide","1","1","204840","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:7xMUvEqBXKrgJyJrx0td5M","Craigslist Personals","WRENN","Craigslist Personals","1","1","209797","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:3yxtsBzVlDBzRoBhHS3TpK","Happy Pill","grandson, Moby Rich","Happy Pill","1","1","163892","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:7rbUjxWedARjXTNqZjjccc","Kiss Like the Sun","Jake Bugg","Kiss Like the Sun","1","1","175730","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:59emGJDCTWRSBcMEG9M29f","Rich","Mourners","Rich","1","1","190212","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:2V2rzjBmsPKxu5bhof17mI","Promise","No Love For The Middle Child","Promise","1","1","170721","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:23S7CVkeHD7EtD6Y5AacCF","DRUGS","JUMEX","LOVER","1","5","195724","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:7L3KXYsRxBFmryl1J85xUN","Looking for a Gold Heart","GRMLN","For the Underdogs","1","3","150960","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:69IosokH54HzpJZoFIIy74","A Kiss","The Driver Era","A Kiss / Forever Always","1","1","271854","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:2JO9ilwQVk1LfLPylbd3Vc","Let It All Burn","Love Ghost","Let It All Burn","1","1","166400","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:2i76C2MZFJqg0Aq7Ldyea8","Island","Kensington","Time","1","8","276760","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:7G2Mk5afE4SpcEIpLNM7gh","City of Skin and Bone","Convey","City of Skin and Bone","1","10","241000","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:3bXZOtMZZXTEDKDZP4xCpn","Birdsong","Rews","Birdsong","1","1","198222","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:3dRzFrGWaLqcsWJfVCbibx","Home","JJ Wilde","Home/Trouble","1","1","198248","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:2ExTlf6wuN0WPFzPSh3V3d","Desensitize","DREAMERS","Desensitize","1","1","168725","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:3uZbqDDxu9vhg1MyiJ9Cfr","Born Cold","Creeper","Born Cold","1","1","177360","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:6mlwLcgPQA4Fq2aX6pi77i","Who's Ur Girl","The Mysterines","Who's Ur Girl?","1","1","132866","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:4pbids8jHfPl0HW8XMhOgQ","Upside Down","Bonesteel, McKenna Haner","Upside Down","1","1","213000","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:70XEugxZZebgi6rbbN9LB9","Thunderstorm","Rivals","Supernova","1","2","171071","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:6C7K15MfJkeBy55WA79uBY","Wanna Know","Nikki's Wives","Bloom","1","6","228309","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:6hD8W5jzpwAnaOWadaQXCS","Crazy","Dune Rats","Crazy","1","1","162983","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:4KDAFud0yhBNA28eY2w1JK","Desperate Youth","Bel Heir","Desperate Youth","1","1","203693","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:2NlgSmCUX2rtJ5RyrmbFyD","Straight For The Money","Bleeker","Straight For The Money","1","1","233280","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:6sWj2MxjdzRwpzjVZF2j4r","Swallowing Emotions","Rh2","Swallowing Emotions","1","1","208000","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:6lvaLDCPjbxhC8EmNVHfIO","Dig","Arrested Youth","Sobville (Episode I)","1","1","174779","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:0Aergaee1PD3zbWcjxcUJl","Shakin' Off The Rust","The Blue Stones","Shakin' Off The Rust","1","1","222936","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:5ZOyIWJ47B96JqoJciL4mI","Dead Awake","Midi Matilda","Dead Awake","1","1","138069","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:4wlTLYfl9WnHzPTOGCFWZd","Monsters","Run River North","Monsters Calling Home, Vol. 2","1","4","172480","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:4fXY9HAO2aSPKrVTX0AkoA","Messy","TWIN XL","Messy","1","1","182618","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:5TGtL3fq53SL0s3W6CJ47X","You Need L","MOSES","You Need L","1","1","210562","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:172McM02MWq8dZ0njL7hWy","We're Just Kids","Call Me Karizma","We're Just Kids","1","1","189333","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:2RIKWTZzsfHozweG8Zdg0n","2late","American Teeth","2late","1","1","184800","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:1ewWXMHmybBxsrtp66xFds","Misbehave","Oddnote","Misbehave","1","1","153443","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:3wzxGfvRYvOUeN5ywRaCrX","Fire","BarlowLN","Fire/Let Him Come/If You Care","1","1","173591","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:2YUTrl4xlX9jAlpxWEpOnU","Come On","Mondo Cozmo","Come On","1","1","209528","spotify:user:","2019-12-13T05:02:00Z"
"spotify:track:36LJzV2SXlO0NZUOaO1xNH","fuck up","gabriel black, Call Me Karizma","help me, i'm flying","1","2","108666","spotify:user:","2019-12-13T05:02:00Z"
