﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1MeVTXtqhNrYZpUj31eucF","Awake Me","Rosie Carney","Awake Me","1","1","257582","spotify:user:","2019-12-10T21:39:27Z"
"spotify:track:1iKVQiRDpHueFlbC9LJBvN","Fear & Force","Vagabon","Infinite Worlds","1","2","213607","spotify:user:","2019-12-10T21:39:27Z"
"spotify:track:172rW45GEnGoJUuWfm1drt","Your Best American Girl","Mitski","Puberty 2","1","5","212183","spotify:user:","2019-12-10T21:39:27Z"
"spotify:track:1JPRgRUK044O15wgv8uZO1","Souvenir","Julien Baker, Phoebe Bridgers, Lucy Dacus","boygenius","1","3","212467","spotify:user:","2019-12-10T21:39:27Z"
"spotify:track:5g97GAdru7XfeJyJhViIll","Smoke Signals","Phoebe Bridgers","Stranger in the Alps","1","1","324773","spotify:user:","2019-12-10T21:39:27Z"
"spotify:track:5qZVuornKKdSdsHPnsJjWT","You're Smiling (But I Don't Believe You)","Margaret Glaspy","If & When","1","3","213252","spotify:user:","2019-12-10T21:39:27Z"
"spotify:track:078kLYfYCjjPMbABqriXT3","Lost","Liza Anne","Two","1","1","236834","spotify:user:","2019-12-10T21:39:27Z"
"spotify:track:03HonCy9ZfHnYmc7NzFTLN","Coming of Age","Maddie Medley","Coming of Age","1","1","251692","spotify:user:","2019-12-10T21:39:27Z"
"spotify:track:2a1V9QpXiVGHkb6m0vabRU","Something American","Jade Bird","Something American","1","1","183666","spotify:user:","2019-12-10T21:39:27Z"
"spotify:track:51Vj9FdgpfeKzgEvzOICdy","Capable","The Wild Reeds","Capable","1","1","257173","spotify:user:","2019-12-10T21:39:27Z"
"spotify:track:3G9KfsZT7SwOSxhj8iLF6D","Cabin","The Secret Sisters","Cabin","1","1","226680","spotify:user:","2019-12-10T21:39:27Z"
"spotify:track:2WtZ0pGY93BnZfuGVenMb9","Golden","Becca Mancari","Golden","1","1","313296","spotify:user:","2019-12-10T21:39:27Z"
"spotify:track:1nEUk2DYbi8pzgB3LZxo7o","Tarifa","Sharon Van Etten","Are We There","1","5","290613","spotify:user:","2019-12-10T21:39:27Z"
"spotify:track:3UrZ77Jh8iL2h5Apvswrwm","Good Scare","TORRES","Gracious Day","1","2","215695","spotify:user:","2019-12-10T21:39:27Z"
"spotify:track:1drUAdX3NY4dTieuxdedLY","Smother","Daughter","If You Leave","1","2","240560","spotify:user:","2019-12-10T21:39:27Z"
"spotify:track:6AtvqLh6eSczO0QGi6BFIm","Coast","Shannon Lay","Coast","1","1","196624","spotify:user:","2019-12-10T21:39:27Z"
"spotify:track:3kFicyHYmtmnfrnjs9nrnL","Don't Let the Kids Win","Julia Jacklin","Don't Let The Kids Win","1","11","242511","spotify:user:","2019-12-10T21:39:27Z"
"spotify:track:7cvDGuYBlAnbDK56fzFdY2","Asking 4 a Friend","Anna Burch","Asking 4 a Friend","1","1","233306","spotify:user:","2019-12-10T21:39:27Z"
"spotify:track:5Ano4JVB4uDv8fQnhwdYfo","Horses","Tuvaband","Soft Drop","1","1","196756","spotify:user:","2019-12-10T21:39:27Z"
"spotify:track:3ONaqCb780ATQB9j3vSoi2","Night Shift","Lucy Dacus","Night Shift","1","1","391829","spotify:user:","2019-12-10T21:39:27Z"
"spotify:track:4D3nttJPU6L0M2epr7sId6","yellow is the color of her eyes","Soccer Mommy","yellow is the color of her eyes","1","1","435080","spotify:user:","2019-12-10T21:39:27Z"
