﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2vno4w4qxzIHiKiC7ZRu3C","Líneas de Fuerza","Apartamentos Acapulco","Nunca Te Dije","1","2","215549","spotify:user:","2019-12-13T07:01:00Z"
"spotify:track:51PZQQCvuUq8pLl9IKsvvC","Universos","Fair Cardinals","Universos","1","1","200244","spotify:user:","2019-12-13T07:01:00Z"
"spotify:track:4yREnAodtCMnXrOspdO6QR","Todo Lo Que Hicimos","Valdes","Todo Lo Que Hicimos","1","1","217888","spotify:user:","2019-12-13T07:01:00Z"
"spotify:track:4fdDZCQDK41jIQXgssold4","San Juan","Perapertú","San Juan","1","1","272307","spotify:user:","2019-12-13T07:01:00Z"
"spotify:track:0Y1oHjUR5uJvRaPPwMlxHu","Vengo Llegando","Lucas Hill","Vengo Llegando","1","1","281213","spotify:user:","2019-12-13T07:01:00Z"
"spotify:track:2opSOuPVBo9L3TO6KhHvlA","Tratame Bien","Panda Elliot","Tratame Bien","1","1","219627","spotify:user:","2019-12-13T07:01:00Z"
"spotify:track:73wc2tw4DxWLL1F20rSVgr","Levitar","Lisandro Aristimuño","Levitar","1","1","190098","spotify:user:","2019-12-13T07:01:00Z"
"spotify:track:4VP4X3w6vrCgiqIk7NpHD6","No Pienses Más","ANTIFAN","No Pienses Más","1","1","231900","spotify:user:","2019-12-13T07:01:00Z"
"spotify:track:5eC5jRFkuWRKRdF9mRwXO9","Ficcionar","Weste","Ficcionar","1","1","195282","spotify:user:","2019-12-13T07:01:00Z"
"spotify:track:4zG1PtzlXjuS3Cv04CgJvP","Reo y Solitario","Viva Elástico","Reo y Solitario","1","1","189600","spotify:user:","2019-12-13T07:01:00Z"
"spotify:track:4b4tQeyFzwJw2YZNbRjdxx","Superego","Los Plastics Revolution","Superego","1","1","251707","spotify:user:","2019-12-13T07:01:00Z"
"spotify:track:3gTlX6O3CZT2aYdaS5D5RP","Solo Conmigo","Ambre","Solo Conmigo","1","1","226996","spotify:user:","2019-12-13T07:01:00Z"
"spotify:track:0MzmlGGFdEtWr3Pr5pkH79","Poquita Fe","Susi Pireli","Poquita Fe","1","1","170778","spotify:user:","2019-12-13T07:01:00Z"
"spotify:track:7nxjuzJrc6nctLCeSbpMVO","Ronda de Robledo de Sanabria","Rodrigo Cuevas, Raül Refree","Manual de Cortejo","1","4","233701","spotify:user:","2019-12-13T07:01:00Z"
"spotify:track:2urpiEjSrLAyctNSgSeAPS","Las Noches de Ayer","Cora Yako","Las Noches de Ayer","1","1","182400","spotify:user:","2019-12-13T07:01:00Z"
"spotify:track:15HDaD8ezZeGeyKxhm7nNl","Será Más Fácil","Linda Guilala","Será Más Fácil","1","1","225119","spotify:user:","2019-12-13T07:01:00Z"
"spotify:track:3IcgaC2HRiYlLZqdKUSlfH","Imagen","Monstruos del Mañana","Imagen","1","1","239073","spotify:user:","2019-12-13T07:01:00Z"
"spotify:track:2Hlyx4kEbNZRgNgGlwNlU0","Centro","María Centeno","Las Bestias","1","4","188866","spotify:user:","2019-12-13T07:01:00Z"
"spotify:track:5JWggpOh2DPoQtHPtO9RHd","CENTRO","La Máquina Camaleón","CENTRO","1","1","221666","spotify:user:","2019-12-13T07:01:00Z"
"spotify:track:4e0Xj6bBlsnu1hyhJRufiW","Absente (Outre-Mer)","Bajofondo, Benjamin Biolay","Absente (Outre-Mer)","1","1","294810","spotify:user:","2019-12-13T07:01:00Z"
