﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7soJgKhQTO8hLP2JPRkL5O","One Call Away","Charlie Puth","Nine Track Mind","1","1","194453","spotify:user:charlieputhmusic","2016-01-29T14:44:59Z"
"spotify:track:6GBMbvX7sqyOxT5wWK4hgN","Dangerously","Charlie Puth","Nine Track Mind","1","2","199133","spotify:user:charlieputhmusic","2016-01-28T22:15:28Z"
"spotify:track:6qHPJleQOdQDEZvbxjY7jR","Losing My Mind","Charlie Puth","Nine Track Mind","1","4","212213","spotify:user:charlieputhmusic","2016-01-28T22:15:34Z"
"spotify:track:7rl1z4j7MurMDnn9rHh4M2","Marvin Gaye","Charlie Puth, Meghan Trainor","Nine Track Mind","1","3","190453","spotify:user:charlieputhmusic","2016-01-29T14:45:06Z"
"spotify:track:37FXw5QGFN7uwwsLy8uAc0","We Don't Talk Anymore","Charlie Puth, Selena Gomez","Nine Track Mind","1","5","217706","spotify:user:charlieputhmusic","2016-01-28T22:21:27Z"
"spotify:track:1RdykyqZss4snJH9e58CQJ","My Gospel","Charlie Puth","Nine Track Mind","1","6","210866","spotify:user:charlieputhmusic","2016-01-28T22:15:40Z"
"spotify:track:2Y1LWNrO3Ls6tK9LZVehXk","Up All Night","Charlie Puth","Nine Track Mind","1","7","190106","spotify:user:charlieputhmusic","2016-01-28T22:15:46Z"
"spotify:track:5uAeahijdsH6Pu4es1OVCt","Suffer","Charlie Puth","Nine Track Mind","1","10","210680","spotify:user:charlieputhmusic","2016-01-29T14:45:14Z"
"spotify:track:4KVzPTFZXByIdBBH9dXiLT","Left Right Left","Charlie Puth","Nine Track Mind","1","8","206466","spotify:user:charlieputhmusic","2016-01-28T22:15:51Z"
"spotify:track:73E8dgeUdDu8iaZbQv1Fmk","Then There's You","Charlie Puth","Nine Track Mind","1","9","214413","spotify:user:charlieputhmusic","2016-01-28T22:15:56Z"
"spotify:track:5T5X1awq0Tzg0NgQ4bSVAE","As You Are","Charlie Puth, Shy Carter","Nine Track Mind","1","11","235920","spotify:user:charlieputhmusic","2016-01-28T22:16:02Z"
"spotify:track:1KoSVcMX0QEQSvqxTemRnR","Some Type of Love","Charlie Puth","Nine Track Mind","1","12","187906","spotify:user:charlieputhmusic","2016-01-29T14:45:20Z"
"spotify:track:24j5btI82IYNNqXWSnSIGA","One Call Away - Remix","Charlie Puth, Tyga","One Call Away (Remix)","1","1","192045","spotify:user:charlieputhmusic","2015-12-18T15:27:30Z"
"spotify:track:7wqSzGeodspE3V6RBD5W8L","See You Again (feat. Charlie Puth)","Wiz Khalifa, Charlie Puth","See You Again (feat. Charlie Puth)","1","1","229525","spotify:user:charlieputhmusic","2015-10-26T18:55:51Z"
"spotify:track:3zRzp4WWIIpFuGcFaVMRZZ","One Call Away - Lux & Marcusson Remix","Charlie Puth, Lux & Marcusson","One Call Away (Lux & Marcusson Remix)","1","1","251612","spotify:user:charlieputhmusic","2015-11-27T15:00:57Z"
"spotify:track:6YFswgLKeSdAfZuNjGV91i","One Call Away - Junge Junge Remix","Charlie Puth, Junge Junge","One Call Away (Junge Junge Remix)","1","1","294021","spotify:user:charlieputhmusic","2015-11-27T15:01:46Z"
"spotify:track:6EovA9s2HEmYUzRtPMJOgA","One Call Away - KLYMVX Remix","Charlie Puth, KLYMVX","One Call Away (KLYMVX Remix)","1","1","221441","spotify:user:charlieputhmusic","2015-11-27T15:01:37Z"
"spotify:track:7eOZAaVmUWro6EDQRBX1QZ","One Call Away - Lash Remix","Charlie Puth, Lash","One Call Away (Lash Remix)","1","1","222730","spotify:user:charlieputhmusic","2015-11-27T15:01:30Z"
"spotify:track:0SAmsrxqPAtc0wNXFh8mI1","Marvin Gaye - 10K Islands Remix","Charlie Puth, Meghan Trainor, 10k Islands","Marvin Gaye (10K Islands Remix)","1","1","190675","spotify:user:charlieputhmusic","2015-12-18T15:28:27Z"
"spotify:track:7mwuYrHy6VcOjc5NV08wEK","Marvin Gaye - Boehm Remix","Charlie Puth, Meghan Trainor, Boehm","Marvin Gaye (Boehm Remix)","1","1","194499","spotify:user:charlieputhmusic","2015-12-18T15:28:40Z"
"spotify:track:6Xxlhx5758ONjl320gTVb4","Marvin Gaye - Cahill Remix","Charlie Puth, Meghan Trainor, Cahill","Marvin Gaye (Cahill Remix)","1","1","177220","spotify:user:charlieputhmusic","2015-12-18T15:28:55Z"
"spotify:track:6QjP4cl4M4pEFsfZzlk5UI","Marvin Gaye - DJ Kue Remix","Charlie Puth, Meghan Trainor, DJ Kue","Marvin Gaye (DJ Kue Remix)","1","1","333749","spotify:user:charlieputhmusic","2015-12-18T15:29:02Z"
"spotify:track:4NYwy0R3NdvORX2B6OZXBT","Slow Motion","Trey Songz","Trigga Reloaded","1","2","197854","spotify:user:charlieputhmusic","2015-10-26T18:56:46Z"
"spotify:track:4gyRjB6sfjvmJLMv3V21M3","Broke (feat. Stevie Wonder and Keith Urban)","Jason Derulo, Stevie Wonder, Keith Urban","Everything Is 4","1","7","186093","spotify:user:charlieputhmusic","2015-10-26T18:57:31Z"
"spotify:track:7j16XLHBZXPcgCoYPKVqmF","Suffer - Vince Staples & AndreaLo Remix","Charlie Puth, AndreaLo, Vince Staples","Suffer (Vince Staples & AndreaLo Remix)","1","1","242249","spotify:user:charlieputhmusic","2019-05-09T18:31:21Z"
