﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1T7AiFL9ruKKwlONN35Vh0","A Little Too Much","Shawn Mendes","Handwritten","1","11","187026","spotify:user:12166530781","2019-10-09T02:54:28Z"
"spotify:track:5tz69p7tJuGPeMGwNTxYuV","1-800-273-8255","Logic, Alessia Cara, Khalid","Everybody","1","10","250173","spotify:user:12166530781","2019-10-09T02:55:39Z"
"spotify:track:58Mmq9tDlN7jiUqmvugggD","Keep Holding On","Avril Lavigne","Keep Holding On","1","1","239453","spotify:user:12166530781","2019-10-09T02:55:53Z"
"spotify:track:1k18nxjYj8R5iz82Ap7GEY","Marry The Night","Lady Gaga","Born This Way","1","1","264520","spotify:user:12166530781","2019-10-09T02:56:20Z"
"spotify:track:1N7YeVU0ZwAFbOhwM61ef6","Head Above Water","Avril Lavigne","Head Above Water","1","1","220850","spotify:user:12166530781","2019-10-09T02:56:55Z"
"spotify:track:37f4ITSlgPX81ad2EvmVQr","Fight Song","Rachel Platten","Wildfire","1","5","204013","spotify:user:12166530781","2019-10-09T02:59:59Z"
"spotify:track:7EqpEBPOohgk7NnKvBGFWo","Wait for It","Leslie Odom Jr., Original Broadway Cast of Hamilton","Hamilton (Original Broadway Cast Recording)","1","13","193749","spotify:user:12166530781","2019-10-09T03:00:04Z"
"spotify:track:340UVheS8z3ncW9TTUhAbc","Nightmare","Halsey","Nightmare","1","1","231998","spotify:user:12166530781","2019-10-09T03:01:21Z"
"spotify:track:7nCBOm2WiTUPAx3TeG2rZA","Warrior","Demi Lovato","Demi","1","13","231173","spotify:user:12166530781","2019-10-09T03:02:40Z"
"spotify:track:6zQq3TrWnilO8SR1fgvTeD","Strange Love","Halsey","BADLANDS (Deluxe)","1","10","247282","spotify:user:12166530781","2019-10-09T03:03:25Z"
"spotify:track:2bDXmdP23tCK9uj8e2o3ya","Devil In Me","Halsey","hopeless fountain kingdom (Deluxe)","1","15","249239","spotify:user:12166530781","2019-10-09T03:03:31Z"
"spotify:track:04ZTP5KsCypmtCmQg5tH9R","I'm a Mess","Bebe Rexha","Expectations","1","2","195519","spotify:user:12166530781","2019-10-09T03:04:41Z"
"spotify:track:5LtNBCM2ve0SxP0dlRVvMu","I'm Gonna Show You Crazy","Bebe Rexha","I'm Gonna Show You Crazy","1","1","207775","spotify:user:12166530781","2019-10-09T03:04:47Z"
"spotify:track:2UcK3xgGDxPSyKzKqyPv0s","Girl in the Mirror","Bebe Rexha","UglyDolls (Original Motion Picture Soundtrack)","1","12","158066","spotify:user:12166530781","2019-10-09T03:04:59Z"
"spotify:track:1SJtlNRJDeYHioymcvsqev","Crying in the Club","Camila Cabello","Crying in the Club","1","1","216391","spotify:user:12166530781","2019-10-09T03:15:10Z"
"spotify:track:3LxG9HkMMFP0MZuiw3O2rF","Good Things Fall Apart (with Jon Bellion)","ILLENIUM, Jon Bellion","ASCEND","1","3","216668","spotify:user:12166530781","2019-10-09T03:16:45Z"
"spotify:track:3FN40c3kn4fG46JcrGBYD7","Running Low","Shawn Mendes","Handwritten (Revisited)","1","15","274586","spotify:user:12166530781","2019-10-09T03:25:19Z"
"spotify:track:285pBltuF7vW8TeWk8hdRR","Lucid Dreams","Juice WRLD","Goodbye & Good Riddance","1","3","239835","spotify:user:12166530781","2019-10-09T03:26:52Z"
"spotify:track:5Zz8mrmVVhOq3iuv8Gh0MX","Medicine","Daughter","The Wild Youth EP","1","2","258986","spotify:user:12166530781","2019-10-09T03:30:28Z"
"spotify:track:2dBwB667LHQkLhdYlwLUZK","Summertime Sadness","Lana Del Rey","Born To Die - The Paradise Edition","1","11","265427","spotify:user:12166530781","2019-10-09T03:31:58Z"
"spotify:track:44n97yHySt0Z9rqPaXgjCK","Sorry","Halsey","hopeless fountain kingdom (Deluxe)","1","7","220540","spotify:user:12166530781","2019-10-09T03:35:36Z"
"spotify:track:4B3RmT3cGvh8By3WY9pbIx","Skyscraper","Demi Lovato","Unbroken","1","11","221293","spotify:user:12166530781","2019-10-09T03:40:31Z"
