﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2XeZi7qwChzLOt32tsoPXV","Gaze","Moux","Gaze","1","1","160160","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:3eMTcFDfBkdUxzRDAb8Krs","Alene uden dig","Tosh Møller","Alene uden dig","1","1","157500","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:3I3WY0C7AQMe6Z6hMUQqd5","Vals De Rodrigues","Eric Badanti","Vals De Rodrigues","1","1","161209","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:4xIT4AwXEX2r2P5ATQZx2I","I Will Walk You Home","Jef Martens","Evenings on Instagram, Pt. III","1","4","130789","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:7ih16mauHrpUMOIeWEOyVO","Where's My Love - Piano Solo","SYML","Where's My Love (Piano Solo)","1","1","274493","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:2kz1DrWQsJl1k4lWDsPRsC","Aquatic","Sigrid Vass","Aquatic","1","1","143406","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:1gfzgfcrmkn2yTWuVGhCgh","Bud (Rose)","Rosie Carney","Bare","1","11","200000","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:3bfXhbANHZ65viUlQMYtBR","Dvale","Jacob David","Dvale","1","1","179000","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:4222J8ROCEqgnnLqCC6Z7l","This Morning","Thomasine Robinson","This Morning","1","1","99000","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:6YS1MXqso0zlmcL4OV1kXk","Début","Mélanie Laurent","En t'attendant","1","1","160066","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:5aMf0OItsp4ogKpcbrGrMP","Cloudy Waltz","Eric Cadogan","Cloudy Waltz","1","1","121000","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:6uWjjaiquXsjuQuks2mZME","Sugarcane","Ana Olgica","Sugarcane","1","1","144500","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:2ewd25cXIdZvLxbgGh5eYA","Morphée","Jordane Tumarinson","Automne","1","2","192230","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:0LRjR9cx8rJDYTRIHq7rxp","Wonder","Arelius","Lucid Dreamin' II","1","2","162000","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:5WMk136o7hpTMaFh1UeLz9","Hvaležni","Valbona Ceferin","Hvaležni","1","1","123500","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:2o6QfxsYOYWlLQbmtW5ymm","Charon","Quinn MacKenzie","Charon","1","1","110687","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:42c1ppLBsSbUjFNDzYLY10","A Catalogue Of Afternoons","Max Richter","A Catalogue Of Afternoons","1","1","110880","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:3AZJgN2201Etx46AlOsCYu","Airbourne","Eric Badanti","Airbourne","1","1","238588","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:51QraBOwt6c0CII6MYEcEs","Love At First Sight","Frozen Silence","Love At First Sight","1","1","107866","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:7ISwUxOAvFJhIM7Q9c1mcu","Jeremy and Maureen","Franz Gordon","Jeremy and Maureen","1","1","204283","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:4XcHlgenUoxhWxTGi3VfYw","Lelyah","Zemfira Mironova","Lelyah","1","1","151874","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:7idzeppas1LGRlqUg36kh2","Everlasting Oath","Hiroko Murakami, Hiroco.M","Everlasting Oath","1","1","170256","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:0OH6fMcg4oou7KXzPOXMpi","Filotimo","Borghild Wenn","Filotimo","1","1","133200","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:6sSFbKl9oQ7ToYxBeTQZvw","At Dawn","Ever So Blue","Fragment","1","2","136000","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:41gGCoMU2mqRlEQPIosjL9","Novaturient","Viljar Iversen","Novaturient","1","1","112000","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:6BiU4ludo2zY6YqmUdmdly","igloo - acoustique","Jean-Michel Blais","eviction sessions","1","2","182040","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:5b8dvbC8nIGMmagzqXbaTD","Kjæreste","Alida Sørby","Kjæreste","1","1","143812","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:1qnQqvSMiErQ7WWt1nYm7R","Heimweh","Heike Blau","Heimweh","1","1","138750","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:7IMGJM5S0YYcQhvtdeJH14","supine","Teodor Wolgers","hopes","1","2","208000","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:6xW68JTOivTwIp1IQZlwG6","Look Up to the Sky","Edvard Kravchuk","Look Up to the Sky","1","1","163272","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:2sc04X1Z2uVblrt7zqHSYS","Fairfield","Isaac Nash","Fairfield","1","1","128500","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:6fOFKyLhs5ryi2f8IiWBq8","Uitwaaien","Juultje Berben","Uitwaaien","1","1","128500","spotify:user:","2019-12-03T14:15:17Z"
"spotify:track:64yTTGTPOZos3UEouvO6tp","Den första snön","Maya Åström","Den första snön","1","1","203000","spotify:user:","2019-12-03T14:15:17Z"
