﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7qiZfU4dY1lWllzX7mPBI3","Shape of You","Ed Sheeran","÷ (Deluxe)","1","4","233712","spotify:user:","2019-09-04T16:50:13Z"
"spotify:track:0azC730Exh71aQlOt9Zj3y","This Is What You Came For","Calvin Harris, Rihanna","This Is What You Came For","1","1","222160","spotify:user:","2019-09-04T16:50:13Z"
"spotify:track:6oJ6le65B3SEqPwMRNXWjY","Higher Love","Kygo, Whitney Houston","Higher Love","1","1","228267","spotify:user:","2019-09-04T16:50:13Z"
"spotify:track:0FDzzruyVECATHXKHFs9eJ","A Sky Full of Stars","Coldplay","Ghost Stories","1","8","268466","spotify:user:","2019-09-04T16:50:13Z"
"spotify:track:1WkMMavIMc4JZ8cfMmxHkI","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's "TROLLS")","Justin Timberlake","TROLLS (Original Motion Picture Soundtrack)","1","2","237546","spotify:user:","2019-09-04T16:50:13Z"
"spotify:track:2ekn2ttSfGqwhhate0LSR0","New Rules","Dua Lipa","Dua Lipa (Deluxe)","1","10","209320","spotify:user:","2019-09-04T16:50:13Z"
"spotify:track:1zi7xx7UVEFkmKfv06H8x0","One Dance","Drake, WizKid, Kyla","Views","1","12","173986","spotify:user:","2019-09-04T16:50:13Z"
"spotify:track:0KKkJNfGyhkQ5aFogxQAPU","That's What I Like","Bruno Mars","24K Magic","1","4","206693","spotify:user:","2019-09-04T16:50:13Z"
"spotify:track:2Fxmhks0bxGSBdJ92vM42m","bad guy","Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","1","2","194087","spotify:user:","2019-09-04T16:50:13Z"
"spotify:track:0k664IuFwVP557Gnx7RhIl","Juice","Lizzo","Cuz I Love You","1","3","195144","spotify:user:","2019-09-04T16:50:13Z"
"spotify:track:3e9HZxeyfWwjeyPAMmWSSQ","thank u, next","Ariana Grande","thank u, next","1","11","207320","spotify:user:","2019-09-04T16:50:13Z"
"spotify:track:7fa9MBXhVfQ8P8Df9OEbD8","Girls Like You (feat. Cardi B)","Maroon 5, Cardi B","Red Pill Blues (Deluxe)","1","22","235545","spotify:user:","2019-09-04T16:50:13Z"
"spotify:track:5b88tNINg4Q4nrRbrCXUmg","Happy - From "Despicable Me 2"","Pharrell Williams","G I R L","1","5","232720","spotify:user:","2019-09-04T16:50:13Z"
"spotify:track:6QgjcU0zLnzq5OrUoSZ3OK","Feel It Still","Portugal. The Man","Woodstock","1","4","163253","spotify:user:","2019-09-04T16:50:13Z"
"spotify:track:1rqqCSm0Qe4I9rUvWncaom","High Hopes","Panic! At The Disco","Pray for the Wicked","1","4","190946","spotify:user:","2019-09-04T16:50:13Z"
"spotify:track:5WQ1hIc5d2EVbRQ8qsj8Uh","Hey Ya! - Radio Mix / Club Mix","OutKast","Speakerboxxx/The Love Below","2","9","235213","spotify:user:","2019-09-04T16:50:13Z"
"spotify:track:09IStsImFySgyp0pIQdqAc","The Middle","Zedd, Maren Morris, Grey","The Middle","1","1","184732","spotify:user:","2019-09-04T16:50:13Z"
"spotify:track:22VdIZQfgXJea34mQxlt81","Can't Feel My Face","The Weeknd","Beauty Behind The Madness","1","7","213520","spotify:user:","2019-09-04T16:50:13Z"
"spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki","Dancing With A Stranger (with Normani)","Sam Smith, Normani","Dancing With A Stranger (with Normani)","1","1","171029","spotify:user:","2019-09-04T16:50:13Z"
"spotify:track:7dt6x5M1jzdTEt8oCbisTK","Better Now","Post Malone","beerbongs & bentleys","1","9","231266","spotify:user:","2019-09-04T16:50:13Z"
"spotify:track:33YmfTNoLnbkRnOjf7YIVm","Lean On (feat. MØ & DJ Snake)","Major Lazer, MØ, DJ Snake","Peace Is The Mission","1","4","176561","spotify:user:","2019-09-04T16:50:13Z"
