﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3EmVLU2EHNEJf646hdsu7s","Pâquerette (Without Me)","With Confidence","Love and Loathing","1","9","195760","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:0UPZOE6jgBEd8NDaH3JhOh","New Years Project","Mayday Parade","New Years Project","1","1","234675","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:5UMNl7HXpYBFrgNC8ko6Jc","Right Here (Acoustic)","Chase Your Words","Right Here (Acoustic)","1","1","229565","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:7ewuuvaj84vzUKpq8SYwCn","Pavement (Acoustic)","SayWeCanFly","Pavement (Acoustic)","1","1","240428","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:0N5WGeoF3fhPONFm4Hk7BT","You Were The Letdown (Chasing California)","Oh, Weatherly","Lips Like Oxygen Reimagined","1","1","191938","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:3ebtwR7PHES1UwePhIreM5","No Good for Me - Acoustic","Boys of Fall","No Good for Me (acoustic)","1","1","212181","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:5v4qGjZrHIepDAsLGoYU0r","Take This To Heart - Acoustic","Mayday Parade","Punk Goes Acoustic, Vol. 3","1","5","253493","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:0qSKWuCxIXNMok8euYIelF","Okay - Acoustic","AS IT IS","Punk Goes Acoustic, Vol. 3","1","10","234240","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:7k6wAmfKKU1HY09PO3dbtc","Wolf In Sheep’s Clothing - Acoustic","Set It Off","Punk Goes Acoustic, Vol. 3","1","9","232840","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:4NlqCEZY5njqLwUR18hcTV","She's Quiet (Acoustic)","The Home Team","She's Quiet (acoustic)","1","1","200117","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:0WlfydvmDWXRdPSqbcjmLR","Novocaine","Boys of Fall","Chasing Lonely","1","3","188608","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:5m4FRZfAgAf5YCN8T7C3rN","Down for the Ride","Slaves, Jessie Abbey","Revision","1","5","298000","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:0jbkqR3FV2wjveAXvz11AR","The Fire, The Dark - Reimagined","AS IT IS","Denial: Reimagined","1","3","224095","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:45Y69qZUFNXIzcSdXF8Wl8","I Love You, I Love You. It's Disgusting","Broadside","Paradise","1","11","189899","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:3zbsdtgvFPOE4xPcvMlrtZ","Lucky People","Waterparks","Lucky People","1","1","175198","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:2qllvKclzdC7rbiow3o6QB","Walking Disaster","SayWeCanFly","Walking Disaster","1","1","195937","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:3OuWyTsgqI5sWWUQct3ktC","Dakota (Reimagined)","Between You & Me","Reimagined","1","1","199750","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:2nIkWia8VMuHL51ipVFL3P","Without My Ring (I Think I Want You)","Oh, Weatherly","Lips Like Oxygen Reimagined","1","2","206557","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:1ckb26ENV924xifArbU4h3","Trust","The Red Jumpsuit Apparatus","Trust","1","1","166738","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:0AL6tELBUTtpU4g4jChm5B","Hunnie","Locket","All Out","1","3","215306","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:6rbpUABUBE8zYt55TPkExf","Here's My Heart","SayWeCanFly","Beautiful Mess","1","12","215520","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:6jnOgu9AWyTGRJCrlrAKzq","From The Outside - Acoustic","Real Friends","Even More Acoustic Songs","1","1","203210","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:1vu42HClZIiqLgRzTU2jUc","Something Wonderful - Alternate Version","Seaway","Fresh Produce","1","3","197361","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:6XEx4tUCwTlsydwJpWnGGh","Toothpick","Stand Atlantic","Skinny Dipping","1","7","215186","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:7wtmaB8TOVjItfBcBP59TL","Take My Breath Away","Mayday Parade","Sunnyland","1","5","234912","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:3eSJmY6cL6274iOKhDwIyc","Flatline (Acoustic)","ROAM","Flatline (Acoustic)","1","1","191640","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:1MOdasYTTObANkLfUkcDtF","End of an Era (Acoustic)","Summer Wars","End of an Era (Acoustic)","1","1","213600","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:76EMDlutzJg3c3gUlWKf57","Fashion Forward (Acoustic)","The Home Team","Fashion Forward (Acoustic)","1","1","222840","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:1PoASGPXqcK2cPkS2QywaW","Atlantic - Acoustic","Grayscale","Punk Goes Acoustic, Vol. 3","1","11","230440","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:3f0H369QJR5DR0yzzaCnsz","Both of Us (Acoustic)","You vs Yesterday","Reimagined","1","1","228000","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:17PGUJ8kvyyMaRzQKbcWMN","Playing Fiction (Acoustic)","ROAM","Playing Fiction (Acoustic)","1","1","169930","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:6QJ4z6tsLZpZ9VQvcyKRfT","Come Out To LA - Acoustic","DON BROCO","Punk Goes Acoustic, Vol. 3","1","8","191600","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:4Qt5o43KerMzgh0PNPm6Q1","My Heart I Surrender","I Prevail","Lifelines","1","12","207053","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:57O3KxOf63GafUXTBelpyW","Long Night","With Confidence","Better Weather","1","7","213742","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:4f19llBb0FydWMbeUBLwyF","I'll Be a Mess Without You","Chief State","I'll Be a Mess Without You","1","1","277162","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:2X9qy15cbj1O2GQ2yEgb2q","Mona Lisa","Bayside","Mona Lisa","1","1","198647","spotify:user:","2019-11-29T15:13:27Z"
"spotify:track:79GykTeyQ2NdUCMayMZBsj","Dammit (Acoustic)","FigureItOut","Dammit (Acoustic)","1","1","241714","spotify:user:","2019-11-29T15:13:27Z"
