﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7gDNQLV9cr8449LFrQbk5J","San Luis","Gregory Alan Isakov","Evening Machines","1","2","272346","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:0Dp07EA5ybveKSUE27CuEd","Turntable","Dead Horses","My Mother the Moon","1","1","196173","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:7oOsCpcgcLXKkkIPQzQ6cX","Hold Your Head Up High","Darlingside","Hold Your Head Up High","1","1","217360","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:7rbVQAeKbC37aU45N5GOVC","Twist","Lorkin O'Reilly","Twist","1","1","186157","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:3Ed55g8hCz1GmqRTelIPIW","People Change","Mipso","People Change","1","1","212853","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:53iFMaNUXn6Oj8hUIKSO5a","My Arms Were Always Around You","Peter Bradley Adams","A Face Like Mine","1","2","200800","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:2VGMMVCzLU6ff980myVsdr","Won't Be Long","The Dead Tongues","Won't Be Long","1","1","225866","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:4d4OJTq2Yl7TyiuGMLxa1h","Olalla","Blanco White","Olalla","1","1","247373","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:1LF3VWJhOqD2VuuruLMSmu","I Should Live in Salt - The National Cover - Live from Spotify, London","Ásgeir","Spotify Live","1","4","252640","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:7hMKqhlMqxF7ULZiUMN5AH","You Sigh","Charlie Cunningham","Lines","1","11","178826","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:2J2oWsC3KGoqdUMIwcMRMU","Pharmakon","Humbird","Pharmakon","1","5","155352","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:04XeEuHyG4Z3NKY1zgAYEO","The Barrel","Aldous Harding","Designer","1","5","299440","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:5X5r8A2dpAiJVvFrupBxDZ","Eskimo Coat","Robert John Ardiff","New York City Chaps - EP","1","1","255567","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:6mV07lqIpvpBh3xBXn1M71","You Would Have to Lose Your Mind","The Barr Brothers","Queens of the Breakers","1","6","381640","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:2kG5litgxXvx6ZRgwO1v7W","Sedona","Houndmouth","Little Neon Limelight","1","1","239880","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:0gqxf8wrEkewjmZB7OT4mL","You Worry Me","Nathaniel Rateliff & The Night Sweats","You Worry Me","1","1","214160","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:2fpDrL2Vpee0JnM6AoUFvl","Silver Lining","Mt. Joy","Silver Lining","1","1","199827","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:2RmH5VLkfdILc6wTK1LWkH","Heavy","Birdtalker","Heavy","1","1","264150","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:4hrJhMznNddR7UThDKHSJy","Love Is Everywhere (Beware)","Wilco","Love Is Everywhere (Beware)","1","1","213127","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:2CaLpacfbqCPvcLmX4ZN8e","Mockingbird","Ruston Kelly","Mockingbird","1","1","277293","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:1VtaojCYMam56z117O2wo9","Loving Her","Katie Pruitt","Loving Her","1","1","304013","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:6ET9kf9riLETWs9lePUEAI","Slow Burn","Kacey Musgraves","Golden Hour","1","1","246133","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:2KCqAdd2ad0hpJc5ySoTE8","Coastline","Hollow Coves","Wanderlust","1","1","233973","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:0oiiHes8LMjKbofgD1aDcA","Punta Cometa - Dancing For The Answers Alt Version","Nick Mulvey","Dancing For The Answers - EP","1","4","216753","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:4ma6fuBfPGNWbAev6w5GdV","The Friary","David Keenan","Cobwebs","1","2","250040","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:2g4R92yMTh8dXcgfWBgx1N","Drift (Acoustic)","Quiet Arrows","Deconstructionism - Part 1","1","3","235449","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:0FfZudphGgQTGeEV6AhmOs","Beige","Yoke Lore","Goodpain","1","5","204208","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:2nBsRu0nPWCmfXvLaf9u8L","A Trick of the Light","Villagers","A Trick of the Light","1","1","248253","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:5CAadCIjbkXYNgXvu3HQAE","Fear & Force","Vagabon","Fear & Force","1","1","213607","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:1fYouLdK3PkOMPnx4CPxTY","Such A Simple Thing","Ray LaMontagne","Such A Simple Thing","1","1","296386","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:7DeJ8TdwgNpz6Un0SiskhX","Six Years","A Blaze of Feather","A Blaze of Feather","1","2","282146","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:4H2vJY0HOt6Vu0C2rHxpZ7","Cavalry","Novo Amor, Ed Tullett","Cavalry","1","1","311853","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:4sWnVeKwH6Aftzk5HZi4d1","Blind in the Fray","The Last Revel","Blind in the Fray","1","1","212354","spotify:user:","2019-11-15T20:48:20Z"
"spotify:episode:77yNlw4hCyMkh1IdBWdbBt","Sheryl Crow ft. Jade Bird: A Change Would Do You Good (Live)","Takeover","Takeover","0","0","324916","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:0Cf6rkjTrPcljKnot3jI5o","Chateau - Acoustic","Angus & Julia Stone","Chateau (Acoustic)","1","1","274980","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:2UFtUjo3UebrpxbAFvSdRz","Peach Fuzz","Caamp","Peach Fuzz","1","1","224360","spotify:user:","2019-11-15T20:48:20Z"
"spotify:episode:5b6Gnggn67ZmTFDNrXWSJ9","Sheryl Crow ft. Bonnie Raitt: Strong Enough (Live)","Takeover","Takeover","0","0","106200","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:47rNYq9IUveetu35c65xTw","Power Over Me - Acoustic","Dermot Kennedy","Power Over Me","1","2","200435","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:7vVtCG0LmChEV6NaIwALOh","People Need A Melody","The Head and the Heart","People Need A Melody","1","1","252301","spotify:user:","2019-11-15T20:48:20Z"
"spotify:episode:6rRHbPJBks5NO298y68D8j","Sheryl Crow: Prove You Wrong (Live)","Takeover","Takeover","0","0","222055","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:2ZR7DiAXXAOUr85ZBreWt4","Gloria","The Lumineers","Gloria","1","1","216120","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:4ZkZeQaJjmKuUPr7SOIjhU","When Creation Was Young","Joy Williams","Front Porch","1","8","209426","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:12VVXFEYxro5C61KyWee9C","Thousand (feat. Lisa Hannigan)","Rosie Carney, Lisa Hannigan","Thousand (feat. Lisa Hannigan)","1","1","206440","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:2VCEH5ZKl2pgJw7bbPNIQr","Hey Larocco","Rayland Baxter","Wide Awake","1","7","269613","spotify:user:","2019-11-15T20:48:20Z"
"spotify:episode:0wXo8pw8sig6aw8P5ry0k8","Sheryl Crow: Tell Me When It’s Over (Live)","Takeover","Takeover","0","0","360500","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:4CQWR7selY38Hi5UJcn7Yx","Crowded Table","The Highwomen, Brandi Carlile, Natalie Hemby, Maren Morris, Amanda Shires","Crowded Table / Redesigning Women","1","1","209906","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:3Gsuq6GGXfKB9AwNwL87NJ","Morning","William Wild","Steady Now","1","2","262571","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:0SFq19lgG4qbQAZaNZ3xhO","Movement","Hozier","Wasteland, Baby!","1","3","237800","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:4C2yMWKNf2gLgXZgdhazzu","I Need a Teacher","Hiss Golden Messenger","Terms of Surrender","1","1","197596","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:0fCwTrRNfoNk962ati8n2K","All Your'n","Tyler Childers","Country Squire","1","8","218280","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:7l1JgKKbTh8n0o1ya4j67k","Side Effects","Joseph","Good Luck, Kid","1","10","223453","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:6E7MY8plyVrd0RWUDl63Kn","Does Anybody Know","Jade Bird","Jade Bird","1","6","207936","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:5B1KYVaGIsI7v7LZYbXWI8","Save This Heart","Molly Tuttle","Rise","1","3","181880","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:0NJ1LV5VblYyJsJt3EbAx7","Rose Petals","S. Carey","Hundred Acres","1","1","213666","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:4CB4QNaSmtCNfWkhMvBRFm","Bright as the Day","Darlingside","Look Up & Fly Away","1","2","184869","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:5dlRfWgS04e8n5oVbLJ7Q8","Letter to Madeline","Ian Noe","Letter to Madeline","1","1","269083","spotify:user:","2019-11-15T20:48:20Z"
"spotify:track:2u9XhMJspn0DNjQcZSQSkN","So Alive","Jonathan Wilson","So Alive","1","1","206485","spotify:user:","2019-11-15T20:48:20Z"
