﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4fwo6czG5nvOQMzhOto1ya","Lonely (with Jonas Brothers)","Diplo, Jonas Brothers","Lonely","1","1","139813","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:7aiClxsDWFRQ0Kzk5KI5ku","hot girl bummer","blackbear","hot girl bummer","1","1","185093","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:0v622a7rlXRYcT6m3xwutU","Into the Unknown - From "Frozen 2"","Panic! At The Disco","Into the Unknown (From "Frozen 2")","1","1","189132","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:4wk9RMAmnUqFdgpBjplA4g","You Don't Even Know Me","Faouzia","You Don't Even Know Me","1","1","179396","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:5b1DQvXpubrUx0xeOB4f6n","Grey Area","Grey, Sofia Carson","Grey Area","1","1","168026","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:4a6q8CR2hzLk2plDkSxkfD","I.F.L.Y.","Bazzi","Soul Searching","1","9","165714","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:5uPLOo46dGHrNdXNU5Fgbq","It's You","Ali Gatie","Used to You","1","2","212606","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:4JV1uisNtkANI5qsIv0k7n","Workin' On It","Meghan Trainor, Lennon Stella, Sasha Sloan","Workin' On It","1","1","181290","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:3MbzPLW357rcccaQedM2Yx","Young & Rude","Abir","MINT","1","2","188357","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:62z2Su8BBGvR50aOvdjPzW","Invisible - from the Netflix Film Klaus","Zara Larsson","Invisible (from the Netflix Film Klaus)","1","1","173975","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:2a3dopgTF1q4rMVDJ1rwBU","Push My Luck","The Chainsmokers","World War Joy...Push My Luck","1","1","181844","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:0iBOGfVW1T08dRqtqnMYK0","Say It Again","AJ Mitchell","Say It Again","1","1","206930","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:6qNB2ChCVPepl5ZjVJJTUW","STUPID (feat. Yung Baby Tate)","Ashnikko, Yung Baby Tate","Hi, It's Me","1","3","167317","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:4XBpczMYDeco0RR5MpJFWt","Flames (with ZAYN)","R3HAB, ZAYN, Jungleboi","Flames (with ZAYN)","1","1","155526","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:6vBdBCoOhKHiYDDOcorfNo","Goodbyes (Feat. Young Thug)","Post Malone, Young Thug","Goodbyes (Feat. Young Thug)","1","1","174960","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:18loeUgThthiQpVNKqoZUP","Istanbul","Bahjat","Istanbul","1","1","145951","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:1ZPWWSwCkxKfqdp4H0RFCo","ROXANNE","Arizona Zervas","ROXANNE","1","1","163636","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:03ARE7xKtbCVV2GE5j0IWq","Make Us Never Happen","SHY Martin","Make Us Never Happen","1","1","171890","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:4TnjEaWOeW0eKTKIEvJyCa","Falling","Trevor Daniel","Falling","1","1","159381","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:6PYnUsNEpYC7A4BS2sjw3L","Right Back (feat. A Boogie Wit Da Hoodie)","Khalid, A Boogie Wit da Hoodie","Right Back (feat. A Boogie Wit Da Hoodie)","1","1","254999","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:6IdEQ3HUseBeRUYFSzSMdL","Zebbiana","Skusta Clee","Zebbiana","1","1","304664","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:7ybTXgmWoVFV33te4kVlUR","Run Through Walls","The Script","Sunsets & Full Moons","1","3","206693","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:2FqqVHvC4eKrsk97vpMRid","Focus (feat. 21 Savage)","Bazzi, 21 Savage","Soul Searching","1","3","155133","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:285pBltuF7vW8TeWk8hdRR","Lucid Dreams","Juice WRLD","Goodbye & Good Riddance","1","3","239835","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:4lTLA56cAilcRXpZWCWyS2","Feel Up","Pia Mia, YG","Feel Up","1","1","159183","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:34ob61cxp34Sf7KHK6RnSU","Sa Susunod Na Lang","PDL, Skusta Clee, Yuri","Sa Susunod Na Lang","1","1","214606","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:5N1o6d8zGcSZSeMFkOUQOk","Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)","Megan Thee Stallion, Ty Dolla $ign, Nicki Minaj","Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)","1","1","199427","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:5KBARWIxeMGkvUax9VtVC9","My Type","Saweetie","ICY","1","3","126446","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:6lMSPe1s87AMLpulkYXQZv","High School","Chloe Lilac","High School","1","1","204706","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:1eiR5nZhWozZ7Cwkn94wtr","Burn Out","ShiShi, Daramola","Burn Out","1","1","163928","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:5roezImMtQ6GhjBuHQcYql","Moonlight","Ali Gatie","Used to You","1","3","228484","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:7HKgmhsgsJw1Q61brYE4o3","F It Up","Jason Derulo","2Sides (Side 1)","1","1","157078","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:1MOz6KBfEX4SlNUveFHhyT","愛你 3000 (feat. 黃旭 & 肖恩恩)","Will Pan, 黃旭, 肖恩恩","愛你 3000 (feat. 黃旭 & 肖恩恩)","1","1","255519","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:2aQJrZRH3lbllvKNdItNfa","Forgotten Ones","Sabina Ddumba","Forgotten Ones","1","1","161680","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:74Fu5VpxG5tvMAjCmv3Qb8","The Story of a Lowlife","Harrison First, Natalie, Kyle the hooligan","The Story of a Lowlife","1","1","211884","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:55OUCSy92BYCmhjOuzFQcf","Used to You","Ali Gatie","Used to You","1","1","134401","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:5HbYbS0HsHpAQRKsNl34Dd","KNFKKRFK","Sofco, Qaayel","Opposite Sex","1","3","290721","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:2pNSi1RkuV0vNVRLI4SOtb","Work It","Tabitha, Chivv","Hsmn, Pt. 1- Single","1","1","168147","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:4U4LEUWV8sFtos5PdjfDA7","hot coffee","schafter","hot coffee","1","1","174560","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:2LoGv4HSbilp1SVoQ10Qw6","B.O.","ØZI, 9m88","ØZI: The Album","1","5","237406","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:1oro0vZyc9FUQcMiyEAVmN","Oululee Leh","Elyanna","Oululee Leh","1","1","151118","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:6X6MH45gqDZMF3CwGpNR2o","14 (Feat. 屁孩Ryan & 柯政宏)","盧子杰","14 (Feat. 屁孩Ryan & 柯政宏)","1","1","220657","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:6Hj9jySrnFppAI0sEMCZpJ","Robbery","Juice WRLD","Death Race For Love","1","8","240050","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:4XZIuf6EJw8HKOkRC9Jlj4","Lalala - Remix - [feat. Enrique Iglesias & Carly Rae Jepsen]","Y2K, bbno$, Enrique Iglesias, Carly Rae Jepsen","Lalala (Remix - [feat. Enrique Iglesias & Carly Rae Jepsen])","1","1","175253","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:2qVijJcx4aFBU2CS0waUqT","FPS","Bedoes, Lanek","FPS","1","1","155714","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:1HBrxfreCZDstJMYVzgRPM","Evapora","IZA, Ciara, Major Lazer","Evapora","1","1","127075","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:61eDLrQvquaTtZRnGFz9Kh","Lean On (with Emiway Bantai)","Celina Sharma, Emiway Bantai","Lean On (with Emiway Bantai)","1","1","169692","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:7qvsl2pYzrsYgPeFBN5jxp","Juicy","Doja Cat, Tyga","Juicy","1","1","202333","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:6hh1ikcv3CPsq3a7e9ItNR","Nur mit Dir (feat. Xavier Naidoo)","Shirin David, Xavier Naidoo","SUPERSIZE","1","4","219840","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:2NlgSmCUX2rtJ5RyrmbFyD","Straight For The Money","Bleeker","Straight For The Money","1","1","233280","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:5SQCBB6cifhXS5YLqNrXFU","How Things Used to Be","Ali Gatie","YOU","1","7","161489","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:64BKKgWdKdmKlQDzRfHW3C","Free (with Drew Love)","Louis The Child, Drew Love","Free (with Drew Love)","1","1","222252","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:3iZB3VUDerY5P96rhBKwKr","Dalaga","Arvey","Dalaga","1","1","192940","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:62yjCIcPBDX9v2XubelRxt","Bet On Me","Suboi","Bet On Me","1","1","224894","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:1MBtNXoT6cXrrSstG07Lf7","Can't Take It From Me (feat. Skip Marley)","Major Lazer, Skip Marley","Can't Take It From Me (feat. Skip Marley)","1","1","175866","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:7k4t7uLgtOxPwTpFmtJNTY","Tusa","KAROL G, Nicki Minaj","Tusa","1","1","200960","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:5sdQ7VUx6GOfsRoSxnK1YG","110","Capital Bra, Samra, LEA","110","1","1","194534","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:6EDfXF23V5YKEjY2RHyBfM","Dimension Rise","iCE KiD, ¥ellow Bucks, OZworld","Aquarius","1","4","188674","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:75XPke9YSeqVqEnXjct4AG","Main Line","Red Tips, Rapzilla","Main Line","1","1","171639","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:0BaMZMMEG7GWrUYsoGw8Yg","Neneng B","Nik Makino, Raf Davis","Now I Know","1","8","358015","spotify:user:","2019-12-13T17:10:28Z"
"spotify:track:3kdZQi8Xp4dyHNSRs2746a","Tacksam","EQuBE, Oskar Rangstedt","Tacksam","1","1","182222","spotify:user:","2019-12-13T17:10:28Z"
