﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:08Wje5tHb2e3jASChDkMtg","Jamaica Ska - feat.キヨサク(MONGOL800)& TAKUMA(10-FEET)","Tokyo Ska Paradise Orchestra, キヨサク, Takuma","ツギハギカラフル","1","1","234033","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:1Awj73E7Zc3Yc7KwPFYJef","La Rumba del Mezcal","Los Fibos","Pan","1","8","284924","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:5HIJNSEjvHeQZmFsHv2J8L","Somos los Dos","Percance, Big Javy","Somos los Dos","1","1","202949","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:4bK7KN7WMdNKpcEjmtM6G3","No Me Haces Falta (Delante de Ti)","Los Estramboticos","No Me Haces Falta (Delante de Ti)","1","1","233917","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:6OFOeuN0AZ0SER0Hglxi7P","Voy a Volver","Los Caligaris, Ximena Sariñana","Voy a Volver","1","1","235786","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:1vevBksiqjLNvrCCaVeSAq","Crimen en el Paraíso","Nana Pancha","Crimen en el Paraíso","1","1","212766","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:3zvVb54141fDaRFq2wzHbJ","Mezcal","La Tremenda Korte","Mezcal","1","1","195083","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:0ZKiXrSO18ktQosUNRLHTr","Ya No Me Importa","Percance, Kapanga","Ya No Me Importa","1","1","200700","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:7p6GZYz3hXOqfflUnCWyW4","Caras y Caretas","Los Calzones","Caras y Caretas","1","1","190580","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:1Kff9M64hU5w2sC8RpxT51","Olvidar","Los Caligaris","Canciones para Armar","1","1","297034","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:0ka4JDj506HNhszdG7C2QR","Amor Enfermo","Victimas Del Doctor Cerebro, Dr. Shenka","Amor Enfermo","1","1","213405","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:6aYAzsdseI67GArKrB1EZO","Enfermo Estacional","La Tremenda Korte","Enfermo Estacional","1","1","194240","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:20OijkPcdtlQ6G0UPagDe4","Tengo Miedo","Timo Pacheco","Tengo Miedo","1","1","197500","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:5xx3UJqIo8SsSc00znFPtK","El Último Ska","Panteon Rococo, Dub Inc.","El Último Ska","1","1","274653","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:08JLwvbfZmox8i1hIvjHPp","Ay! Ay! Amor!","Nana Pancha","Ay! Ay! Amor!","1","1","165046","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:1PA14CUHy7pwikmVZCCuj7","Queda en Esta Noche","Los Caligaris, Ciro y los Persas","Queda en Esta Noche","1","1","149269","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:3dz1k7RLgKPr7q0BuvA9p5","Jamaican Blues","Ska Beat City","Jamaican Blues","1","1","299736","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:3yhSzk3RVZ1BqIYAW8IFGf","Latin Ska","Los Rabanes","Latin Ska","1","1","194413","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:1IeYD7s1s656dhU68VwS4e","Infiernos","Panteon Rococo","Infiernos","1","1","293247","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:5YRhQ7h8w2cMCY2teyjax6","Y Que","Inspector","Inspector","1","2","225826","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:4xVhnIGR1UUjnTIBDs5EOX","Este Ritmo","Los De Abajo","Este Ritmo","1","1","167128","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:5rN7Jw3sBHaGHp6MqAGl2u","Ska en la Playa","Skapital Sound","Flamingo","1","1","162930","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:4J0phvYcKa1Hr1EBwH0pu3","Qué Vas a Hacer Conmigo","Los Auténticos Decadentes","Supersonico","1","3","206933","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:7qKtcEDbth6kOM5s4uJzw3","La Dosis Perfecta","Panteon Rococo","Frente a Frente - Panteón Rococó & SKA-P","1","5","255506","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:4O0sPAqzasrIPPuDDrlM3r","Convaleciente","Inspector","Convaleciente","1","1","206694","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:1vRHXmabeHbtZ4AIrdeWMm","Dejame Entrar (Yajk Täjkätzi)","La Sexta Vocal","Ode mabaxä (sueño Zoque)","1","2","252368","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:6btqDJJrlwzfv9YNRH9Gj1","Sueños","Maskatesta","Sound System","1","2","187385","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:0LIvsHX7pShjl2fpHHSAL5","El Super Heroe","Cafe Con Tequila","Cafe Con Tequila","1","4","237911","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:6Cqxghbtzx0DdnQYnMwpEw","Kilómetros - En Vivo","Los Caligaris","20 Años: El Show Más Feliz del Mundo (En Vivo)","1","16","304986","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:4DP3Pl4f2QysGpBvBakrIE","Pasa la Vida","Inspector","Páginas en Blanco","1","4","273559","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:3k7QtSyXq3lbv51kaFwzMB","Esta Noche","Panteon Rococo","Compañeros Musicales","1","6","205933","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:14al8x5l2Xb2Z53vOo8RSd","Sound System","Maskatesta","Sound System","1","1","105402","spotify:user:","2019-11-30T05:01:00Z"
"spotify:track:5A1tWza8ztAzZSgvhZzdXe","La Caída y la Gloria","Los Victorios","5 Años Con Sabor a 20","1","1","137000","spotify:user:","2019-11-30T05:01:00Z"
