﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1o8MaDqJF3J2DRWuyNiDFl","Ebb and Flow","The Dead Tongues","Unsung Passage","1","2","197560","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:3FYVkmrVYbEo17vXmb5x2A","Sleeping on the Blacktop","Colter Wall","Imaginary Appalachia","1","1","192475","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:6z2WfgI5lYcq1su1WyOxQ9","Canary","Joy Williams","Canary / The Trouble with Wanting","1","1","209173","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:05wB0mSpDASexc98oKZCOw","Bilgewater","Brown Bird","Salt For Salt","1","3","226688","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:7mdGcrjM78iP3XD5iTeRwL","Priest","William Crighton","William Crighton","1","6","264937","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:2Yf3wwS48rkAoBRXNJ34kz","Hades Pleads","Parker Millsap","The Very Last Day","1","1","156106","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:5szmwG86IFASvYrca21MEz","Work Song","Hozier","From Eden EP","1","2","229666","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:6kUG8Dja3ClxOolNqKEWy6","Saint Elizabeth","Kaia Kater","Nine Pin","1","1","239093","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:33gHvO5eLnhxKHgGDu6xu9","Ain't No Grave","Crooked Still","Shaken by a Low Sound","1","7","201535","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:0lwUIYJfWGB8qUEAJtYfb6","Broken Bones","KALEO","A/B","1","3","245960","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:10WBKR8tDk416oDMm6wshS","Bobby Reid","Lucette","Black Is the Color","1","1","138440","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:6W6xbvrkBXRXALFVDYXeMq","Little Wing","Valerie June","Little Wing","1","1","175960","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:0mWh2QcnFNYzBpRVitQIrk","Apple Tree","Marika Hackman","I’m Not Your Man","1","9","175320","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:4B4xOuj22g8WAMvTzPV7Bq","Far From Any Road","The Handsome Family","Singing Bones","1","5","166493","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:279D0iY34aVyZWTxsAPYUd","Bottom of the River","Delta Rae","Bottom Of The River","1","1","201240","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:466LASOuTbWDkrwZ3Ylxvv","Beat The Devil's Tattoo","Black Rebel Motorcycle Club","Beat the Devil's Tattoo","1","1","225760","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:798DGIdVPsLFXvDblTeM7d","The Devil & The Huntsman","Sam Lee, Daniel Pemberton","King Arthur: Legend of the Sword - Original Motion Picture Soundtrack","1","26","258373","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:47g2mXyhE93TrvmXS2J8JI","Shake off Your Flesh","The Huntress and Holder of Hands","Avalon","1","8","331908","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:6SP4CyAK8qbdajsmzYQm9g","Bless Your Soul","The Bones of J.R. Jones","Bless Your Soul","1","1","212504","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:5g3vDbjW1S08XRb2AZ1rkV","Fingers To The Bone","Brown Bird","Salt For Salt","1","1","191000","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:0AIgEbugL6t1pcKmUHIdRU","Fire In The Empire","William Crighton","Fire In The Empire","1","1","217240","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:2Yt67v3lK02VREDd9JYpPs","Gallows Pole","Willie Watson","Folksinger Vol. 2","1","2","246146","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:3uWGP9UpCet5wZBtXE9JPK","I Am The Man Thomas","The Devil Makes Three","I Am The Man Thomas","1","1","159101","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:10XSmEckAjZgMguYb22sbn","Death Don't Have No Mercy","Delaney Davidson, Marlon Williams","Sad but True","1","4","130026","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:2RSenaqtDSbjwLWkVdngHW","Ireland","Lorkin O'Reilly","Heaven Depends","1","5","245070","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:13CyXxYgWD9N5KwWqRYU1U","It Will Come Back","Hozier","Hozier","1","11","277653","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:3lwBgpUnYL2pnPGRlWEkd9","Bad Things","Rayland Baxter","Ashkelon","1","2","313867","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:6DyVRSZzPC67XnsXJR2XIq","Conman Coming","Monica Heldal","Boy From The North (ADA / USA)","1","2","196946","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:5dcwiQFqn0mTcWewYIv7MV","Personal Jesus","Johnny Cash","American IV: The Man Comes Around","1","7","199240","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:390taocGJx2gn52h8MrCNh","Dime in My Pocket","Desert Noises","Dime in My Pocket - Single","1","1","108361","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:0j6DlCKhJgJNmwIUoTvgAr","Sweet Breath","The Lowest Pair","Fern Girl and Ice Man","1","9","183986","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:2VUA9RXQluo3013YNhDeez","Danger and Dread","Brown Bird","The Devil Dancing","1","1","226333","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:6Yz0WhXdqzH1jWVViV8MdU","Three Sisters","J. Tillman","Singing Ax","1","1","395525","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:5QWvi6JbRVpeFm1Db7ZMok","Hammers and Nails","The Bones of J.R. Jones","Spirit's Furnace","1","3","169254","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:6Hf3csmUPauF9MsanSZVjk","At Night","The Eagle Rock Gospel Singers","At Night","1","1","199278","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:1Z0FpIlGRGQrC7rz2uwX6I","The Railroad","Goodnight, Texas","A Long Life of Living","1","7","250240","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:37C9PC2PjE2oURNjOyzof4","An Honest Man","Fantastic Negrito","Fantastic Negrito - EP","1","1","244110","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:33BhBFID7OBU3ie0KccF9B","Graves","Whiskey Shivers","Whiskey Shivers","1","6","190906","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:0ki12WtT63xUQCYkVpRZGZ","Snake Song","Isobel Campbell, Mark Lanegan","Hawk","1","3","168066","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:7ywUfT35DxrKOoq7ZL0VQ5","Chains","Rose Cousins","Natural Conclusion","1","5","194570","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:4Q4qJYgs4zZ1FFHX2nleB9","Psalms","Vudu Sister","Bastard Children","1","1","220626","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:2OWs4IaG1vWTcxEKvANwTX","Stuck In The South","Adia Victoria","Stuck In The South","1","1","187186","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:4YJpXSRosOLGssNpjIYsUk","Devils","Amelia Curran","War Brides","1","5","144040","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:3B9CVXsyyFRVQwCPYbhS9m","Too Old to Die Young","Brother Dege","Folk Songs of the American Longhair","1","3","224053","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:5gogtHCaImFgzzSNZxCPeQ","Waiting Around to Die","Quiet Life, Jim James","Housebroken Man","1","5","284357","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:6CApje4OBrR9y2EQJlu8KJ","My Church Is Black","Me And That Man","My Church Is Black","1","1","178080","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:17YEHsH3LwT9yqqQhuid8k","Where the Enemy Sleeps (feat. Lucette)","Scott Mackay, Lucette","Twin","1","5","196890","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:3tRg3SxzjV3NnDCbsKCzCv","Crabapples","Bruce Peninsula","A Mountain Is A Mouth","1","7","156706","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:02Msss3kY3GSGgeY8oUGMF","Raise Hell","Dorothy","Raise Hell","1","1","181868","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:4zm37YNRt5XrbFOTPk0jBp","Old Time Religion","Parker Millsap","Parker Millsap","1","1","234000","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:5QJ5ICpA44RUm2l6mJtwGD","You Don't Fool Me","Hestina","Blossom Talk","1","1","213590","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:4oGtTW6RoaK9tMCNT5ZJcY","The Devil Had A Hold Of Me","Gillian Welch","Hell Among The Yearlings","1","3","270893","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:7uXwbnpGfGRwlB7CWeC6Aw","Dreamcatchers","Odetta Hartman","222","1","3","111186","spotify:user:","2019-05-02T18:50:52Z"
"spotify:track:4qoD4IJbbir3hsAu4IowiG","Devil's Backbone","The Civil Wars","The Civil Wars","1","6","149426","spotify:user:","2019-05-02T18:50:52Z"
