﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1co0puPTYvqAdUEjFOjne9","Simple","Florida Georgia Line","Florida Georgia Line","1","1","185200","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:30MM5jWpUmOxtTNd9Ey5LZ","Unforgettable","Thomas Rhett","Life Changes","1","2","157080","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:7zVCrzzEJU7u24sbJPXA5W","What Ifs","Kane Brown, Lauren Alaina","Kane Brown","1","2","188253","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:4LiMQ6G9n84rDUBs9wtwz6","Singles You Up","Jordan Davis","Home State","1","5","182666","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:7mldq42yDuxiUNn08nvzHO","Body Like A Back Road","Sam Hunt","Body Like A Back Road","1","1","165386","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:3DV49ruvI5Sl6iisPZAc2c","Hooked","Dylan Scott","Dylan Scott (Deluxe Edition)","1","5","149293","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:5jZF1nvKORdaHNjNNMRbFl","You Broke Up with Me","Walker Hayes","boom.","1","3","196666","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:1HXy5I3HTWq8OvxCn0z7G7","Heaven","Kane Brown","Kane Brown (Deluxe Edition)","1","15","179506","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:6zLdXcmvIxnAXpz9sXFnIE","Craving You","Thomas Rhett, Maren Morris","Craving You","1","1","227373","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:4gB7HrYHbJVJ5RFOjxmoq4","One Number Away","Luke Combs","This One's for You","1","6","221800","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:6QkObBYNxVVUYt4FSpnTqY","Something 'Bout You","Sir Rosevelt","Something 'Bout You","1","1","160106","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:2BgunkkepMPFpArQj1Dx5s","Caught Up In The Country","Rodney Atkins, The Fisk Jubilee Singers","Caught Up In The Country","1","1","160991","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:2A69wys3S9uiPSmn6UZWJn","Written in the Sand","Old Dominion","Happy Endings","1","6","184080","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:0bPnT6i9H1p8Vd85GS6Z7I","Night Shift","Jon Pardi","California Sunrise","1","4","172253","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:6xHI9KjUjYT0FPtGO8Mxa1","Hurricane","Luke Combs","This One's for You","1","5","222533","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:2yQZwi1P8AkkxxFhQ8rMEK","Greatest Love Story","LANCO","Hallelujah Nights","1","4","222573","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:1zWZvrk13cL8Sl3VLeG57F","T-Shirt","Thomas Rhett","Tangled Up","1","7","227693","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:2uKpzT2E2gid82Tka9xK4n","The Way I Talk","Morgan Wallen","If I Know Me","1","10","208280","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:0OlS52TmtK2gPaEtdmr7DN","No Such Thing as a Broken Heart","Old Dominion","Happy Endings","1","1","176893","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:1mMLMZYXkMueg65jRRWG1l","When It Rains It Pours","Luke Combs","This One's for You","1","8","240760","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:6dFcL5hsy8dy0RCFx7f5FD","Fake ID (feat. Gretchen Wilson)","Big & Rich, Gretchen Wilson","Fake ID (feat. Gretchen Wilson)","1","1","203280","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:0yD66650JxhqKbW76C2qCo","Country Girl (Shake It For Me)","Luke Bryan","Tailgates & Tanlines","1","1","225560","spotify:user:","2018-12-23T16:08:13Z"
"spotify:track:3LhzpgimYSZhTx5KuchwVX","Up Down (Feat. Florida Georgia Line)","Morgan Wallen, Florida Georgia Line","Up Down (Feat. Florida Georgia Line)","1","1","196240","spotify:user:","2018-12-23T16:08:13Z"
