﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2YMIYzyip7FRqV1pasIGc9","Summer Sun","Ruen Brothers","All My Shades Of Blue","1","9","201000","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:1xmctspTzQxisNXKY6Gxf6","Don't Wanna Fight","Alabama Shakes","Sound & Color","1","2","232530","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:45Z9SQmHi1nCIevliOVtaz","S.O.B.","Nathaniel Rateliff & The Night Sweats","S.O.B.","1","1","247426","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:4wbLYn8eKiW46ZisorkhDf","Katchi (feat. Leon Bridges)","Nick Waterhouse, Leon Bridges","Never Twice","1","6","220240","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:3kVWSiAW7f42Lk7csxJ1VN","Not Yet","Izaak Opatz","Mariachi Static","1","5","238680","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:0R3gqx7lNCJqR85aAIVRO5","What's Chasing You","Marlon Williams","Make Way for Love","1","2","161690","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:4lgnsoBDruL2TzW00kI9xP","Persistence","Albin Lee Meldau","Persistence","1","1","171780","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:43zk0iEDzsjOBOzJmEx6Nv","I'll Be Your Fool (feat. The McCrary Sisters)","Josh Farrow, The McCrary Sisters","I'll Be Your Fool (feat. The McCrary Sisters)","1","1","215986","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:6sWVwDSjW1ZtqGQc9WnjdW","Pain and Misery","The Teskey Brothers","Half Mile Harvest","1","2","241186","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:01UgMLytEqNVhC6YAMzsrh","Blood of the Lamb","Liz Brasher","Painted Image","1","1","182240","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:76Fc9ApTagfE0DFLFdnMj1","The Very Last Day","Parker Millsap","The Very Last Day","1","5","180013","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:2P9jli0qvqELOihPbVN9Og","Party Boy","Marlon Williams","Make Way for Love","1","4","153548","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:52dhb3ZAR5RRN695C7z3UG","To the Boys","Molly Burch","To the Boys","1","1","227092","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:0AGPVkqRykBBzN9YYsbxK9","Walk Like A Man","Ruen Brothers","All My Shades Of Blue","1","2","178893","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:3fQ0Y9wCdAYYrRMmfjXyhb","Don't Want to Say Good-bye","Cut Worms","Hollow Ground","1","3","171468","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:2oGbA0fQXjaD8cyYkyIWj2","Love All Night (Work All Day)","Yola","Walk Through Fire","1","7","213204","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:0eLCcBWdvRM6yJSKMte1cj","Riot In The Streets","Pokey LaFarge","Riot In The Streets","1","1","220346","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:0PywzrV955BnXDC8FHAf0n","Jackie and Wilson","Hozier","Hozier","1","3","223120","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:4x1vhOOK3VJhhq9BkMNq9z","Neon Experience - Live from Vatnagarðar","Júníus Meyvant","Síminn+Spotify Session","1","1","352720","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:0S1NJoM1JHfd2x9Orm2j2G","Hands on the Radio","The Weeks","Hands on the Radio","1","1","212333","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:1YuxkxBhx3FemUVoLwFMgn","Shake Your Heel (feat. Tristen)","Steelism, Tristen","Shake Your Heel (feat. Tristen)","1","1","207200","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:4e7kWhTaCZknQy2Lfv8FPC","No Matter Who","Margaret Glaspy","Emotions And Math","1","5","177253","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:7HRatwhxbSd41x3oYG0et6","Let The Good Times Roll","JD McPherson","Let The Good Times Roll","1","1","184160","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:419cNVI2TzuYFlXmp4BNDU","Morning Terrors Nights of Dread","Shilpa Ray","Door Girl","1","2","267371","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:02Kx6oBgSMFaYaFfIKUuJi","Come to Me","Marlon Williams","Come to Me","1","1","195436","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:0GZb9ybFRyfZpg1wyFnU8Q","Hurricane Shakedown","The Deslondes","Hurry Home","1","9","112520","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:1INvWY0xcIMij69ACS9JFm","Cold Times","Brent Cowles","Cold Times","1","2","213720","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:0gqxf8wrEkewjmZB7OT4mL","You Worry Me","Nathaniel Rateliff & The Night Sweats","You Worry Me","1","1","214160","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:44HwerWFM8qbpcDL6nJ0xS","Believe","Benjamin Booker","Believe","1","1","234273","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:0cnwJ1WWMGVCnDbqpnB4LG","CRYING’S JUST A THING YOU DO","JD McPherson","UNDIVIDED HEART & SOUL","1","2","194533","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:2f1SbP60TOdOSugoPWLJgS","Sideman","Freddy & Francine","Gung Ho","1","9","168652","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:5Pa2dSXQYIcYAb5uVlP7Sk","Numb","Max Jury","Numb","1","1","250414","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:6hEXUoac3X1sDGUzMtzVPK","Trouble Is","Justin Townes Earle","Kids In The Street","1","11","202320","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:5JYPThr0ZJ50DuTXFf1uC1","Make Way for Love","Marlon Williams","Make Way for Love","1","11","235677","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:0Na0XZN8XNwcgbgW9sS7IY","Champagne Corolla","Justin Townes Earle","Kids In The Street","1","1","218386","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:4GbAYlr0NadVOs7yyVOaxu","Only Songs","The Wild Reeds","Only Songs","1","1","276773","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:0Of5so0SmxQprfv96NkXhb","Call Me","St. Paul & The Broken Bones","Half the City","1","3","171266","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:6cB1RVjwsO9v5quck4NZR3","Candid","MICKY","Candid","1","1","209248","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:1ipnaANJ3PxKhsZGgMP4LN","Got Soul","Robert Randolph & The Family Band","Got Soul","1","1","212293","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:3HtCaD8SkNbjy3TrEcS4Km","Glass House","KALEO","A/B","1","4","241546","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:3dEWwyEuqeNFH0V9OvyRWv","Right Time","Nikki Lane","All Or Nothin' (Deluxe Edition)","1","1","201666","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:2Hl45Cf4m4CX0a4slkR2qU","Lost on the Young","Balto","Strangers","1","1","193066","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:5Y4qZZrfUYU81ZkcpdzrFt","I'm Lost Without You","Marlon Williams","Marlon Williams","1","4","315560","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:7ll3XGMKU9EbyFc4JX3fqk","Smooth Sailin'","Leon Bridges","Smooth Sailin'","1","1","183333","spotify:user:","2019-12-06T23:47:05Z"
"spotify:track:3LcrBMmEejUO09Lrmyixzb","Devil in Me","Anderson East","Delilah","1","4","221280","spotify:user:","2019-12-06T23:47:05Z"
