﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:18W92Zm1KjLCbUIszOhpkD","I Wanna Know (feat. Bea Miller)","NOTD, Bea Miller","I Wanna Know (feat. Bea Miller)","1","1","197938","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:6E37j4b44JGpdk297urpKM","like that","Bea Miller","aurora","1","5","185546","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:7cLm450e9XaPrEZTSTsfwU","it's not u it's me","Bea Miller, 6LACK","it's not u it's me","1","1","194525","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:7JDWhC422Gtk1Bq0mL3OTC","feel something","Bea Miller","feel something","1","1","180161","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:77o1HdXHm1hLd7Ebe9ygd0","THAT BITCH","Bea Miller","THAT BITCH","1","1","201101","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:6h3lMAmmpQDFqoHk9F99IR","S.L.U.T.","Bea Miller","aurora","1","12","179146","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:7xAdO0zdl7lGf0ecg4IGhQ","Fire N Gold","Bea Miller","Not An Apology","1","2","211573","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:5lzp3WgXCd94gI7cQaQ9bQ","NEVER GONNA LIKE YOU","Bea Miller, Snakehips","NEVER GONNA LIKE YOU","1","1","206817","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:0T9un1tCka7l3lwsJmmLLU","FEELS LIKE HOME","Bea Miller, Jessie Reyez","FEELS LIKE HOME","1","1","211521","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:1qFMIjTe9esCDiytqUY19t","i can't breathe","Bea Miller","aurora","1","4","213986","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:7rBJG1BewE3VE7NRbrOhFj","yes girl","Bea Miller","yes girl","1","1","231390","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:0PgYPBGqF6Wm5KFHQ81nq5","comethru (with Bea Miller)","Jeremy Zucker, Bea Miller","comethru","1","1","181626","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:2qF8Zpn7iJh9mk4RfwLbjM","Force of Nature","Bea Miller","Not An Apology","1","7","241813","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:3UPBYd4oGa7D7DZKU2ACYd","girlfriend","Bea Miller","aurora","1","8","177813","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:6CgNoAbFJ4Q4Id4EjtbXlC","Photograph","Boyce Avenue, Bea Miller","Cover Sessions, Vol. 4","1","4","260186","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:6owKuyHxUqidcAA6fPKSyy","We Can't Stop","Boyce Avenue, Bea Miller","Cover Sessions, Vol. 3","1","26","222146","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:3UerZr7GF7qO2hQf6FwEbz","Young Blood","Bea Miller","Not An Apology","1","1","220706","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:6d1alyPmQMTn99yk2wlw47","burning bridges","Bea Miller","aurora","1","2","218053","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:3cYHAdhMFCpN4I4SHW7U2A","brand new eyes","Bea Miller","brand new eyes (From "Wonder")","1","1","207436","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:2S6PVRxsG4xV0dhHztZLEh","Be My Baby","Bea Miller","Be My Baby (From "Dirty Dancing" Television Soundtrack)","1","1","164840","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:5QRq7LMDHVdCuIo1uys02H","Paper Doll","Bea Miller","Not An Apology","1","4","216360","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:0I1fzd8diPdEqCIW7NCyaj","song like you","Bea Miller","aurora","1","1","196400","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:3XfMyT4Xf5LegDhvbrFEjp","See You Again","Boyce Avenue, Bea Miller","Cover Sessions, Vol. 4","1","3","239802","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:5yMw5BFXdKtbrSSUk1Qroi","Open Your Eyes (Deep Blue Songspell)","Bea Miller","Open Your Eyes (Deep Blue Songspell)","1","1","195533","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:4ACb2d4YjSYT1x0nHepZeE","I Dare You","Bea Miller","Not An Apology","1","3","206013","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:7unVsU8T9X55i30kIprvNf","Roar","Boyce Avenue, Bea Miller","Cover Sessions, Vol. 3","1","25","212913","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:1pifsKwc7idUxohspZrSPe","War - En Directo","Paty Cantú, Bea Miller","War (En Directo)","1","1","258146","spotify:user:","2019-12-13T17:42:49Z"
"spotify:track:0YnKzmoRsc4Uc9ZrCJGFBE","Enemy Fire","Bea Miller","Not An Apology","1","6","231520","spotify:user:","2019-12-13T17:42:49Z"
