﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0sf12qNH5qcw8qpgymFOqD","Blinding Lights","The Weeknd","Blinding Lights","1","1","201573","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:421leiR6jKlH5KDdwLYrOs","Dance Monkey","Tones and I","Dance Monkey","1","1","209754","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:4VginDwYTP2eaHJzO0QMjG","Circles","Post Malone","Circles","1","1","214906","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:3yOlyBJuViE2YSGn3nVE1K","My Oh My (feat. DaBaby)","Camila Cabello, DaBaby","Romance","1","4","170746","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:696DnlkuDOXcMAnKlTgXXK","ROXANNE","Arizona Zervas","ROXANNE","1","1","163636","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg","Don't Start Now","Dua Lipa","Don't Start Now","1","1","183290","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:4TnjEaWOeW0eKTKIEvJyCa","Falling","Trevor Daniel","Falling","1","1","159381","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:1M4qEo4HE3PRaCOM7EXNJq","Adore You","Harry Styles","Adore You","1","1","207133","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:3ZCTVFBt2Brf31RLEnCkWJ","everything i wanted","Billie Eilish","everything i wanted","1","1","245425","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:57vxBYXtHMk6H1aD29V7PU","Heartless","The Weeknd","Heartless","1","1","200080","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:2b8fOow8UzyDFAE27YhOZM","Memories","Maroon 5","Memories","1","1","189486","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:1HfMVBKM75vxSfsQ5VefZ5","Lose You To Love Me","Selena Gomez","Lose You To Love Me","1","1","206458","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:7aiClxsDWFRQ0Kzk5KI5ku","hot girl bummer","blackbear","hot girl bummer","1","1","185093","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:1mpD5Q8IM32I4bF6eCpU74","Up All Night","Khalid","Up All Night","1","1","157220","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:7ce20yLkzuXXLUhzIDoZih","Before You Go","Lewis Capaldi","Before You Go","1","1","215106","spotify:user:","2019-12-11T20:28:27Z"
"spotify:episode:5Tvgfj46M0JloApYasyjLl","Post Malone - Circles","Post Malone - Circles","Post Malone - Circles","0","0","211600","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:1iQDltZqI7BXnHrFy4Qo1k","Trampoline (with ZAYN)","SHAED, ZAYN","Trampoline (with ZAYN)","1","1","184280","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:3GRSqlALWISqLeNncZMbpX","Mean It","Lauv, LANY","~how i'm feeling~","1","1","232853","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:3TKpJrY9q49Mj1JOsM9zGL","Family","The Chainsmokers, Kygo","World War Joy","1","2","194826","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:1e9oZCCiX42nJl0AcqriVo","Watermelon Sugar","Harry Styles","Watermelon Sugar","1","1","174000","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:7LzouaWGFCy4tkXDOOnEyM","Liar","Camila Cabello","Liar","1","1","207038","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:6cy3ki60hLwimwIje7tALf","RITMO (Bad Boys For Life)","The Black Eyed Peas, J Balvin","RITMO (Bad Boys For Life)","1","1","221714","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:4vUmTMuQqjdnvlZmAH61Qk","South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran, Camila Cabello, Cardi B","No.6 Collaborations Project","1","2","204466","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:4yI3HpbSFSgFZtJP2kDe5m","Look At Her Now","Selena Gomez","Look At Her Now","1","1","162595","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:07Oz5StQ7GRoygNLaXs2pd","Good as Hell (feat. Ariana Grande) - Remix","Lizzo, Ariana Grande","Good as Hell (feat. Ariana Grande) [Remix]","1","1","159011","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:6V9fHiv84WlVTg7CSnIVY2","Graveyard","Halsey","Graveyard","1","1","181805","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:20JtELGPfOAMq7FpUt8eSM","Yellow Hearts","Ant Saunders","Yellow Hearts","1","1","223255","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:3cphb8kdsjElYR7r5icK3H","Nice To Meet Ya","Niall Horan","Nice To Meet Ya","1","1","158805","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:07s9NNOT0sZQp7TyolLLgu","Own It (feat. Ed Sheeran & Burna Boy)","Stormzy, Burna Boy, Ed Sheeran","Own It (feat. Ed Sheeran & Burna Boy)","1","1","216706","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:54yCP5dfn4uvU5h37aE8f4","Out Of Your Mind (feat. Swae Lee & Chris Brown)","French Montana, Swae Lee, Chris Brown","MONTANA","2","2","194171","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:5bvnqVuq7UFl0txSlHpsfS","Loyal (feat. Drake)","PARTYNEXTDOOR, Drake","Loyal (feat. Drake)","1","1","197973","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:2tnVG71enUj33Ic2nFN6kZ","Ride It","Regard","Ride It","1","1","157605","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:1VJwtWR6z7SpZRwipI12be","Candy","Doja Cat","Amala","1","8","190920","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:7hpJ9tATWb2vztlq99hERP","Maniac","Conan Gray","Maniac","1","1","185786","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:5a6pdCHlWS2ekOOQ70QnAr","July","Noah Cyrus","July","1","1","156106","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:7qEHsqek33rTcFNT9PFqLf","Someone You Loved","Lewis Capaldi","Divinely Uninspired To A Hellish Extent","1","4","182160","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:3eekarcy7kvN4yt5ZFzltW","HIGHEST IN THE ROOM","Travis Scott","HIGHEST IN THE ROOM","1","1","175720","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:7k4t7uLgtOxPwTpFmtJNTY","Tusa","KAROL G, Nicki Minaj","Tusa","1","1","200960","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:6b2RcmUt1g9N9mQ3CbjX2Y","How Do You Sleep?","Sam Smith","How Do You Sleep?","1","1","202204","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:3i9UVldZOE0aD0JnyfAZZ0","Lover (Remix) [feat. Shawn Mendes]","Taylor Swift, Shawn Mendes","Lover (Remix) [feat. Shawn Mendes]","1","1","221306","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:2kJwzbxV2ppxnQoYw4GLBZ","If The World Was Ending (feat. Julia Michaels)","JP Saxe, Julia Michaels","If The World Was Ending (feat. Julia Michaels)","1","1","208687","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:7CHi4DtfK4heMlQaudCuHK","Lose Control","MEDUZA, Becky Hill, Goodboys","Lose Control","1","1","168387","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:0X1VSToxgqA7HgjaaSmIKO","Who Needs Love","Trippie Redd","Who Needs Love","1","1","158532","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:7CZyCXKG6d5ALeq41sLzbw","Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone, Ozzy Osbourne, Travis Scott","Hollywood's Bleeding","1","9","229573","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN","BOP","DaBaby","KIRK","1","3","159714","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:5DxXgozhkPLgrbKFY91w0c","Vete","Bad Bunny","Vete","1","1","192024","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:4evmHXcjt3bTUHD1cvny97","Beautiful People (feat. Khalid)","Ed Sheeran, Khalid","Beautiful People (feat. Khalid)","1","1","197866","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:7pWK1kMgHy5lNNiIfuRbkP","Used To Love (with Dean Lewis)","Martin Garrix, Dean Lewis","Used To Love (with Dean Lewis)","1","1","236764","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:2wrJq5XKLnmhRXHIAf9xBa","10,000 Hours (with Justin Bieber)","Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)","1","1","167693","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:2Fxmhks0bxGSBdJ92vM42m","bad guy","Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","1","2","194087","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:7jzldCBnJjpJM3epzJ85KE","Tongue Tied (with YUNGBLUD & blackbear)","Marshmello, YUNGBLUD, blackbear","Tongue Tied (with YUNGBLUD & blackbear)","1","1","186024","spotify:user:","2019-12-11T20:28:27Z"
"spotify:track:285pBltuF7vW8TeWk8hdRR","Lucid Dreams","Juice WRLD","Goodbye & Good Riddance","1","3","239835","spotify:user:","2019-12-11T20:28:27Z"
