﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:18loeUgThthiQpVNKqoZUP","Istanbul","Bahjat","Istanbul","1","1","145951","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:1oro0vZyc9FUQcMiyEAVmN","Oululee Leh","Elyanna","Oululee Leh","1","1","151118","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:7o0v7fQ8SJKQjjA1kzSabX","Howeh El Hob","Adham Nabulsi","Howeh El Hob","1","1","243298","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:2z1J38i6dM0v535hiwb3Y8","Oddam El Nas","Mohamed Hamaki","Kol Yom Men Dah","2","1","227586","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:7Lvia65hnEybyNffeaXIpL","Trika Trika","Faydee, Antonia","Trika Trika","1","1","168646","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:6v0bOBKwDxzpkXhoi14FpN","قلبك وين","Hassan El Shafei, Bahjat","قلبك وين","1","1","222146","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:7z3Xk1aY9hCC3QFUmGbkop","Albeh Nkasar","Massari","Albeh Nkasar","1","1","194285","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:1cWJCzefvw9cQmG7THbwZG","We Love Africa","RedOne, Aminux, Inna MODJA","We Love Africa","1","1","286000","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:6azjD02gDO2ZarIZMs3eRk","Ensay","Saad Lamjarred, Mohamed Ramadan","Ensay","1","1","224391","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:2j9B8YHcnxDwiDNZg6UXFl","Mel Bedaya","Mohamed Hamaki","Kol Yom Men Dah","1","9","278546","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:1hnk0ZhStnRSLRq4u2fM7H","Takke","Nassif Zeytoun","Takke","1","1","208137","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:004ls73ZeoFGAD1yP7RUvY","يا بتفكر يا بتحس","Sherine","يا بتفكر يا بتحس","1","1","210000","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:64BxhMTsd59rugHkQw6I6O","Khamsa Ba2a","Oka, Ortiga","Khamsa Ba2a","1","1","191250","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:1Asv77Jhpw1FA6YjA5wwuV","NTA","Manal","NTA","1","1","206254","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:67BBC30YX6nwugVuUOWEHH","Salam","Saad Lamjarred","Salam","1","1","190944","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:2dU2D16RX11z3PdnJfXvIi","Favor","Zouhair Bahaoui","Favor","1","1","199000","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:3pkwwEMeus1d9l6b6GDnnI","Karma","Madd","Karma","1","1","172800","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:0nzTbIlYLklyyVKk58ryYc","Tholami","Sheme","Tholami","1","1","200470","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:2E57cH3XGWL2PdpBARp9Yd","Very Important","Hussain Al Jassmi","Very Important","1","1","250200","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:1nnwFSJfWkuUrNEhfCoVZc","Wtwat","Abyusif","Wtwat","1","1","205467","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:0q6eOkGHmEyqmzxafulW3X","Faregouni","Nassif Zeytoun","Faregouni","1","1","221632","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:1Awxlujr2gHvwi1XpDziMb","Ghazala","Joseph Attieh, Kiki C","Ghazala","1","1","175924","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:3JS2xB6j5bvtlTQ4XT8wP9","Waya Lghram","Mehdi Mozayine","Waya Lghram","1","1","193905","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:0Rw5p9oVNN6hnJGbdn7eFu","Bterjaeen","Rashed Al-Majed","Bterjaeen","1","1","243240","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:2YSeUVN3O3t8PeK1sGtRFQ","Hada Ma Byentasa","Adham Nabulsi","Hada Ma Byentasa","1","1","278351","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:20GGj4yDFkeinW0YolAdmy","Albak Yemchi Lhalo","Hatim Ammor","Albak Yemchi Lhalo","1","1","213167","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:5kXsXhXlm01XGdHgSkSo8y","Ykhalik Lili","Saad Lamjarred","Ykhalik Lili","1","1","220909","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:4MdZvDZAbkGoxDToIMHk82","Ya Amar Ya Harami","Eyad Tannous","Ya Amar Ya Harami","1","1","190364","spotify:user:","2019-12-04T22:53:27Z"
"spotify:track:0TKkWVMRuUj5KJGt3JCCHY","دلل","Yacoub Shaheen","دلل","1","1","206197","spotify:user:","2019-12-04T22:53:27Z"
